,WEB338_,WEB275_,WEB251_,WEB155_,WEB231_,WEB225_,WEB213_,WEB40_,WEB223_,WEB262_,WEB276_,WEB344_,WEB307_,WEB234_,WEB17_,WEB232_,WEB233_,WEB208_,WEB354_,WEB13_,WEB343_,WEB263_,WEB236_,WEB226_,WEB249_,WEB271_,WEB238_,WEB334_,WEB252_,WEB72_,WEB258_,WEB261_,WEB347_,WEB59_,WEB356_,WEB285_,WEB117_,WEB273_,WEB270_,WEB259_,WEB235_,WEB204_,WEB355_,WEB87_,WEB254_,WEB306_,WEB33_,WEB108_,WEB89_,WEB241_,WEB4_,WEB311_,WEB310_,WEB281_,WEB222_,WEB266_,WEB134_,WEB309_,WEB3_,WEB199_,WEB35_,WEB244_,WEB123_,WEB205_,WEB45_,WEB216_,WEB350_,WEB58_,WEB229_,WEB151_,WEB104_,WEB211_,WEB42_,WEB107_,FW_008_,WEB18_,WEB248_,WEB221_,WEB220_,WEB308_,WEB207_,WEB63_,WEB239_,WEB6_,WEB253_,WEB268_,WEB219_,WEB353_,WEB98_,WEB269_,WEB12_,carpinteria_,WEB267_,WEB224_,WEB278_,WEB245_,WEB228_,WEB255_,WEB218_,WEB152_,WEB200_,WEB247_,WEB260_,WEB340_,WEB37_,WEB230_,WEB67_,WEB132_,WEB274_,WEB288_,WEB243_,WEB237_,WEB240_,WEB22_,WEB28_,WEB105_,WEB217_,WEB264_,WEB250_,WEB358_,WEB335_,WEB295_,WEB227_,WEB88_,WEB34_,WEB351_,WEB279_,WEB121_,WEB201_,WEB257_,WEB84_,WEB296_,WEB39_,WEB214_,WEB215_,WEB131_,WEB289_,WEB345_,WEB246_,WEB29_,WEB38_,WEB43_,WEB210_,WEB154_,WEB265_,WEB357_,WEB242_,WEB256_
WEB338_,0,4.133906109,3.827073033,1.767441824,5.751979656,4.466851472,3.898900068,2.774776899,5.662330056,0.914769329,4.521866457,4.192419932,4.471872968,5.888885296,3.090506209,5.270245066,5.987074367,1.805532115,3.654058908,2.294701898,3.138555605,2.775770526,5.184108256,5.227834299,3.914364055,2.496638122,5.397949104,2.959140516,2.926661332,4.078730097,0.872686777,1.187762584,4.815280368,4.887328359,3.421111105,3.541168773,4.48620369,4.410098827,3.936213145,1.246712295,5.785479657,3.827523607,2.86989081,2.039173717,2.262927296,4.4727715,3.64712131,5.013609904,4.957805081,5.252338317,4.057495611,4.787293544,2.807104431,2.859142763,5.442224264,1.665626244,3.335445031,2.598646943,4.626048119,2.506993189,2.156786729,5.562922759,6.213683747,2.728161047,2.604553092,5.087425142,3.979342666,3.898676363,5.290456345,3.625054039,3.675535342,4.084537565,3.037434463,3.103726678,4.3810968,4.427694798,3.97087515,4.780365384,5.485165824,4.55995573,2.764526806,2.716141243,5.566760402,4.943642723,2.761654812,0.762826947,5.225573993,1.647628838,4.044701618,3.053369163,2.664707258,4.296441753,1.273525456,4.903050952,2.471028472,5.498918132,5.506864173,2.535239941,5.573582581,2.630168544,4.024393885,4.87984968,0.832592802,3.713450353,4.611323649,5.716381848,2.250468253,3.557550497,4.41947946,5.562916696,4.627950994,4.788034728,5.12018021,4.013320239,2.874687623,2.473244232,5.225464776,4.341826257,3.574240036,1.851090587,3.27611654,1.905366163,5.793989098,3.684100673,2.066746789,2.219220792,2.66504692,2.343394808,2.863883253,1.095305417,2.679693054,2.965319197,5.273428268,5.499123523,5.486836364,4.082746966,3.094481274,1.602602145,5.266143236,3.853779262,3.475939528,4.375960333,4.921230193,3.057396941,1.014089138,1.944946144,5.494324152,2.771207296
WEB275_,4.133906109,0,2.290730973,4.04271515,2.693447182,2.598626591,1.70383704,3.793838456,3.429056639,3.929550754,1.206373488,2.222717449,2.490287257,3.553896454,3.629246287,3.125018186,3.033618937,4.58997018,1.452749179,2.682984042,2.5659688,1.918341288,2.929385393,1.893550505,1.844847601,2.824098638,2.967206013,3.250183478,2.120221433,1.925200001,3.695388484,3.939431894,2.773739522,2.497819059,2.000985571,2.809517889,3.399351551,0.708038913,0.979502609,3.327985317,2.754208521,2.580366417,1.981052092,3.719718328,2.989306233,2.718255983,2.613573603,3.355573509,2.975172251,3.134227392,3.236477801,2.713134496,3.609066725,3.080296187,3.105724,4.681575576,3.560059732,3.962263763,3.123372898,3.78200095,2.95963183,2.832305935,3.558750514,2.133209991,2.822466941,2.745110991,1.303894972,3.653314635,1.997650319,3.177670138,1.671075678,3.135346689,1.658917519,2.727815052,2.931060672,2.79584601,3.212679405,2.645678078,2.970192668,2.649208501,1.743253929,2.681559436,3.196001794,2.850305584,2.17358571,4.074321552,2.947148955,3.281689122,1.245610178,2.481846598,2.632002128,1.566314897,4.166919248,2.79008391,2.369393477,2.747774804,2.359046698,2.883819784,2.995596254,2.838842118,4.602485908,2.169117508,3.946199729,2.56134425,1.832722618,2.974191731,2.664466533,3.299613982,1.085057976,2.657795603,2.085444596,2.499832357,2.704288331,2.152741926,3.082980928,3.166522258,2.785767784,3.282739974,2.447408047,3.882213945,3.365131146,2.61850884,2.925871114,2.218167334,3.136960792,5.11986174,2.203389354,3.30804438,2.705822584,3.513588778,2.466323813,3.219801897,2.634421759,2.99280123,3.245302316,2.567923056,2.037654982,3.586225872,2.721548758,2.481617818,1.732095236,2.054167625,2.842495265,2.055135649,4.211129756,2.995065942,3.13908761,3.501781184
WEB251_,3.827073033,2.290730973,0,3.944863275,3.444403712,2.543381414,0.865960377,4.069769983,3.669051739,3.796274441,2.686514926,2.238915517,3.024348652,4.190807671,3.816875786,3.636785284,3.448995627,4.63897249,1.166573603,3.076308138,3.371536551,1.639269647,2.963425575,2.730057463,0.742012187,3.291611215,3.141702593,3.176921823,2.997681837,2.141095772,3.504373522,3.726954166,2.030204365,2.800034749,2.406460564,3.28974065,4.043717816,2.262105472,2.267171796,3.189967242,3.361345957,1.918997369,2.088696617,3.295985809,2.265739589,3.158407501,2.147620315,4.246355742,2.952417706,3.337260144,2.86740345,2.829741389,4.004446667,3.160099832,3.335745613,4.431058294,3.227664611,4.347189752,3.332575026,3.790213794,2.97066698,3.082658187,3.755311805,2.519569803,3.187668254,2.884345042,2.404539594,3.3979379,2.839029224,3.291986717,1.614612979,2.259094317,2.418965405,2.761109261,1.163423045,3.093943357,1.248440829,2.592773379,3.27845179,3.064020195,2.160804885,3.320175184,3.513390142,3.087838591,2.084502898,3.730684195,2.818545339,2.671009583,2.715443379,2.583813752,2.997552076,2.039132371,4.029524545,2.880086245,2.274735677,3.207102935,3.062559401,1.946273336,3.054444209,3.119431201,3.329973621,2.907573183,3.710432397,2.192613798,2.383236965,3.622241173,2.375018297,2.793846214,2.893775537,2.987593484,2.015903146,2.738060306,2.766142717,2.008478572,2.738149588,3.775657359,3.023764805,4.017872436,0.511148583,3.844585116,3.385590939,2.144235171,3.3864648,3.395016022,3.279001429,4.864239598,2.133068657,2.95931476,2.290640536,3.264436756,2.295150663,3.063418849,2.757923054,3.246031725,3.004083493,1.889546716,2.467813065,3.066526258,3.242194929,1.753774626,1.223872655,2.097910569,2.228804615,3.011288913,4.132686754,3.331020296,3.419570911,2.102427975
WEB155_,1.767441824,4.04271515,3.944863275,0,5.798477985,4.389812452,3.883345412,2.830318464,5.507931114,1.679722889,4.388554678,4.227966719,4.089484421,5.574668671,3.204619296,4.915306458,6.039271427,2.04007794,3.870568369,1.99520923,3.023669719,3.084587859,5.030580954,5.242488149,4.05512939,2.595836076,5.281316575,2.848633415,2.926012982,4.008934848,1.758509221,1.630880974,4.844849649,4.864567658,3.520256388,2.961632813,4.074479196,4.322784908,3.805150065,1.750929357,5.779688811,3.938223638,2.919712993,1.938249964,2.402578742,4.038516771,3.753861875,4.484273089,4.743370595,5.099474872,4.012646178,4.784954806,2.514903565,2.440378078,5.320870416,2.16660697,2.795253139,2.198742412,4.267590389,2.364767145,2.325058632,5.587790525,6.259690873,2.632630313,2.322336708,5.031401257,3.917141368,4.019844038,5.233189333,3.301729901,3.751647728,3.745820416,3.07966578,2.837471334,4.461867322,4.343653177,4.015099951,4.666431605,5.428520053,4.150547498,2.776347652,2.507218278,5.485569396,4.807596846,3.261399597,1.523130357,5.133681096,2.092347424,4.135989215,3.089507526,2.44834666,4.49052574,2.017478495,4.774487796,2.690749636,5.393612486,5.508030365,2.628658162,5.552097185,2.445222876,3.756778174,4.789549057,1.640049647,3.928333239,4.737725864,5.573826693,2.031725454,3.370443391,4.184410003,5.76989596,4.553351252,4.577556023,5.057653497,4.156162018,2.640627937,2.58345036,5.172681216,3.878335977,3.662271363,2.197501493,3.08069748,2.364692145,5.777292287,3.346416583,2.097860089,2.410471093,2.867255282,2.442827953,2.905454323,1.711539825,2.638199441,2.886280579,5.359478416,5.483789699,5.503368491,4.000437607,3.098771198,1.899341195,5.160963001,3.897814251,3.622182477,4.185968153,4.849919112,3.008999526,1.770700627,2.257005173,5.341848145,2.841236923
WEB231_,5.751979656,2.693447182,3.444403712,5.798477985,0,2.018811809,3.071108282,5.112928039,1.979845097,5.737724442,2.042336454,2.072809228,2.698488035,2.229054687,4.845931266,2.489167987,0.891144358,5.952580594,2.904774882,4.655044561,4.278529295,3.346300878,1.900375773,0.977723522,2.844530924,4.551915787,1.527553837,4.465306809,3.977648796,2.572739071,5.443588369,5.79667781,2.239618354,1.781153351,3.495180679,4.27438771,3.62904484,2.392060538,2.622431367,5.151388708,0.717300567,2.732512502,3.509924286,5.328028084,5.052460222,3.076750151,2.86545904,3.621460182,2.327311798,1.924654234,3.660930208,1.761277777,4.826741724,4.613002232,1.626349015,5.906667876,5.026999747,5.493261775,3.043989181,5.515477649,4.420338125,1.238026573,1.328827358,4.492700472,4.759440171,1.53050021,2.526282987,3.997566305,1.313563046,4.035460241,2.612857225,4.18287186,3.349338941,4.006465946,3.479476895,2.462670547,4.279774241,1.957621806,1.355798812,2.834683745,4.028802389,4.380048147,1.608025068,2.176904133,3.481625733,5.708581233,1.770252687,4.998496201,3.021336717,3.664758781,4.701905414,2.050614176,5.549685045,1.93265218,3.877676988,1.450826494,0.65116879,4.868766893,1.209104621,4.708188407,5.984051378,1.730564722,5.674618211,2.963132384,1.492536354,1.224999139,4.643663185,4.56433806,3.189412533,1.440042803,1.95661037,2.156944407,1.604635715,2.196631528,4.10557924,5.004792078,1.458309772,5.161519613,3.875525269,5.128493386,4.445953123,4.299459111,0.946087313,4.13123819,4.57054129,6.324981148,3.57498223,4.575032265,4.926130087,5.38190763,3.923141409,4.579043726,1.326659648,1.329190764,1.664556858,2.95291968,4.048721879,5.362350041,1.490111385,2.999107055,3.309664963,2.350099382,2.316450585,3.949226965,5.712100644,4.43120166,1.769444632,5.155275234
WEB225_,4.466851472,2.598626591,2.543381414,4.389812452,2.018811809,0,2.237619751,3.998443982,1.60246946,4.51655883,2.012040229,1.072297052,1.562894168,2.038258917,3.837791191,1.746552203,2.121683562,4.571817933,2.336303849,3.527341391,3.428884155,2.421854273,0.969354717,1.961329356,2.16542561,3.63974677,1.184291852,3.11751403,3.195780798,1.558586926,4.202952917,4.523638051,1.328820744,1.246257014,2.776221319,3.032986757,2.684129583,2.421735628,2.149783481,3.947314043,1.893629374,1.320119897,2.430822816,3.78178764,3.913449412,1.911093796,1.406027349,2.958011118,1.192078911,1.209689899,2.365731045,1.158702044,3.548454919,3.194833656,1.299826242,4.508557886,3.560500658,4.26552436,1.754023427,4.213230423,3.153328025,1.618741066,2.208725449,3.628255096,3.588751649,1.031776229,2.053042803,2.980025412,1.908496859,2.534929322,1.723216228,2.778998392,2.672265819,2.629868295,2.475222424,1.453092967,3.11466933,0.575394681,1.435438587,1.697177542,3.289468906,3.498175429,1.474681547,1.309630291,2.748888411,4.352910948,1.045199567,3.699034531,3.100190747,2.58504595,3.593860565,2.077137212,4.212873214,0.849712238,2.762347069,1.648752775,1.891787384,3.695734593,1.501734496,3.587194757,4.593251326,1.48841539,4.419691758,1.880759652,1.638161694,1.712497436,3.387375677,3.42920132,2.996326971,2.487313319,1.221645539,1.009635277,1.036684206,1.302466458,2.547178627,4.05815221,1.139450761,4.582063324,2.857186681,3.804825343,3.131878281,3.181477081,1.824901569,3.523104716,3.22676873,4.816176685,2.455818531,3.136849892,4.040914092,4.148404982,2.657740974,3.378775248,1.561250448,1.458256506,1.470396021,1.618757694,3.320931474,4.106674287,1.399825038,1.740284314,2.561131299,1.320366608,1.326796236,3.197353575,4.434828273,3.366390276,1.357709816,3.761365173
WEB213_,3.898900068,1.70383704,0.865960377,3.883345412,3.071108282,2.237619751,0,3.920435607,3.279548248,3.832009722,2.162124313,1.903355251,2.554737101,3.703572538,3.710646744,3.193973821,3.129259286,4.536949847,0.965687122,2.786681114,2.975198483,1.571734862,2.62780345,2.332483717,0.897393413,3.146149688,2.756011257,3.008526868,2.667533037,1.584347376,3.53821136,3.754118065,2.006033756,2.34627586,2.246729532,2.869490849,3.603983105,1.658845916,1.536250989,3.211407304,2.952517906,1.819691951,1.795691411,3.304907115,2.379713087,2.734710035,2.025029263,3.76236886,2.634502634,2.944110118,2.78755508,2.53206024,3.754665386,2.92582199,2.96744682,4.489288203,3.226076162,4.116554315,2.914939087,3.672027065,2.90440649,2.741560883,3.517034051,2.343577661,2.879858781,2.537765294,1.714310933,3.381606236,2.311047434,3.026718086,1.19083961,2.034429223,2.104258628,2.474262225,1.574569229,2.748151146,1.663288364,2.258817389,2.91610416,2.627551397,1.988648844,3.042441541,3.120782337,2.717552551,2.115038213,3.780198664,2.539140561,2.736556978,2.269520358,2.544276418,2.671279273,1.644517257,4.022213798,2.484197552,2.125561805,2.766776072,2.660403796,2.100926456,2.807600885,2.889739465,3.426556113,2.329847254,3.789318602,2.13170047,2.024261047,3.170128673,2.25398767,3.030671276,2.199127665,2.77638954,1.597496754,2.271551899,2.406829343,1.80374561,2.662591461,3.505311286,2.649896176,3.61533586,1.059986983,3.858225777,3.15315399,2.250034527,2.995860562,2.865078528,3.098108688,4.928528165,1.966231443,3.016572434,2.265042592,3.324359528,2.174768865,2.915997838,2.465651466,2.880733909,2.816655322,1.851480512,2.190040298,3.138641358,2.775111307,1.570315049,0.905055544,1.699796898,2.060573208,2.658789373,4.138220764,3.178241205,3.002085467,2.403945823
WEB40_,2.774776899,3.793838456,4.069769983,2.830318464,5.112928039,3.998443982,3.920435607,0,5.171932043,2.645085803,3.869581825,3.900577851,3.794999693,5.235322864,1.073869087,4.498982862,5.500397037,2.758218007,3.611845212,2.247442285,2.973785852,2.903562656,4.737313469,4.739601529,3.962253708,2.273368308,4.860152873,2.599515516,2.951290089,3.8699896,2.356659658,2.494758506,4.492965076,4.649093422,2.908687596,3.130422895,3.444339337,4.114890015,3.632280817,2.273456408,5.248397282,3.540131386,3.014833848,2.424402901,3.354283961,3.731274851,3.277520328,3.96076175,4.491888398,4.693326396,3.362151039,4.383548408,2.750802459,2.952539833,4.976853887,2.555758186,2.925872347,2.364749896,4.048301592,2.669025637,2.393953893,5.121429187,5.744841876,3.100495343,2.419946882,4.594611244,3.813796866,3.245290454,4.848016226,2.729828308,3.496951744,3.96165663,2.754825529,3.02076823,4.541469755,3.497971961,4.504438448,4.351358657,5.074295756,3.864446791,3.076873202,2.644138863,5.091067716,4.406869036,2.93761977,2.603995135,4.775035197,2.666233772,3.642615452,2.758071252,2.719984894,4.221973995,2.588337772,4.502627786,2.681185892,5.067352122,5.00682421,3.456537299,5.141231216,2.398583266,4.831234964,4.509827261,2.669116026,3.224358293,4.163536678,5.110953841,2.609877622,3.365573834,4.046540851,5.21752414,4.376399618,4.266292156,4.771443224,3.478316381,2.523154522,3.059388655,4.652774515,4.327154132,3.946545806,2.418112344,2.83429905,2.62099565,5.2954764,3.203665708,2.05982958,3.320654609,2.751981582,2.042802881,3.629901623,2.506865863,2.602420518,2.258998173,4.902594479,5.077970712,5.054450582,3.458454257,2.722609636,2.672822128,4.838245114,3.799484152,3.672606817,3.750984033,4.658921619,2.582885775,2.50829784,2.48022882,4.979476198,3.69558849
WEB223_,5.662330056,3.429056639,3.669051739,5.507931114,1.979845097,1.60246946,3.279548248,5.171932043,0,5.686901593,2.695544124,2.003149176,2.267412403,1.110924405,5.102590308,1.757899712,1.803630849,5.617938593,3.508273642,4.724426867,4.359536706,3.743395965,0.939210449,2.297176553,3.28100261,4.921888356,0.797638683,4.272879416,4.34721492,2.431100898,5.425131248,5.723305136,2.219850665,1.238458264,4.062843518,4.095944199,3.077712636,3.072998319,3.000051016,5.191124105,1.539857046,2.553749581,3.713613123,5.048268896,5.10349937,2.688142822,2.71225404,3.237481229,1.531479823,0.646265477,3.465636962,1.566913988,4.600087772,4.436061595,0.555157176,5.635832894,4.662828132,5.378163672,1.976755436,5.468993614,4.485525229,1.341741639,1.666264712,4.680332893,4.669820284,1.184222808,2.7626483,3.911276281,1.942868615,3.485906876,2.750796868,3.498464015,3.859235094,3.614295026,3.528731821,2.076213159,4.100906989,1.423528916,0.841122688,2.36646315,4.465234776,4.620311026,0.554572504,1.42440988,3.986938791,5.552417747,1.044825068,4.952473234,4.078355163,3.918727971,4.719761125,2.918907555,5.355407307,0.921302448,4.112139821,1.099301505,1.926481015,4.87149596,1.31562759,4.788683347,5.42768908,1.487170108,5.598988855,3.05150322,2.45124948,1.051387343,4.55000239,4.624499466,3.550777426,2.848409985,1.818227792,1.362929843,1.093714996,2.476423639,3.699756657,5.097351588,1.060404456,5.239246046,4.00897942,5.02608639,4.224122475,4.487593495,1.382185586,4.500815675,4.396119436,5.939576022,3.805232283,4.532403259,5.139942839,5.396227074,3.931692593,4.533078646,1.784374292,1.007236441,1.389021139,2.955750224,4.533055558,5.278637247,0.840773646,2.654772282,3.575693157,2.31112936,1.756765477,4.31545111,5.593638938,4.597453486,0.479659546,5.003175101
WEB262_,0.914769329,3.929550754,3.796274441,1.679722889,5.737724442,4.51655883,3.832009722,2.645085803,5.686901593,0,4.384138729,4.179859765,4.451925403,5.900202555,3.03214825,5.284524643,5.963142923,2.099543031,3.616435086,2.162245708,2.911668366,2.838637315,5.192740203,5.149652222,3.875064983,2.532922536,5.423674328,3.050588407,2.848757807,4.045272675,0.589143499,0.623426905,4.811163484,4.877816204,3.368415925,3.462451083,4.499057968,4.207140905,3.825199503,0.875620162,5.751289119,3.87593819,2.946406657,1.833058305,2.122113456,4.470159204,3.693736384,4.964918465,4.99257556,5.278379155,4.114403032,4.77480726,2.96481215,2.871361241,5.467389283,1.956994331,3.145984952,2.640744418,4.640304274,2.3072755,2.280521102,5.54049092,6.223512628,2.342510857,2.490512499,5.097442987,3.901155695,3.906027173,5.187176243,3.567439497,3.622153698,3.985639492,3.023233156,3.045658192,4.347754061,4.458980303,3.955550559,4.80055478,5.494093386,4.552862814,2.558352781,2.756496447,5.596810186,4.956529024,2.812629931,1.213691231,5.243955871,1.737527674,3.889472864,3.038418887,2.548035135,4.277694275,1.761271456,4.919741683,2.597308999,5.445993277,5.462387159,2.409749583,5.591399844,2.48921376,4.085267528,4.829593441,0.487758687,3.689271913,4.582396837,5.710280977,2.095077634,3.370980096,4.140117168,5.539758336,4.599118081,4.750653035,5.121867938,4.01353767,2.833185281,2.348114773,5.211310239,4.0461524,3.531646215,2.011794818,3.435651492,1.848606905,5.7770999,3.601207137,2.090712715,2.491770288,2.766062918,2.409473028,2.699169924,0.766459372,2.770399359,2.943798599,5.256740019,5.51114632,5.538048717,4.073510291,3.028742383,1.51760582,5.263638152,3.830026682,3.393284668,4.33563734,4.917824217,2.937028227,1.279107832,2.168452011,5.516923351,2.719049604
