network_number,name,author,Primary_type, Specialized_aquatic_type,number_of_nodes,is_connected,year_published,decade_published,Ecopath
1,WEB3_,One_network_per_publication,Aquatic and terrestrial,,20,TRUE,1967,1960,Not_Ecopath_model
2,WEB4_,One_network_per_publication,Aquatic and terrestrial,,13,TRUE,1956,1950,Not_Ecopath_model
3,WEB6_,One_network_per_publication,Aquatic and terrestrial,,25,TRUE,1935,1930,Not_Ecopath_model
4,WEB12_,Menge_and_Sutherland_1976,Aquatic,Marine,13,TRUE,1976,,Not_Ecopath_model
5,WEB13_,Menge_and_Sutherland_1976,Aquatic,Marine,13,TRUE,1976,,Not_Ecopath_model
6,WEB17_,One_network_per_publication,Aquatic,Marine,14,TRUE,1960,1960,Not_Ecopath_model
7,WEB18_,One_network_per_publication,Aquatic and terrestrial,,27,TRUE,1963,1960,Not_Ecopath_model
8,WEB22_,One_network_per_publication,Aquatic and terrestrial,,26,TRUE,1923,1920,Not_Ecopath_model
9,WEB28_,One_network_per_publication,Terrestrial,,43,TRUE,1956,1950,Not_Ecopath_model
10,WEB29_,One_network_per_publication,Aquatic,Marine,22,TRUE,1954,1950,Not_Ecopath_model
11,WEB33_,Fryer_1959,Aquatic,Lake,33,TRUE,1959,,Not_Ecopath_model
12,WEB204_,Fryer_1959,Aquatic,Lake,33,TRUE,1959,,Not_Ecopath_model
13,WEB38_,Fryer_1959,Aquatic,Lake,31,TRUE,1959,,Not_Ecopath_model
14,WEB39_,Fryer_1959,Aquatic,Lake,37,TRUE,1959,,Not_Ecopath_model
15,WEB34_,One_network_per_publication,Aquatic,Stream,12,TRUE,1949,1940,Not_Ecopath_model
16,WEB35_,One_network_per_publication,Aquatic,Stream,13,TRUE,1967,1960,Not_Ecopath_model
17,WEB37_,One_network_per_publication,Aquatic,Marine,25,TRUE,1967,1960,Not_Ecopath_model
18,WEB40_,One_network_per_publication,Terrestrial,,11,TRUE,1962,1960,Not_Ecopath_model
19,WEB42_,One_network_per_publication,Aquatic,Marine,16,TRUE,1978,1970,Not_Ecopath_model
20,WEB43_,One_network_per_publication,Aquatic,Marine,21,TRUE,1974,1970,Not_Ecopath_model
21,WEB45_,One_network_per_publication,Aquatic,Spring,11,TRUE,1968,1960,Not_Ecopath_model
22,WEB58_,One_network_per_publication,Aquatic and terrestrial,,18,TRUE,1961,1960,Not_Ecopath_model
23,WEB59_,One_network_per_publication,Terrestrial,,30,TRUE,1945,1940,Not_Ecopath_model
24,WEB63_,One_network_per_publication,Aquatic,River,18,TRUE,1950,1950,Not_Ecopath_model
25,WEB67_,One_network_per_publication,Aquatic and terrestrial,,21,TRUE,1968,1960,Not_Ecopath_model
26,WEB72_,One_network_per_publication,Aquatic,Lake,17,TRUE,1983,1980,Not_Ecopath_model
27,WEB84_,One_network_per_publication,Aquatic and terrestrial,,12,TRUE,1972,1970,Not_Ecopath_model
28,WEB87_,One_network_per_publication,Aquatic,Marine,12,TRUE,1982,1980,Not_Ecopath_model
29,WEB88_,One_network_per_publication,Aquatic,River,16,TRUE,1979,1970,Not_Ecopath_model
30,WEB89_,One_network_per_publication,Aquatic,River,18,TRUE,1948,1940,Not_Ecopath_model
31,WEB98_,One_network_per_publication,Terrestrial,,17,TRUE,1980,1980,Not_Ecopath_model
32,WEB104_,One_network_per_publication,Aquatic,Marine,27,TRUE,1986,1980,Not_Ecopath_model
33,WEB105_,One_network_per_publication,Aquatic,Marine,10,TRUE,1982,1980,Not_Ecopath_model
34,WEB107_,One_network_per_publication,Aquatic,Marine,10,TRUE,1979,1970,Not_Ecopath_model
35,WEB108_,One_network_per_publication,Aquatic,Marine,14,TRUE,1937,1930,Not_Ecopath_model
36,WEB117_,One_network_per_publication,Aquatic,Lake,13,TRUE,1973,1970,Not_Ecopath_model
37,WEB121_,One_network_per_publication,Aquatic,Marine,12,TRUE,1977,1970,Not_Ecopath_model
38,WEB123_,One_network_per_publication,Terrestrial,,133,TRUE,1972,1970,Not_Ecopath_model
39,WEB131_,Beaver_1985,Aquatic and terrestrial,,19,TRUE,1985,,Not_Ecopath_model
40,WEB132_,Beaver_1985,Aquatic and terrestrial,,18,TRUE,1985,,Not_Ecopath_model
41,WEB134_,Beaver_1985,Aquatic and terrestrial,,11,TRUE,1985,,Not_Ecopath_model
42,WEB151_,One_network_per_publication,Terrestrial,,23,TRUE,1926,1920,Not_Ecopath_model
43,WEB152_,One_network_per_publication,Terrestrial,,23,TRUE,1984,1980,Not_Ecopath_model
44,WEB154_,One_network_per_publication,Terrestrial,,15,TRUE,1978,1970,Not_Ecopath_model
45,WEB155_,One_network_per_publication,Terrestrial,,16,TRUE,1975,1970,Not_Ecopath_model
46,WEB199_,One_network_per_publication,Terrestrial,,32,TRUE,1969,1960,Not_Ecopath_model
47,WEB200_,Valiela_1974,Terrestrial,,26,TRUE,1974,,Not_Ecopath_model
48,WEB201_,Valiela_1974,Terrestrial,,35,TRUE,1974,,Not_Ecopath_model
49,WEB205_,One_network_per_publication,Aquatic,Stream,24,TRUE,1985,1980,Not_Ecopath_model
50,WEB207_,One_network_per_publication,Aquatic,Stream,32,TRUE,1973,1970,Not_Ecopath_model
51,WEB208_,One_network_per_publication,Aquatic,Stream,11,TRUE,1963,1960,Not_Ecopath_model
52,WEB210_,One_network_per_publication,Aquatic,Stream,60,TRUE,1929,1920,Not_Ecopath_model
53,WEB211_,One_network_per_publication,Aquatic,Stream,34,TRUE,1934,1930,Not_Ecopath_model
54,WEB213_,One_network_per_publication,Aquatic,Stream,34,TRUE,1949,1940,Not_Ecopath_model
55,WEB214_,Thompson_and_Townsend_2003,Aquatic,Stream,76,TRUE,2003,,Not_Ecopath_model
56,WEB215_,Thompson_and_Townsend_2003,Aquatic,Stream,106,TRUE,2003,,Not_Ecopath_model
57,WEB216_,Thompson_and_Townsend_2003,Aquatic,Stream,59,TRUE,2003,,Not_Ecopath_model
58,WEB217_,Thompson_and_Townsend_2003,Aquatic,Stream,71,TRUE,2003,,Not_Ecopath_model
59,WEB218_,Thompson_and_Townsend_2004,Aquatic,Stream,78,TRUE,2004,,Not_Ecopath_model
60,WEB219_,Thompson_and_Townsend_2004,Aquatic,Stream,79,TRUE,2004,,Not_Ecopath_model
61,WEB220_,Thompson_and_Townsend_2004,Aquatic,Stream,66,TRUE,2004,,Not_Ecopath_model
62,WEB221_,Thompson_and_Townsend_2004,Aquatic,Stream,52,TRUE,2004,,Not_Ecopath_model
63,WEB222_,Thompson_and_Townsend_2004,Aquatic,Stream,78,TRUE,2004,,Not_Ecopath_model
64,WEB223_,Thompson_and_Townsend_2004,Aquatic,Stream,85,TRUE,2004,,Not_Ecopath_model
65,WEB224_,Thompson_and_Townsend_2004,Aquatic,Stream,57,TRUE,2004,,Not_Ecopath_model
66,WEB225_,Thompson_and_Townsend_2004,Aquatic,Stream,73,TRUE,2004,,Not_Ecopath_model
67,WEB226_,Thompson_and_Townsend_2004,Aquatic,Stream,107,TRUE,2004,,Not_Ecopath_model
68,WEB227_,Thompson_and_Townsend_2004,Aquatic,Stream,84,TRUE,2004,,Not_Ecopath_model
69,WEB228_,Thompson_and_Townsend_2004,Aquatic,Stream,96,TRUE,2004,,Not_Ecopath_model
70,WEB229_,Thompson_and_Townsend_2004,Aquatic,Stream,98,TRUE,2004,,Not_Ecopath_model
71,WEB230_,Thompson_and_Townsend_2004,Aquatic,Stream,78,TRUE,2004,,Not_Ecopath_model
