name,author,latitude,longitude,Notes,Primary_type,number_of_nodes,is_connected,year_published,decade_published,Ecopath
WEB22_,One_network_per_publication,74.37483614,19.10243909,,Aquatic and terrestrial,26,TRUE,1923,1920,Not_Ecopath_model
WEB151_,One_network_per_publication,51.34118467,-0.364508055,,Terrestrial,23,TRUE,1926,1920,Not_Ecopath_model
WEB210_,One_network_per_publication,53.84937148,-1.096038121,Approx location based on multiple rivers,Aquatic,60,TRUE,1929,1920,Not_Ecopath_model
WEB211_,One_network_per_publication,44.333333,-80.25,,Aquatic,34,TRUE,1934,1930,Not_Ecopath_model
WEB6_,One_network_per_publication,38.20870424,-121.6577822,,Aquatic and terrestrial,25,TRUE,1935,1930,Not_Ecopath_model
WEB108_,One_network_per_publication,36.616667,-121.9,,Aquatic,14,TRUE,1937,1930,Not_Ecopath_model
WEB59_,One_network_per_publication,40.13821304,-88.14151711,,Terrestrial,30,TRUE,1945,1940,Not_Ecopath_model
WEB89_,One_network_per_publication,52.12530284,0.036478909,,Aquatic,18,TRUE,1948,1940,Not_Ecopath_model
WEB213_,One_network_per_publication,52.98816887,-3.463556345,Approx location based on map,Aquatic,34,TRUE,1949,1940,Not_Ecopath_model
WEB34_,One_network_per_publication,51.90389096,-3.811778424,Guessing location based on description in paper (map),Aquatic,12,TRUE,1949,1940,Not_Ecopath_model
WEB63_,One_network_per_publication,52.39819508,-3.975650185,,Aquatic,18,TRUE,1950,1950,Not_Ecopath_model
WEB29_,One_network_per_publication,88.00490026,14.36401014,,Aquatic,22,TRUE,1954,1950,Not_Ecopath_model
WEB4_,One_network_per_publication,37.97770036,-122.345592,,Aquatic and terrestrial,13,TRUE,1956,1950,Not_Ecopath_model
WEB28_,One_network_per_publication,-45.86518687,170.6727998,,Terrestrial,43,TRUE,1956,1950,Not_Ecopath_model
WEB204_,Fryer_1959,-12.35886971,34.40115924,,Aquatic,33,TRUE,1959,,Not_Ecopath_model
WEB33_,Fryer_1959,-12.35886971,34.40115924,,Aquatic,33,TRUE,1959,,Not_Ecopath_model
WEB38_,Fryer_1959,-12.35886971,34.40115924,,Aquatic,31,TRUE,1959,,Not_Ecopath_model
