"Ictalurus_nebulosus" "benthic_detritus"
"benthic_detritus" "Umbra_limi"
"fish_fry" "Alona_costata"
"fish_fry" "Chydorus_sphaericus"
"fish_fry" "Keratella_taurocephala"
"fish_fry" "Keratella_testudo"
"fish_fry" "Kelicottia_bostoniensis"
"fish_fry" "Trichocerca_pusilla"
"fish_fry" "Trichocerca_similis"
"fish_fry" "Gastropus_stylifer"
"fish_fry" "Polyarthra_major"
"fish_fry" "Trichocerca_multicrinis"
"fish_fry" "Bosmina_longirostris"
"fish_fry" "Conochiloides_dossuarius"
"fish_fry" "Keratella_crassa"
"fish_fry" "Ceriodaphnia_quadrangula"
"fish_fry" "Synchaeta_sp."
"fish_fry" "Diaphanosoma_birgei"
"fish_fry" "Mesocyclops_edax"
"fish_fry" "Paracyclops_sp."
"benthic_detritus" "fish_fry"
"fish_fry" "fish_eggs"
"fish_fry" "Asterionella_formosa"
"fish_fry" "Nitzschia_sp."
"fish_fry" "Peridinium_inconspicuum"
"fish_fry" "Peridinium_limbatum"
"Alona_costata" "Chrosomus_eos"
"Chydorus_sphaericus" "Chrosomus_eos"
"Keratella_taurocephala" "Chrosomus_eos"
"Keratella_testudo" "Chrosomus_eos"
"Kelicottia_bostoniensis" "Chrosomus_eos"
"Trichocerca_pusilla" "Chrosomus_eos"
"Trichocerca_similis" "Chrosomus_eos"
"Gastropus_stylifer" "Chrosomus_eos"
"Polyarthra_major" "Chrosomus_eos"
"Trichocerca_multicrinis" "Chrosomus_eos"
"Bosmina_longirostris" "Chrosomus_eos"
"Conochiloides_dossuarius" "Chrosomus_eos"
"Keratella_crassa" "Chrosomus_eos"
"Ceriodaphnia_quadrangula" "Chrosomus_eos"
"Synchaeta_sp." "Chrosomus_eos"
"Diaphanosoma_birgei" "Chrosomus_eos"
"Mesocyclops_edax" "Chrosomus_eos"
"Paracyclops_sp." "Chrosomus_eos"
"benthic_detritus" "Chrosomus_eos"
"Asterionella_formosa" "Chrosomus_eos"
"Nitzschia_sp." "Chrosomus_eos"
"Peridinium_inconspicuum" "Chrosomus_eos"
"Peridinium_limbatum" "Chrosomus_eos"
"benthic_detritus" "Alona_costata"
"Alona_costata" "Asterionella_formosa"
"Alona_costata" "Nitzschia_sp."
"benthic_detritus" "Chydorus_sphaericus"
"Chydorus_sphaericus" "Cryptomonas_ovata"
"Keratella_taurocephala" "Cryptomonas_ovata"
"Keratella_testudo" "Cryptomonas_ovata"
