"Ictalurus_nebulosus" "benthic_detritus"
"benthic_detritus" "Catostomus_commersoni"
"fish_fry" "Daphnia_catawba"
"fish_fry" "Daphnia_dubia"
"fish_fry" "Daphnia_longiremis"
"fish_fry" "Daphnia_retrocurva"
"fish_fry" "Diaptomus_minutus"
"fish_fry" "Keratella_cochlearis"
"fish_fry" "Keratella_taurocephala"
"fish_fry" "Kelicottia_bostoniensis"
"fish_fry" "Kelicottia_longispina"
"fish_fry" "Tropocyclops_prasinus"
"fish_fry" "Asplanchna_sp."
"fish_fry" "Holopedium_gibberum"
"fish_fry" "Mesocyclops_edax"
"fish_fry" "Cyclops_vernalis"
"fish_fry" "Polyarthra_remata"
"fish_fry" "Conochiloides_unicornis"
"fish_fry" "Polyarthra_vulgaris"
"fish_fry" "Epishura_lacustris"
"fish_fry" "Gastropus_stylifer"
"fish_fry" "Polyarthra_euryptera"
"fish_fry" "Trichocerca_multicrinis"
"fish_fry" "Bosmina_longirostris"
"fish_fry" "Conochiloides_dossuarius"
"fish_fry" "Keratella_crassa"
"fish_fry" "Leptodora_kindtii"
"fish_fry" "Colletheca_mutabilis"
"fish_fry" "Diaphanosoma_birgei"
"fish_fry" "copepod_nauplii"
"fish_fry" "fish_eggs"
"fish_fry" "Gymnodinium_palustre"
"fish_fry" "Staurastrum_sp."
"fish_fry" "Tabellaria_fenestrata"
"fish_fry" "Melosira_sp."
"fish_fry" "Cosmarium_sp."
"fish_fry" "Peridinium_inconspicuum"
"fish_fry" "Peridinium_wisconsinense"
"fish_fry" "Lepomis_gibbosus"
"Daphnia_catawba" "Lepomis_gibbosus"
"Daphnia_dubia" "Lepomis_gibbosus"
"Daphnia_longiremis" "Lepomis_gibbosus"
"Daphnia_retrocurva" "Lepomis_gibbosus"
"Diaptomus_minutus" "Lepomis_gibbosus"
"Keratella_cochlearis" "Lepomis_gibbosus"
"Keratella_taurocephala" "Lepomis_gibbosus"
"Kelicottia_bostoniensis" "Lepomis_gibbosus"
"Kelicottia_longispina" "Lepomis_gibbosus"
"Tropocyclops_prasinus" "Lepomis_gibbosus"
"Asplanchna_sp." "Lepomis_gibbosus"
"Holopedium_gibberum" "Lepomis_gibbosus"
"Mesocyclops_edax" "Lepomis_gibbosus"
"Cyclops_vernalis" "Lepomis_gibbosus"
"Polyarthra_remata" "Lepomis_gibbosus"
"Conochiloides_unicornis" "Lepomis_gibbosus"
"Polyarthra_vulgaris" "Lepomis_gibbosus"
"Epishura_lacustris" "Lepomis_gibbosus"
"Gastropus_stylifer" "Lepomis_gibbosus"
"Polyarthra_euryptera" "Lepomis_gibbosus"
"Trichocerca_multicrinis" "Lepomis_gibbosus"
"Bosmina_longirostris" "Lepomis_gibbosus"
"Conochiloides_dossuarius" "Lepomis_gibbosus"
"Keratella_crassa" "Lepomis_gibbosus"
"Leptodora_kindtii" "Lepomis_gibbosus"
"Colletheca_mutabilis" "Lepomis_gibbosus"
"Diaphanosoma_birgei" "Lepomis_gibbosus"
"copepod_nauplii" "Lepomis_gibbosus"
"fish_eggs" "Lepomis_gibbosus"
"Daphnia_catawba" "Oocyctis_sp."
"Daphnia_catawba" "Cryptomonas_erosa"
"Daphnia_catawba" "Cryptomonas_ovata"
"Daphnia_catawba" "Rhizosolenia_eriensis"
"Daphnia_catawba" "Mallomonas_sp."
"Daphnia_catawba" "Staurastrum_sp."
"Daphnia_catawba" "Dinobryon_bavaricum"
"Daphnia_catawba" "Dinobryon_sertularia"
"Daphnia_catawba" "Sphaerocystis_schroeteri"
"Daphnia_catawba" "Tabellaria_fenestrata"
"Daphnia_catawba" "Spondylosium_planum"
"Daphnia_catawba" "Chrysosphaerella_longispina"
"Daphnia_catawba" "Dictyosphaerium_pulchellum"
"Daphnia_catawba" "Tetraedron_minimum"
"Daphnia_catawba" "Schroederia_setigera"
"Daphnia_catawba" "Melosira_sp."
"Daphnia_catawba" "Pediastrum_tetras"
"Daphnia_catawba" "Cosmarium_sp."
"Daphnia_catawba" "Elakatrothrix_gelatinosa"
"Daphnia_catawba" "Scenedesmus_quadricauda"
"Daphnia_catawba" "Aphanothece_sp."
"Daphnia_catawba" "Cyclotella_glomerata"
"Daphnia_catawba" "Cyclotella_sp."
"Daphnia_catawba" "Crucigenia_crucifera"
"Daphnia_catawba" "Crucigenia_quadrata"
"Daphnia_catawba" "Crucigenia_rectangularis"
"Daphnia_catawba" "Crucigenia_tetrapaedia"
"Daphnia_catawba" "Botryococcus_braunii"
"Daphnia_catawba" "Ankistrodesmus_falcatus"
"Daphnia_catawba" "Merismopedia_tenuissima"
"Daphnia_catawba" "Chroococcus_limneticus"
"Daphnia_catawba" "Aphanocapsa_sp."
"Daphnia_catawba" "Anacystis_incerta"
"Daphnia_catawba" "nanoflagellates"
"Daphnia_dubia" "Oocyctis_sp."
"Daphnia_dubia" "Cryptomonas_erosa"
"Daphnia_dubia" "Cryptomonas_ovata"
"Daphnia_dubia" "Rhizosolenia_eriensis"
"Daphnia_dubia" "Mallomonas_sp."
