"Ictalurus_nebulosus" "benthic_detritus"
"benthic_detritus" "Chydorus_sphaericus"
"Chydorus_sphaericus" "Cryptomonas_erosa"
"Chydorus_sphaericus" "Cryptomonas_ovata"
"Daphnia_catawba" "Oocyctis_sp."
"Daphnia_catawba" "Xanthidium_sp."
"Cryptomonas_erosa" "Daphnia_catawba"
"Cryptomonas_ovata" "Daphnia_catawba"
"Daphnia_catawba" "Mallomonas_sp."
"Daphnia_catawba" "Dinobryon_bavaricum"
"Daphnia_catawba" "Dinobryon_sertularia"
"Daphnia_catawba" "Dinobryon_sp."
"Daphnia_catawba" "Sphaerocystis_schroeteri"
"Daphnia_catawba" "Tabellaria_fenestrata"
"Daphnia_catawba" "Navicula_sp."
"Daphnia_catawba" "Chrysosphaerella_longispina"
"Daphnia_catawba" "Schroederia_setigera"
"Daphnia_catawba" "Melosira_sp."
"Daphnia_catawba" "Aphanothece_sp."
"Daphnia_catawba" "Nitzschia_sp."
"Daphnia_catawba" "Closterium_sp."
"Daphnia_catawba" "Botryococcus_braunii"
"Daphnia_catawba" "Merismopedia_tenuissima"
"Oocyctis_sp." "Daphnia_longiremis"
"Xanthidium_sp." "Daphnia_longiremis"
"Cryptomonas_erosa" "Daphnia_longiremis"
"Cryptomonas_ovata" "Daphnia_longiremis"
"Mallomonas_sp." "Daphnia_longiremis"
"Dinobryon_bavaricum" "Daphnia_longiremis"
"Dinobryon_sertularia" "Daphnia_longiremis"
"Dinobryon_sp." "Daphnia_longiremis"
"Sphaerocystis_schroeteri" "Daphnia_longiremis"
"Tabellaria_fenestrata" "Daphnia_longiremis"
"Navicula_sp." "Daphnia_longiremis"
"Chrysosphaerella_longispina" "Daphnia_longiremis"
"Schroederia_setigera" "Daphnia_longiremis"
"Melosira_sp." "Daphnia_longiremis"
"Aphanothece_sp." "Daphnia_longiremis"
"Nitzschia_sp." "Daphnia_longiremis"
"Closterium_sp." "Daphnia_longiremis"
"Botryococcus_braunii" "Daphnia_longiremis"
"Merismopedia_tenuissima" "Daphnia_longiremis"
"Oocyctis_sp." "Diaptomus_leptopus"
"Xanthidium_sp." "Diaptomus_leptopus"
"Cryptomonas_erosa" "Diaptomus_leptopus"
"Cryptomonas_ovata" "Diaptomus_leptopus"
