"Ictalurus_nebulosus" "benthic_detritus"
"Luxilus_cornutus" "Diaptomus_sicilis"
"Luxilus_cornutus" "Diaptomus_minutus"
"Luxilus_cornutus" "Keratella_cochlearis"
"Luxilus_cornutus" "Keratella_serrulata"
"Luxilus_cornutus" "Keratella_taurocephala"
"Luxilus_cornutus" "Holopedium_gibberum"
"Luxilus_cornutus" "Polyarthra_remata"
"Luxilus_cornutus" "Conochiloides_unicornis"
"Luxilus_cornutus" "Gastropus_stylifer"
"Luxilus_cornutus" "Polyarthra_euryptera"
"Luxilus_cornutus" "Bosmina_longirostris"
"Luxilus_cornutus" "Conochiloides_dossuarius"
"Luxilus_cornutus" "Keratella_crassa"
"Luxilus_cornutus" "Trichotria_tetractis"
"Luxilus_cornutus" "Ceriodaphnia_quadrangula"
"Luxilus_cornutus" "Daphnia_ambigua"
"Luxilus_cornutus" "Daphnia_parvula"
"Luxilus_cornutus" "Colletheca_mutabilis"
"Luxilus_cornutus" "Diaphanosoma_birgei"
"Luxilus_cornutus" "copepod_nauplii"
"Luxilus_cornutus" "Tropocyclops_prasinus"
"Luxilus_cornutus" "Eucyclops_agilis"
"Luxilus_cornutus" "Mesocyclops_edax"
"Luxilus_cornutus" "Epishura_lacustris"
"Luxilus_cornutus" "Asplanchna_sp."
"Luxilus_cornutus" "Leptodora_kindtii"
"benthic_detritus" "Luxilus_cornutus"
"Luxilus_cornutus" "Staurastrum_sp."
"Luxilus_cornutus" "Peridinium_wisconsinense"
"Diaptomus_sicilis" "Semotilus_atromaculatus"
"Diaptomus_minutus" "Semotilus_atromaculatus"
"Keratella_cochlearis" "Semotilus_atromaculatus"
"Keratella_serrulata" "Semotilus_atromaculatus"
"Keratella_taurocephala" "Semotilus_atromaculatus"
"Holopedium_gibberum" "Semotilus_atromaculatus"
"Polyarthra_remata" "Semotilus_atromaculatus"
"Conochiloides_unicornis" "Semotilus_atromaculatus"
"Gastropus_stylifer" "Semotilus_atromaculatus"
"Polyarthra_euryptera" "Semotilus_atromaculatus"
"Bosmina_longirostris" "Semotilus_atromaculatus"
"Conochiloides_dossuarius" "Semotilus_atromaculatus"
"Keratella_crassa" "Semotilus_atromaculatus"
"Trichotria_tetractis" "Semotilus_atromaculatus"
"Ceriodaphnia_quadrangula" "Semotilus_atromaculatus"
"Daphnia_ambigua" "Semotilus_atromaculatus"
"Daphnia_parvula" "Semotilus_atromaculatus"
"Colletheca_mutabilis" "Semotilus_atromaculatus"
"Diaphanosoma_birgei" "Semotilus_atromaculatus"
"copepod_nauplii" "Semotilus_atromaculatus"
"Tropocyclops_prasinus" "Semotilus_atromaculatus"
"Eucyclops_agilis" "Semotilus_atromaculatus"
"Mesocyclops_edax" "Semotilus_atromaculatus"
"Epishura_lacustris" "Semotilus_atromaculatus"
"Asplanchna_sp." "Semotilus_atromaculatus"
"Leptodora_kindtii" "Semotilus_atromaculatus"
"benthic_detritus" "Semotilus_atromaculatus"
"Staurastrum_sp." "Semotilus_atromaculatus"
"Peridinium_wisconsinense" "Semotilus_atromaculatus"
