"Ictalurus_nebulosus" "benthic_detritus"
"benthic_detritus" "Sida_crystallina"
"Sida_crystallina" "Tabellaria_flocculosa"
"Sida_crystallina" "Fragilaria_intermedia"
"Sida_crystallina" "Melosira_sp."
"Sida_crystallina" "fish_fry"
"fish_fry" "Chydorus_sphaericus"
"fish_fry" "Diaptomus_minutus"
"fish_fry" "Keratella_taurocephala"
"fish_fry" "Kelicottia_longispina"
"fish_fry" "Tropocyclops_prasinus"
"fish_fry" "Mesocyclops_edax"
"fish_fry" "Bosmina_longirostris"
"fish_fry" "Polyphemus_pediculus"
"fish_fry" "Diaphanosoma_birgei"
"fish_fry" "copepod_nauplii"
"benthic_detritus" "fish_fry"
"fish_fry" "fish_eggs"
"fish_fry" "Xanthidium_armatum"
"fish_fry" "Gymnodinium_palustre"
"fish_fry" "Desmidium_sp."
"fish_fry" "Staurastrum_sp."
"Tabellaria_flocculosa" "fish_fry"
"Fragilaria_intermedia" "fish_fry"
"Melosira_sp." "fish_fry"
"fish_fry" "Closterium_sp."
"benthic_detritus" "Chydorus_sphaericus"
"Chydorus_sphaericus" "Cryptomonas_erosa"
"Chydorus_sphaericus" "Cryptomonas_ovata"
"benthic_detritus" "Catostomus_commersoni"
"Sida_crystallina" "Perca_flavescens"
"fish_fry" "Perca_flavescens"
"Chydorus_sphaericus" "Perca_flavescens"
"Diaptomus_minutus" "Perca_flavescens"
"Keratella_taurocephala" "Perca_flavescens"
"Kelicottia_longispina" "Perca_flavescens"
"Tropocyclops_prasinus" "Perca_flavescens"
"Mesocyclops_edax" "Perca_flavescens"
"Bosmina_longirostris" "Perca_flavescens"
"Polyphemus_pediculus" "Perca_flavescens"
"Diaphanosoma_birgei" "Perca_flavescens"
"copepod_nauplii" "Perca_flavescens"
"fish_eggs" "Perca_flavescens"
"Diaptomus_minutus" "Oocyctis_sp."
"Diaptomus_minutus" "Cryptomonas_erosa"
"Diaptomus_minutus" "Cryptomonas_ovata"
"Diaptomus_minutus" "Xanthidium_armatum"
"Diaptomus_minutus" "Lyngbya_sp."
"Diaptomus_minutus" "Desmidium_sp."
"Diaptomus_minutus" "Mallomonas_sp."
"Diaptomus_minutus" "Staurastrum_sp."
"Tabellaria_flocculosa" "Diaptomus_minutus"
"Fragilaria_intermedia" "Diaptomus_minutus"
"Diaptomus_minutus" "Dinobryon_sertularia"
"Diaptomus_minutus" "Dinobryon_sp."
"Melosira_sp." "Diaptomus_minutus"
"Diaptomus_minutus" "Navicula_sp."
"Diaptomus_minutus" "Schroederia_setigera"
"Diaptomus_minutus" "Scenedesmus_longus"
"Diaptomus_minutus" "Scenedesmus_sp."
"Diaptomus_minutus" "Keriphyron_sp."
"Diaptomus_minutus" "Closterium_sp."
"Diaptomus_minutus" "Halotheca_sp."
"Diaptomus_minutus" "Merismopedia_punctata"
"Diaptomus_minutus" "Chroococcus_limneticus"
"Keratella_taurocephala" "Cryptomonas_erosa"
"Keratella_taurocephala" "Cryptomonas_ovata"
"Kelicottia_longispina" "Cryptomonas_erosa"
"Kelicottia_longispina" "Cryptomonas_ovata"
"Chydorus_sphaericus" "Tropocyclops_prasinus"
"Diaptomus_minutus" "Tropocyclops_prasinus"
"Keratella_taurocephala" "Tropocyclops_prasinus"
"Kelicottia_longispina" "Tropocyclops_prasinus"
"Tropocyclops_prasinus" "Mesocyclops_edax"
"Tropocyclops_prasinus" "Bosmina_longirostris"
"Tropocyclops_prasinus" "copepod_nauplii"
"Tropocyclops_prasinus" "Gymnodinium_palustre"
"Chydorus_sphaericus" "Mesocyclops_edax"
"Diaptomus_minutus" "Mesocyclops_edax"
"Keratella_taurocephala" "Mesocyclops_edax"
"Kelicottia_longispina" "Mesocyclops_edax"
"Mesocyclops_edax" "Bosmina_longirostris"
"Mesocyclops_edax" "copepod_nauplii"
"Mesocyclops_edax" "Gymnodinium_palustre"
"Bosmina_longirostris" "Cryptomonas_erosa"
"Bosmina_longirostris" "Cryptomonas_ovata"
"Chydorus_sphaericus" "Polyphemus_pediculus"
"Bosmina_longirostris" "Polyphemus_pediculus"
"Polyphemus_pediculus" "copepod_nauplii"
"Polyphemus_pediculus" "Gymnodinium_palustre"
"Diaphanosoma_birgei" "Cryptomonas_erosa"
"Diaphanosoma_birgei" "Cryptomonas_ovata"
"copepod_nauplii" "Cryptomonas_erosa"
"copepod_nauplii" "Cryptomonas_ovata"
