"Ictalurus_nebulosus" "benthic_detritus"
"Semotilus_atromaculatus" "Keratella_cochlearis"
"Semotilus_atromaculatus" "Keratella_taurocephala"
"Semotilus_atromaculatus" "Kelicottia_bostoniensis"
"Semotilus_atromaculatus" "Diaptomus_sicilis"
"Semotilus_atromaculatus" "Polyarthra_major"
"Semotilus_atromaculatus" "Trichocerca_multicrinis"
"Semotilus_atromaculatus" "Bosmina_longirostris"
"Semotilus_atromaculatus" "Diaptomus_minutus"
"Semotilus_atromaculatus" "Conochiloides_dossuarius"
"Semotilus_atromaculatus" "Keratella_crassa"
"Semotilus_atromaculatus" "Synchaeta_sp."
"Semotilus_atromaculatus" "Diaphanosoma_birgei"
"Semotilus_atromaculatus" "copepod_nauplii"
"Semotilus_atromaculatus" "Tropocyclops_prasinus"
"Semotilus_atromaculatus" "Mesocyclops_edax"
"benthic_detritus" "Semotilus_atromaculatus"
"Semotilus_atromaculatus" "Fragilaria_crotonensis"
"Semotilus_atromaculatus" "Asterionella_formosa"
"Semotilus_atromaculatus" "Nitzschia_sp."
"Semotilus_atromaculatus" "Zygnema_sp."
"Semotilus_atromaculatus" "Peridinium_inconspicuum"
"Semotilus_atromaculatus" "Peridinium_wisconsinense"
"Keratella_cochlearis" "fish_fry"
"Keratella_taurocephala" "fish_fry"
"Kelicottia_bostoniensis" "fish_fry"
"Diaptomus_sicilis" "fish_fry"
"Polyarthra_major" "fish_fry"
"Trichocerca_multicrinis" "fish_fry"
"Bosmina_longirostris" "fish_fry"
"Diaptomus_minutus" "fish_fry"
"Conochiloides_dossuarius" "fish_fry"
"Keratella_crassa" "fish_fry"
"Synchaeta_sp." "fish_fry"
"Diaphanosoma_birgei" "fish_fry"
"copepod_nauplii" "fish_fry"
"Tropocyclops_prasinus" "fish_fry"
"Mesocyclops_edax" "fish_fry"
"benthic_detritus" "fish_fry"
"fish_fry" "fish_eggs"
"Fragilaria_crotonensis" "fish_fry"
"Asterionella_formosa" "fish_fry"
"Nitzschia_sp." "fish_fry"
"Zygnema_sp." "fish_fry"
"Peridinium_inconspicuum" "fish_fry"
"Peridinium_wisconsinense" "fish_fry"
"benthic_detritus" "Catostomus_commersoni"
"Keratella_cochlearis" "Carteria_sp."
"Keratella_cochlearis" "Cryptomonas_erosa"
"Keratella_cochlearis" "Cryptomonas_ovata"
"Keratella_cochlearis" "nanoflagellates"
"Keratella_taurocephala" "Carteria_sp."
"Keratella_taurocephala" "Cryptomonas_erosa"
"Keratella_taurocephala" "Cryptomonas_ovata"
"Keratella_taurocephala" "nanoflagellates"
"Kelicottia_bostoniensis" "Carteria_sp."
"Kelicottia_bostoniensis" "Cryptomonas_erosa"
"Kelicottia_bostoniensis" "Cryptomonas_ovata"
"Kelicottia_bostoniensis" "nanoflagellates"
"Diaptomus_sicilis" "Carteria_sp."
"Diaptomus_sicilis" "Oocyctis_sp."
"Diaptomus_sicilis" "Rhizosolenia_eriensis"
"Diaptomus_sicilis" "Cryptomonas_erosa"
"Diaptomus_sicilis" "Cryptomonas_ovata"
"Diaptomus_sicilis" "Mallomonas_sp."
"Diaptomus_sicilis" "Fragilaria_crotonensis"
"Diaptomus_sicilis" "Sphaerocystis_schroeteri"
"Diaptomus_sicilis" "Tetraedrom_sp."
"Diaptomus_sicilis" "Asterionella_formosa"
"Diaptomus_sicilis" "Microsystis_sp."
"Diaptomus_sicilis" "Arthrodesmus_incus"
"Diaptomus_sicilis" "Scenedesmus_sp."
"Diaptomus_sicilis" "Nitzschia_sp."
"Diaptomus_sicilis" "Keriphyron_sp."
"Polyarthra_major" "Carteria_sp."
"Polyarthra_major" "Cryptomonas_erosa"
"Polyarthra_major" "Cryptomonas_ovata"
"Polyarthra_major" "nanoflagellates"
"Trichocerca_multicrinis" "Carteria_sp."
"Trichocerca_multicrinis" "Cryptomonas_erosa"
"Trichocerca_multicrinis" "Cryptomonas_ovata"
"Trichocerca_multicrinis" "nanoflagellates"
"Bosmina_longirostris" "Carteria_sp."
"Bosmina_longirostris" "Cryptomonas_erosa"
"Bosmina_longirostris" "Cryptomonas_ovata"
"Bosmina_longirostris" "nanoflagellates"
"Diaptomus_minutus" "Carteria_sp."
"Diaptomus_minutus" "Oocyctis_sp."
"Diaptomus_minutus" "Rhizosolenia_eriensis"
"Diaptomus_minutus" "Cryptomonas_erosa"
"Diaptomus_minutus" "Cryptomonas_ovata"
"Diaptomus_minutus" "Mallomonas_sp."
"Diaptomus_minutus" "Fragilaria_crotonensis"
"Diaptomus_minutus" "Sphaerocystis_schroeteri"
"Diaptomus_minutus" "Tetraedrom_sp."
"Diaptomus_minutus" "Asterionella_formosa"
"Diaptomus_minutus" "Microsystis_sp."
"Diaptomus_minutus" "Arthrodesmus_incus"
"Diaptomus_minutus" "Scenedesmus_sp."
"Diaptomus_minutus" "Nitzschia_sp."
"Diaptomus_minutus" "Keriphyron_sp."
"Conochiloides_dossuarius" "Carteria_sp."
"Conochiloides_dossuarius" "Cryptomonas_erosa"
"Conochiloides_dossuarius" "Cryptomonas_ovata"
"Conochiloides_dossuarius" "nanoflagellates"
"Keratella_crassa" "Carteria_sp."
"Keratella_crassa" "Cryptomonas_erosa"
"Keratella_crassa" "Cryptomonas_ovata"
"Keratella_crassa" "nanoflagellates"
"Synchaeta_sp." "Carteria_sp."
"Synchaeta_sp." "Cryptomonas_erosa"
"Synchaeta_sp." "Cryptomonas_ovata"
"Synchaeta_sp." "nanoflagellates"
"Diaphanosoma_birgei" "Carteria_sp."
"Diaphanosoma_birgei" "Cryptomonas_erosa"
"Diaphanosoma_birgei" "Cryptomonas_ovata"
"Diaphanosoma_birgei" "nanoflagellates"
"copepod_nauplii" "Carteria_sp."
"copepod_nauplii" "Cryptomonas_erosa"
"copepod_nauplii" "Cryptomonas_ovata"
"copepod_nauplii" "nanoflagellates"
"Keratella_cochlearis" "Notemigonus_crysoleucas"
"Keratella_taurocephala" "Notemigonus_crysoleucas"
"Kelicottia_bostoniensis" "Notemigonus_crysoleucas"
"Diaptomus_sicilis" "Notemigonus_crysoleucas"
"Polyarthra_major" "Notemigonus_crysoleucas"
"Trichocerca_multicrinis" "Notemigonus_crysoleucas"
"Bosmina_longirostris" "Notemigonus_crysoleucas"
"Diaptomus_minutus" "Notemigonus_crysoleucas"
"Conochiloides_dossuarius" "Notemigonus_crysoleucas"
"Keratella_crassa" "Notemigonus_crysoleucas"
"Synchaeta_sp." "Notemigonus_crysoleucas"
"Diaphanosoma_birgei" "Notemigonus_crysoleucas"
"copepod_nauplii" "Notemigonus_crysoleucas"
"Tropocyclops_prasinus" "Notemigonus_crysoleucas"
"Mesocyclops_edax" "Notemigonus_crysoleucas"
"Zygnema_sp." "Notemigonus_crysoleucas"
"Keratella_cochlearis" "Tropocyclops_prasinus"
"Keratella_taurocephala" "Tropocyclops_prasinus"
"Kelicottia_bostoniensis" "Tropocyclops_prasinus"
"Diaptomus_sicilis" "Tropocyclops_prasinus"
"Polyarthra_major" "Tropocyclops_prasinus"
"Trichocerca_multicrinis" "Tropocyclops_prasinus"
"Bosmina_longirostris" "Tropocyclops_prasinus"
"Diaptomus_minutus" "Tropocyclops_prasinus"
"Conochiloides_dossuarius" "Tropocyclops_prasinus"
"Keratella_crassa" "Tropocyclops_prasinus"
"Synchaeta_sp." "Tropocyclops_prasinus"
"copepod_nauplii" "Tropocyclops_prasinus"
"Tropocyclops_prasinus" "Mesocyclops_edax"
"Tropocyclops_prasinus" "Peridinium_inconspicuum"
"Tropocyclops_prasinus" "Peridinium_wisconsinense"
"Keratella_cochlearis" "Mesocyclops_edax"
"Keratella_taurocephala" "Mesocyclops_edax"
"Kelicottia_bostoniensis" "Mesocyclops_edax"
"Diaptomus_sicilis" "Mesocyclops_edax"
"Polyarthra_major" "Mesocyclops_edax"
"Trichocerca_multicrinis" "Mesocyclops_edax"
"Bosmina_longirostris" "Mesocyclops_edax"
"Diaptomus_minutus" "Mesocyclops_edax"
"Conochiloides_dossuarius" "Mesocyclops_edax"
"Keratella_crassa" "Mesocyclops_edax"
"Synchaeta_sp." "Mesocyclops_edax"
"copepod_nauplii" "Mesocyclops_edax"
"Mesocyclops_edax" "Peridinium_inconspicuum"
"Mesocyclops_edax" "Peridinium_wisconsinense"
