"Ictalurus_nebulosus" "benthic_detritus"
"fish_fry" "Daphnia_catawba"
"fish_fry" "Daphnia_galeata"
"fish_fry" "Daphnia_longiremis"
"fish_fry" "Diaptomus_minutus"
"fish_fry" "Keratella_cochlearis"
"fish_fry" "Keratella_taurocephala"
"fish_fry" "Kelicottia_longispina"
"fish_fry" "Tropocyclops_prasinus"
"fish_fry" "Asplanchna_sp."
"fish_fry" "Holopedium_gibberum"
"fish_fry" "Mesocyclops_edax"
"fish_fry" "Cyclops_vernalis"
"fish_fry" "Trichocerca_cylindrica"
"fish_fry" "Ascomorpha_ecaudis"
"fish_fry" "Conochiloides_unicornis"
"fish_fry" "Epishura_lacustris"
"fish_fry" "Trichocerca_pusilla"
"fish_fry" "Gastropus_stylifer"
"fish_fry" "Polyarthra_major"
"fish_fry" "Polyarthra_euryptera"
"fish_fry" "Bosmina_longirostris"
"fish_fry" "Conochiloides_dossuarius"
"fish_fry" "Synchaeta_sp."
"fish_fry" "Leptodora_kindtii"
"fish_fry" "Colletheca_mutabilis"
"fish_fry" "Diaphanosoma_birgei"
"fish_fry" "copepod_nauplii"
"benthic_detritus" "fish_fry"
"fish_fry" "fish_eggs"
"fish_fry" "Gymnodinium_palustre"
"fish_fry" "Fragilaria_sp."
"fish_fry" "Tabellaria_fenestrata"
"fish_fry" "Asterionella_formosa"
"fish_fry" "Peridinium_cinctum"
"fish_fry" "Peridinium_inconspicuum"
"fish_fry" "Ceratium_carolinianum"
"fish_fry" "Lepomis_gibbosus"
"Daphnia_catawba" "Lepomis_gibbosus"
"Daphnia_galeata" "Lepomis_gibbosus"
"Daphnia_longiremis" "Lepomis_gibbosus"
"Diaptomus_minutus" "Lepomis_gibbosus"
"Keratella_cochlearis" "Lepomis_gibbosus"
"Keratella_taurocephala" "Lepomis_gibbosus"
"Kelicottia_longispina" "Lepomis_gibbosus"
"Tropocyclops_prasinus" "Lepomis_gibbosus"
"Asplanchna_sp." "Lepomis_gibbosus"
"Holopedium_gibberum" "Lepomis_gibbosus"
"Mesocyclops_edax" "Lepomis_gibbosus"
"Cyclops_vernalis" "Lepomis_gibbosus"
"Trichocerca_cylindrica" "Lepomis_gibbosus"
"Ascomorpha_ecaudis" "Lepomis_gibbosus"
"Conochiloides_unicornis" "Lepomis_gibbosus"
"Epishura_lacustris" "Lepomis_gibbosus"
"Trichocerca_pusilla" "Lepomis_gibbosus"
"Gastropus_stylifer" "Lepomis_gibbosus"
"Polyarthra_major" "Lepomis_gibbosus"
"Polyarthra_euryptera" "Lepomis_gibbosus"
"Bosmina_longirostris" "Lepomis_gibbosus"
"Conochiloides_dossuarius" "Lepomis_gibbosus"
"Synchaeta_sp." "Lepomis_gibbosus"
"Leptodora_kindtii" "Lepomis_gibbosus"
"Colletheca_mutabilis" "Lepomis_gibbosus"
"Diaphanosoma_birgei" "Lepomis_gibbosus"
"copepod_nauplii" "Lepomis_gibbosus"
"benthic_detritus" "Lepomis_gibbosus"
"fish_eggs" "Lepomis_gibbosus"
"benthic_detritus" "Prosopium_cylindraceum"
"benthic_detritus" "Catostomus_commersoni"
"fish_fry" "Perca_flavescens"
"Daphnia_catawba" "Perca_flavescens"
"Daphnia_galeata" "Perca_flavescens"
"Daphnia_longiremis" "Perca_flavescens"
"Diaptomus_minutus" "Perca_flavescens"
"Keratella_cochlearis" "Perca_flavescens"
"Keratella_taurocephala" "Perca_flavescens"
"Kelicottia_longispina" "Perca_flavescens"
"Tropocyclops_prasinus" "Perca_flavescens"
"Asplanchna_sp." "Perca_flavescens"
"Holopedium_gibberum" "Perca_flavescens"
"Mesocyclops_edax" "Perca_flavescens"
"Cyclops_vernalis" "Perca_flavescens"
"Trichocerca_cylindrica" "Perca_flavescens"
"Ascomorpha_ecaudis" "Perca_flavescens"
"Conochiloides_unicornis" "Perca_flavescens"
"Epishura_lacustris" "Perca_flavescens"
"Trichocerca_pusilla" "Perca_flavescens"
"Gastropus_stylifer" "Perca_flavescens"
"Polyarthra_major" "Perca_flavescens"
"Polyarthra_euryptera" "Perca_flavescens"
"Bosmina_longirostris" "Perca_flavescens"
"Conochiloides_dossuarius" "Perca_flavescens"
"Synchaeta_sp." "Perca_flavescens"
"Leptodora_kindtii" "Perca_flavescens"
"Colletheca_mutabilis" "Perca_flavescens"
"Diaphanosoma_birgei" "Perca_flavescens"
"copepod_nauplii" "Perca_flavescens"
"fish_eggs" "Perca_flavescens"
"fish_fry" "Coregonus_clupeaformis"
"Daphnia_catawba" "Coregonus_clupeaformis"
"Daphnia_galeata" "Coregonus_clupeaformis"
"Daphnia_longiremis" "Coregonus_clupeaformis"
"Diaptomus_minutus" "Coregonus_clupeaformis"
"Keratella_cochlearis" "Coregonus_clupeaformis"
"Keratella_taurocephala" "Coregonus_clupeaformis"
"Kelicottia_longispina" "Coregonus_clupeaformis"
"Tropocyclops_prasinus" "Coregonus_clupeaformis"
"Asplanchna_sp." "Coregonus_clupeaformis"
"Holopedium_gibberum" "Coregonus_clupeaformis"
"Mesocyclops_edax" "Coregonus_clupeaformis"
"Cyclops_vernalis" "Coregonus_clupeaformis"
"Trichocerca_cylindrica" "Coregonus_clupeaformis"
"Ascomorpha_ecaudis" "Coregonus_clupeaformis"
"Conochiloides_unicornis" "Coregonus_clupeaformis"
"Epishura_lacustris" "Coregonus_clupeaformis"
"Trichocerca_pusilla" "Coregonus_clupeaformis"
"Gastropus_stylifer" "Coregonus_clupeaformis"
"Polyarthra_major" "Coregonus_clupeaformis"
"Polyarthra_euryptera" "Coregonus_clupeaformis"
"Bosmina_longirostris" "Coregonus_clupeaformis"
"Conochiloides_dossuarius" "Coregonus_clupeaformis"
"Synchaeta_sp." "Coregonus_clupeaformis"
"Leptodora_kindtii" "Coregonus_clupeaformis"
"Colletheca_mutabilis" "Coregonus_clupeaformis"
"Diaphanosoma_birgei" "Coregonus_clupeaformis"
"copepod_nauplii" "Coregonus_clupeaformis"
"fish_eggs" "Coregonus_clupeaformis"
"Daphnia_catawba" "Oocyctis_sp."
"Daphnia_catawba" "Cryptomonas_erosa"
"Daphnia_catawba" "Mallomonas_sp."
"Daphnia_catawba" "Fragilaria_sp."
"Daphnia_catawba" "Dinobryon_bavaricum"
"Daphnia_catawba" "Dinobryon_sertularia"
"Daphnia_catawba" "Sphaerocystis_schroeteri"
"Daphnia_catawba" "Tabellaria_fenestrata"
"Daphnia_catawba" "Chrysocapsa_planktonica"
"Daphnia_catawba" "Quadrigula_closterioides"
"Daphnia_catawba" "Navicula_sp."
"Daphnia_catawba" "Spondylosium_planum"
"Daphnia_catawba" "Chrysosphaerella_longispina"
"Daphnia_catawba" "Asterionella_formosa"
"Daphnia_catawba" "Arthrodesmus_incus"
"Daphnia_catawba" "Elakatrothrix_gelatinosa"
"Daphnia_catawba" "Aphanothece_sp."
"Daphnia_catawba" "Cyclotella_sp."
"Daphnia_catawba" "Rhabdoderma_lineare"
"Daphnia_catawba" "Coelosphaerium_pallidum"
"Daphnia_catawba" "Anabaena_flos-aquae"
"Daphnia_catawba" "Botryococcus_braunii"
"Daphnia_catawba" "Merismopedia_tenuissima"
"Daphnia_catawba" "Chroococcus_limneticus"
"Daphnia_catawba" "nanoflagellates"
"Daphnia_galeata" "Oocyctis_sp."
"Daphnia_galeata" "Cryptomonas_erosa"
"Daphnia_galeata" "Mallomonas_sp."
"Daphnia_galeata" "Fragilaria_sp."
"Daphnia_galeata" "Dinobryon_bavaricum"
"Daphnia_galeata" "Dinobryon_sertularia"
"Daphnia_galeata" "Sphaerocystis_schroeteri"
"Daphnia_galeata" "Tabellaria_fenestrata"
"Daphnia_galeata" "Chrysocapsa_planktonica"
"Daphnia_galeata" "Quadrigula_closterioides"
"Daphnia_galeata" "Navicula_sp."
"Daphnia_galeata" "Spondylosium_planum"
