"Ictalurus_nebulosus" "benthic_detritus"
"fish_fry" "Alona_rectangula"
"fish_fry" "Chydorus_sphaericus"
"fish_fry" "Eucentrum_sp."
"fish_fry" "Keratella_cochlearis"
"fish_fry" "Keratella_taurocephala"
"fish_fry" "Daphnia_catawba"
"fish_fry" "Kelicottia_bostoniensis"
"fish_fry" "Diaptomus_minutus"
"fish_fry" "Cyclops_bicuspidatus"
"fish_fry" "Asplanchna_sp."
"fish_fry" "Lepadella_cristata"
"fish_fry" "Ascomorpha_ecaudis"
"fish_fry" "Conochiloides_unicornis"
"fish_fry" "Polyarthra_vulgaris"
"fish_fry" "Trichocerca_pusilla"
"fish_fry" "Gastropus_stylifer"
"fish_fry" "Polyarthra_major"
"fish_fry" "Trichocerca_multicrinis"
"fish_fry" "Monostyla_lunaris"
"fish_fry" "Bosmina_longirostris"
"fish_fry" "Conochiloides_dossuarius"
"fish_fry" "Keratella_crassa"
"fish_fry" "Euchlanis_calpidia"
"fish_fry" "Euchlanis_sp."
"fish_fry" "Synchaeta_sp."
"fish_fry" "Colletheca_mutabilis"
"fish_fry" "copepod_nauplii"
"benthic_detritus" "fish_fry"
"fish_fry" "fish_eggs"
"fish_fry" "Gymnodinium_palustre"
"fish_fry" "Staurastrum_megacanthum"
"fish_fry" "Fragilaria_crotonensis"
"fish_fry" "Cosmarium_sp."
"fish_fry" "Peridinium_inconspicuum"
"fish_fry" "Peridinium_wisconsinense"
"fish_fry" "Lepomis_gibbosus"
"Alona_rectangula" "Lepomis_gibbosus"
"Chydorus_sphaericus" "Lepomis_gibbosus"
"Eucentrum_sp." "Lepomis_gibbosus"
"Keratella_cochlearis" "Lepomis_gibbosus"
"Keratella_taurocephala" "Lepomis_gibbosus"
"Daphnia_catawba" "Lepomis_gibbosus"
"Kelicottia_bostoniensis" "Lepomis_gibbosus"
"Diaptomus_minutus" "Lepomis_gibbosus"
"Cyclops_bicuspidatus" "Lepomis_gibbosus"
"Asplanchna_sp." "Lepomis_gibbosus"
"Lepadella_cristata" "Lepomis_gibbosus"
"Ascomorpha_ecaudis" "Lepomis_gibbosus"
"Conochiloides_unicornis" "Lepomis_gibbosus"
"Polyarthra_vulgaris" "Lepomis_gibbosus"
"Trichocerca_pusilla" "Lepomis_gibbosus"
"Gastropus_stylifer" "Lepomis_gibbosus"
"Polyarthra_major" "Lepomis_gibbosus"
"Trichocerca_multicrinis" "Lepomis_gibbosus"
"Monostyla_lunaris" "Lepomis_gibbosus"
"Bosmina_longirostris" "Lepomis_gibbosus"
"Conochiloides_dossuarius" "Lepomis_gibbosus"
"Keratella_crassa" "Lepomis_gibbosus"
"Euchlanis_calpidia" "Lepomis_gibbosus"
"Euchlanis_sp." "Lepomis_gibbosus"
"Synchaeta_sp." "Lepomis_gibbosus"
"Colletheca_mutabilis" "Lepomis_gibbosus"
"copepod_nauplii" "Lepomis_gibbosus"
"benthic_detritus" "Lepomis_gibbosus"
"fish_eggs" "Lepomis_gibbosus"
"benthic_detritus" "Alona_rectangula"
"Alona_rectangula" "Fragilaria_crotonensis"
"Alona_rectangula" "Euglena_acus"
"benthic_detritus" "Chydorus_sphaericus"
"Chydorus_sphaericus" "Cryptomonas_erosa"
"Chydorus_sphaericus" "Cryptomonas_ovata"
"Chydorus_sphaericus" "nanoflagellates"
"Eucentrum_sp." "Cryptomonas_erosa"
"Eucentrum_sp." "Cryptomonas_ovata"
"Eucentrum_sp." "nanoflagellates"
"Keratella_cochlearis" "Cryptomonas_erosa"
"Keratella_cochlearis" "Cryptomonas_ovata"
"Keratella_cochlearis" "nanoflagellates"
"Keratella_taurocephala" "Cryptomonas_erosa"
"Keratella_taurocephala" "Cryptomonas_ovata"
"Keratella_taurocephala" "nanoflagellates"
"Daphnia_catawba" "Cryptomonas_erosa"
"Daphnia_catawba" "Cryptomonas_ovata"
"Daphnia_catawba" "Rhizosolenia_eriensis"
"Daphnia_catawba" "Mallomonas_sp."
"Daphnia_catawba" "Staurastrum_megacanthum"
"Daphnia_catawba" "Fragilaria_crotonensis"
"Daphnia_catawba" "Dinobryon_bavaricum"
"Daphnia_catawba" "Navicula_sp."
"Daphnia_catawba" "Tetraedrom_sp."
"Daphnia_catawba" "Cosmarium_sp."
"Daphnia_catawba" "Scenedesmus_sp."
"Daphnia_catawba" "Botryococcus_braunii"
"Daphnia_catawba" "Ankistrodesmus_falcatus"
"Daphnia_catawba" "nanoflagellates"
"Daphnia_catawba" "Euglena_acus"
"Daphnia_catawba" "Synura_sp."
"Kelicottia_bostoniensis" "Cryptomonas_erosa"
"Kelicottia_bostoniensis" "Cryptomonas_ovata"
"Kelicottia_bostoniensis" "nanoflagellates"
"Diaptomus_minutus" "Cryptomonas_erosa"
"Diaptomus_minutus" "Cryptomonas_ovata"
"Diaptomus_minutus" "Rhizosolenia_eriensis"
"Diaptomus_minutus" "Mallomonas_sp."
"Diaptomus_minutus" "Staurastrum_megacanthum"
"Diaptomus_minutus" "Fragilaria_crotonensis"
"Diaptomus_minutus" "Dinobryon_bavaricum"
"Diaptomus_minutus" "Navicula_sp."
"Diaptomus_minutus" "Tetraedrom_sp."
"Diaptomus_minutus" "Cosmarium_sp."
"Diaptomus_minutus" "Scenedesmus_sp."
"Diaptomus_minutus" "Botryococcus_braunii"
"Diaptomus_minutus" "Ankistrodesmus_falcatus"
"Diaptomus_minutus" "Euglena_acus"
"Diaptomus_minutus" "Synura_sp."
