"Ictalurus_nebulosus" "benthic_detritus"
"fish_fry" "Alona_affinis"
"fish_fry" "Daphnia_catawba"
"fish_fry" "Diaptomus_minutus"
"fish_fry" "Keratella_taurocephala"
"fish_fry" "Kelicottia_longispina"
"fish_fry" "Holopedium_gibberum"
"fish_fry" "Conochiloides_unicornis"
"fish_fry" "Gastropus_stylifer"
"fish_fry" "Polyarthra_major"
"fish_fry" "Bosmina_longirostris"
"fish_fry" "Euchlanis_triquetra"
"fish_fry" "Ceriodaphnia_quadrangula"
"fish_fry" "Colletheca_mutabilis"
"fish_fry" "copepod_nauplii"
"fish_fry" "Tropocyclops_prasinus"
"fish_fry" "Mesocyclops_edax"
"fish_fry" "Asplanchna_sp."
"benthic_detritus" "fish_fry"
"fish_fry" "fish_eggs"
"fish_fry" "Polyarthra_remata"
"fish_fry" "Peridinium_cinctum"
"fish_fry" "Peridinium_inconspicuum"
"fish_fry" "Lepomis_gibbosus"
"Alona_affinis" "Lepomis_gibbosus"
"Daphnia_catawba" "Lepomis_gibbosus"
"Diaptomus_minutus" "Lepomis_gibbosus"
"Keratella_taurocephala" "Lepomis_gibbosus"
"Kelicottia_longispina" "Lepomis_gibbosus"
"Holopedium_gibberum" "Lepomis_gibbosus"
"Conochiloides_unicornis" "Lepomis_gibbosus"
"Gastropus_stylifer" "Lepomis_gibbosus"
"Polyarthra_major" "Lepomis_gibbosus"
"Bosmina_longirostris" "Lepomis_gibbosus"
"Euchlanis_triquetra" "Lepomis_gibbosus"
"Ceriodaphnia_quadrangula" "Lepomis_gibbosus"
"Colletheca_mutabilis" "Lepomis_gibbosus"
"copepod_nauplii" "Lepomis_gibbosus"
"Tropocyclops_prasinus" "Lepomis_gibbosus"
"Mesocyclops_edax" "Lepomis_gibbosus"
"Asplanchna_sp." "Lepomis_gibbosus"
"benthic_detritus" "Lepomis_gibbosus"
"fish_eggs" "Lepomis_gibbosus"
"Polyarthra_remata" "Lepomis_gibbosus"
"benthic_detritus" "Alona_affinis"
"fish_fry" "Perca_flavescens"
"Alona_affinis" "Perca_flavescens"
"Daphnia_catawba" "Perca_flavescens"
"Diaptomus_minutus" "Perca_flavescens"
"Keratella_taurocephala" "Perca_flavescens"
"Kelicottia_longispina" "Perca_flavescens"
"Holopedium_gibberum" "Perca_flavescens"
"Conochiloides_unicornis" "Perca_flavescens"
"Gastropus_stylifer" "Perca_flavescens"
"Polyarthra_major" "Perca_flavescens"
"Bosmina_longirostris" "Perca_flavescens"
"Euchlanis_triquetra" "Perca_flavescens"
"Ceriodaphnia_quadrangula" "Perca_flavescens"
"Colletheca_mutabilis" "Perca_flavescens"
"copepod_nauplii" "Perca_flavescens"
"Tropocyclops_prasinus" "Perca_flavescens"
"Mesocyclops_edax" "Perca_flavescens"
"Asplanchna_sp." "Perca_flavescens"
"fish_eggs" "Perca_flavescens"
"Polyarthra_remata" "Perca_flavescens"
"Daphnia_catawba" "Oocyctis_sp."
"Daphnia_catawba" "Cryptomonas_erosa"
"Daphnia_catawba" "Cryptomonas_ovata"
"Daphnia_catawba" "Mallomonas_sp."
"Daphnia_catawba" "Sphaerocystis_schroeteri"
"Daphnia_catawba" "Chrysosphaerella_longispina"
"Daphnia_catawba" "Scenedesmus_sp."
"Daphnia_catawba" "Merismopedia_punctata"
"Daphnia_catawba" "Merismopedia_tenuissima"
"Daphnia_catawba" "Chroococcus_limneticus"
"Diaptomus_minutus" "Oocyctis_sp."
"Diaptomus_minutus" "Cryptomonas_erosa"
"Diaptomus_minutus" "Cryptomonas_ovata"
"Diaptomus_minutus" "Mallomonas_sp."
"Diaptomus_minutus" "Sphaerocystis_schroeteri"
"Diaptomus_minutus" "Chrysosphaerella_longispina"
"Diaptomus_minutus" "Scenedesmus_sp."
"Diaptomus_minutus" "Merismopedia_punctata"
"Diaptomus_minutus" "Merismopedia_tenuissima"
"Diaptomus_minutus" "Chroococcus_limneticus"
"Keratella_taurocephala" "Cryptomonas_erosa"
"Keratella_taurocephala" "Cryptomonas_ovata"
"Kelicottia_longispina" "Cryptomonas_erosa"
"Kelicottia_longispina" "Cryptomonas_ovata"
"Holopedium_gibberum" "Oocyctis_sp."
"Holopedium_gibberum" "Cryptomonas_erosa"
"Holopedium_gibberum" "Cryptomonas_ovata"
"Holopedium_gibberum" "Mallomonas_sp."
"Holopedium_gibberum" "Sphaerocystis_schroeteri"
"Holopedium_gibberum" "Chrysosphaerella_longispina"
"Holopedium_gibberum" "Scenedesmus_sp."
"Holopedium_gibberum" "Merismopedia_punctata"
"Holopedium_gibberum" "Merismopedia_tenuissima"
"Holopedium_gibberum" "Chroococcus_limneticus"
"Conochiloides_unicornis" "Cryptomonas_erosa"
"Conochiloides_unicornis" "Cryptomonas_ovata"
"Gastropus_stylifer" "Cryptomonas_erosa"
"Gastropus_stylifer" "Cryptomonas_ovata"
"Polyarthra_major" "Cryptomonas_erosa"
"Polyarthra_major" "Cryptomonas_ovata"
"Cryptomonas_erosa" "Polyarthra_euryptera"
"Cryptomonas_ovata" "Polyarthra_euryptera"
"Bosmina_longirostris" "Cryptomonas_erosa"
"Bosmina_longirostris" "Cryptomonas_ovata"
"Euchlanis_triquetra" "Cryptomonas_erosa"
"Euchlanis_triquetra" "Cryptomonas_ovata"
"Ceriodaphnia_quadrangula" "Cryptomonas_erosa"
"Ceriodaphnia_quadrangula" "Cryptomonas_ovata"
"Colletheca_mutabilis" "Cryptomonas_erosa"
"Colletheca_mutabilis" "Cryptomonas_ovata"
"copepod_nauplii" "Cryptomonas_erosa"
"copepod_nauplii" "Cryptomonas_ovata"
"Alona_affinis" "Tropocyclops_prasinus"
"Diaptomus_minutus" "Tropocyclops_prasinus"
"Keratella_taurocephala" "Tropocyclops_prasinus"
"Kelicottia_longispina" "Tropocyclops_prasinus"
"Conochiloides_unicornis" "Tropocyclops_prasinus"
"Gastropus_stylifer" "Tropocyclops_prasinus"
"Polyarthra_major" "Tropocyclops_prasinus"
"Bosmina_longirostris" "Tropocyclops_prasinus"
"Euchlanis_triquetra" "Tropocyclops_prasinus"
"Ceriodaphnia_quadrangula" "Tropocyclops_prasinus"
"Colletheca_mutabilis" "Tropocyclops_prasinus"
"copepod_nauplii" "Tropocyclops_prasinus"
"Tropocyclops_prasinus" "Mesocyclops_edax"
"Tropocyclops_prasinus" "Polyarthra_remata"
"Tropocyclops_prasinus" "Peridinium_cinctum"
"Tropocyclops_prasinus" "Peridinium_inconspicuum"
"Alona_affinis" "Mesocyclops_edax"
"Diaptomus_minutus" "Mesocyclops_edax"
"Keratella_taurocephala" "Mesocyclops_edax"
"Kelicottia_longispina" "Mesocyclops_edax"
"Conochiloides_unicornis" "Mesocyclops_edax"
"Gastropus_stylifer" "Mesocyclops_edax"
"Polyarthra_major" "Mesocyclops_edax"
"Bosmina_longirostris" "Mesocyclops_edax"
"Euchlanis_triquetra" "Mesocyclops_edax"
"Ceriodaphnia_quadrangula" "Mesocyclops_edax"
"Colletheca_mutabilis" "Mesocyclops_edax"
"copepod_nauplii" "Mesocyclops_edax"
"Mesocyclops_edax" "Polyarthra_remata"
"Mesocyclops_edax" "Peridinium_cinctum"
"Mesocyclops_edax" "Peridinium_inconspicuum"
"Keratella_taurocephala" "Asplanchna_sp."
"Kelicottia_longispina" "Asplanchna_sp."
"Conochiloides_unicornis" "Asplanchna_sp."
"Gastropus_stylifer" "Asplanchna_sp."
"Polyarthra_major" "Asplanchna_sp."
"Euchlanis_triquetra" "Asplanchna_sp."
"Colletheca_mutabilis" "Asplanchna_sp."
"Asplanchna_sp." "Polyarthra_remata"
"Asplanchna_sp." "Peridinium_cinctum"
"Asplanchna_sp." "Peridinium_inconspicuum"
