link.citation,con.taxonomy,res.taxonomy,foodweb.name
Digel et al. (2014),Lithobius crassipes,Acrotrichis sp.,AEW49
Digel et al. (2014),Lithobius sp.,Acrotrichis sp.,AEW49
Digel et al. (2014),Geophilus ribauti,Acrotrichis sp.,AEW49
Digel et al. (2014),Schendyla nemorensis,Acrotrichis sp.,AEW49
Digel et al. (2014),Geophilus flavus,Acrotrichis sp.,AEW49
Digel et al. (2014),Strigamia acuminata,Acrotrichis sp.,AEW49
Digel et al. (2014),Malthodes sp. (juv),Acrotrichis sp.,AEW49
Digel et al. (2014),Rhagonycha lignosa,Acrotrichis sp.,AEW49
Digel et al. (2014),Athous subfuscus (juv) {m},Acrotrichis sp.,AEW49
Digel et al. (2014),Atheta sp.,Acrotrichis sp.,AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Acrotrichis sp.,AEW49
Digel et al. (2014),Amaurobius sp. (juv),Acrotrichis sp.,AEW49
Digel et al. (2014),Diplocephalus picinus,Acrotrichis sp.,AEW49
Digel et al. (2014),Hahnia pusilla,Acrotrichis sp.,AEW49
Digel et al. (2014),Harpactea lepida (juv) small,Acrotrichis sp.,AEW49
Digel et al. (2014),Harpactea lepida small,Acrotrichis sp.,AEW49
Digel et al. (2014),Linyphiidae (juv),Acrotrichis sp.,AEW49
Digel et al. (2014),Microneta viaria,Acrotrichis sp.,AEW49
Digel et al. (2014),Neobisium carcinoides,Acrotrichis sp.,AEW49
Digel et al. (2014),Robertus lividus,Acrotrichis sp.,AEW49
Digel et al. (2014),Saloca diceros,Acrotrichis sp.,AEW49
Digel et al. (2014),Diplostyla concolor,Acrotrichis sp.,AEW49
Digel et al. (2014),Monocephalus fuscipes,Acrotrichis sp.,AEW49
Digel et al. (2014),Lithobius aeruginosus (juv),Acrotrichis sp.,AEW49
Digel et al. (2014),Lithobius lapidicola,Acrotrichis sp.,AEW49
Digel et al. (2014),Malthinus seriepunctatus (juv),Acrotrichis sp.,AEW49
Digel et al. (2014),Centromerus serratus,Acrotrichis sp.,AEW49
Digel et al. (2014),Ozyptila sp. (juv),Acrotrichis sp.,AEW49
Digel et al. (2014),Lithobius sp2 {l},Acrotrichis sp.,AEW49
Digel et al. (2014),Lithobius sp3 {m},Acrotrichis sp.,AEW49
Digel et al. (2014),Coelotes sp. (juv) {xl},Acrotrichis sp.,AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Acrotrichis sp.,AEW49
Digel et al. (2014),Staphylinidae spec,Acrotrichis sp.,AEW49
Digel et al. (2014),Agelenidae sp. (juv),Acrotrichis sp.,AEW49
Digel et al. (2014),Harpactea lepida (juv) large,Acrotrichis sp.,AEW49
Digel et al. (2014),Harpactea lepida large,Acrotrichis sp.,AEW49
Digel et al. (2014),Theridiidae sp. (juv),Acrotrichis sp.,AEW49
Digel et al. (2014),Metellina segmentata,Acrotrichis sp.,AEW49
Digel et al. (2014),Strigamia acuminata,Aegopinella nitens,AEW49
Digel et al. (2014),Rhagonycha lignosa,Aegopinella nitens,AEW49
Digel et al. (2014),Strigamia acuminata,Aegopinella nitens (juv),AEW49
Digel et al. (2014),Rhagonycha lignosa,Aegopinella nitens (juv),AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Aegopinella nitens (juv),AEW49
Digel et al. (2014),Strigamia acuminata,Aegopinella pura,AEW49
Digel et al. (2014),Malthodes sp. (juv),Aegopinella pura,AEW49
Digel et al. (2014),Rhagonycha lignosa,Aegopinella pura,AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Aegopinella pura,AEW49
Digel et al. (2014),Staphylinidae spec,Aegopinella pura,AEW49
Digel et al. (2014),Lithobius crassipes,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Lithobius sp.,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Geophilus ribauti,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Schendyla nemorensis,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Geophilus flavus,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Strigamia acuminata,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Rhagonycha lignosa,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Agelenidae sp. (juv),AEW49
Digel et al. (2014),Amaurobius sp. (juv),Agelenidae sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida small,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Lithobius lapidicola,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Coelotes sp. (juv) {xl},Agelenidae sp. (juv),AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Agelenidae sp. (juv),AEW49
Digel et al. (2014),Carabidae sp. (juv),Agelenidae sp. (juv),AEW49
Digel et al. (2014),Agelenidae sp. (juv),Agelenidae sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida large,Agelenidae sp. (juv),AEW49
Digel et al. (2014),Lithobius crassipes,Agriotes sp. (juv),AEW49
Digel et al. (2014),Lithobius sp.,Agriotes sp. (juv),AEW49
Digel et al. (2014),Geophilus ribauti,Agriotes sp. (juv),AEW49
Digel et al. (2014),Schendyla nemorensis,Agriotes sp. (juv),AEW49
Digel et al. (2014),Geophilus flavus,Agriotes sp. (juv),AEW49
Digel et al. (2014),Strigamia acuminata,Agriotes sp. (juv),AEW49
Digel et al. (2014),Malthodes sp. (juv),Agriotes sp. (juv),AEW49
Digel et al. (2014),Rhagonycha lignosa,Agriotes sp. (juv),AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Agriotes sp. (juv),AEW49
Digel et al. (2014),Amaurobius sp. (juv),Agriotes sp. (juv),AEW49
Digel et al. (2014),Diplocephalus picinus,Agriotes sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida (juv) small,Agriotes sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida small,Agriotes sp. (juv),AEW49
Digel et al. (2014),Microneta viaria,Agriotes sp. (juv),AEW49
Digel et al. (2014),Neobisium carcinoides,Agriotes sp. (juv),AEW49
Digel et al. (2014),Robertus lividus,Agriotes sp. (juv),AEW49
Digel et al. (2014),Diplostyla concolor,Agriotes sp. (juv),AEW49
Digel et al. (2014),Lithobius aeruginosus (juv),Agriotes sp. (juv),AEW49
Digel et al. (2014),Lithobius lapidicola,Agriotes sp. (juv),AEW49
Digel et al. (2014),Lithobius sp2 {l},Agriotes sp. (juv),AEW49
Digel et al. (2014),Lithobius sp3 {m},Agriotes sp. (juv),AEW49
Digel et al. (2014),Coelotes sp. (juv) {xl},Agriotes sp. (juv),AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Agriotes sp. (juv),AEW49
Digel et al. (2014),Staphylinidae spec,Agriotes sp. (juv),AEW49
Digel et al. (2014),Agelenidae sp. (juv),Agriotes sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida (juv) large,Agriotes sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida large,Agriotes sp. (juv),AEW49
Digel et al. (2014),Theridiidae sp. (juv),Agriotes sp. (juv),AEW49
Digel et al. (2014),Metellina segmentata,Agriotes sp. (juv),AEW49
Digel et al. (2014),Sminthurinus aureus,algae,AEW49
Digel et al. (2014),Brachychthoniidae spp.,algae,AEW49
Digel et al. (2014),Sminthurinus niger,algae,AEW49
Digel et al. (2014),omnivorous nematodes,algae,AEW49
Digel et al. (2014),Enchytraeidae,algae,AEW49
Digel et al. (2014),Arrhophalites sp.,algae,AEW49
Digel et al. (2014),Discus rotundatus,algae,AEW49
Digel et al. (2014),Discus rotundatus (juv),algae,AEW49
Digel et al. (2014),Arion silvaticus,algae,AEW49
Digel et al. (2014),Lithobius crassipes,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Lithobius sp.,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Geophilus ribauti,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Schendyla nemorensis,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Geophilus flavus,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Strigamia acuminata,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Rhagonycha lignosa,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Amaurobius sp. (juv),Amaurobius sp. (juv),AEW49
Digel et al. (2014),Lithobius lapidicola,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Amaurobius sp. (juv),AEW49
Digel et al. (2014),Carabidae sp. (juv),Amaurobius sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida large,Amaurobius sp. (juv),AEW49
Digel et al. (2014),Isotomidae sp.,amoebae,AEW49
Digel et al. (2014),Isotomiella minor,amoebae,AEW49
Digel et al. (2014),Megalothorax minimus,amoebae,AEW49
Digel et al. (2014),Parisotoma notabilis,amoebae,AEW49
Digel et al. (2014),Aporrectodea caliginosa,amoebae,AEW49
Digel et al. (2014),Aporrectodea rosea,amoebae,AEW49
Digel et al. (2014),Aporrectodea rosea (juv),amoebae,AEW49
Digel et al. (2014),Octolasion tyrtaeum{xxl},amoebae,AEW49
Digel et al. (2014),Octolasion tyrtaeum (juv) {xl},amoebae,AEW49
Digel et al. (2014),Chamobates borealis,amoebae,AEW49
Digel et al. (2014),predacious nematodes,amoebae,AEW49
Digel et al. (2014),omnivorous nematodes,amoebae,AEW49
Digel et al. (2014),Enchytraeidae,amoebae,AEW49
Digel et al. (2014),Aporectodea longa (juv),amoebae,AEW49
Digel et al. (2014),Ceratophysella sp.,amoebae,AEW49
Digel et al. (2014),Lumbricus terrestris (juv) {xxl},amoebae,AEW49
Digel et al. (2014),Carabidae sp. (juv),Aporectodea longa (juv),AEW49
Digel et al. (2014),Carabidae sp. (juv),Aporrectodea caliginosa,AEW49
Digel et al. (2014),Carabidae sp. (juv),Aporrectodea rosea,AEW49
Digel et al. (2014),Carabidae sp. (juv),Aporrectodea rosea (juv),AEW49
Digel et al. (2014),Carabidae sp. (juv),Arion silvaticus,AEW49
Digel et al. (2014),Athous subfuscus (juv) {m},Arrhophalites sp.,AEW49
Digel et al. (2014),Trimium brevicorne,Arrhophalites sp.,AEW49
Digel et al. (2014),Tachyusa sp. (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Hahnia pusilla (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Leptogamasus sp. (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Epicrius canestrinii,Arrhophalites sp.,AEW49
Digel et al. (2014),Gamasina sp. (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Uroseius cylindricus,Arrhophalites sp.,AEW49
Digel et al. (2014),Uroseius cylindricus (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Veigaia cerva (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Veigaia nemorensis,Arrhophalites sp.,AEW49
Digel et al. (2014),Veigaia nemorensis (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Hypoaspis aculeifer (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Lithobius aeruginosus (juv),Arrhophalites sp.,AEW49
Digel et al. (2014),Lysigamasus minorleitneriae,Arrhophalites sp.,AEW49
Digel et al. (2014),Prozercon cf traeghardi,Arrhophalites sp.,AEW49
Digel et al. (2014),Centromerus serratus,Arrhophalites sp.,AEW49
Digel et al. (2014),Lithobius sp2 {l},Arrhophalites sp.,AEW49
Digel et al. (2014),Lithobius sp3 {m},Arrhophalites sp.,AEW49
Digel et al. (2014),Pergamasinae (juv) {s},Arrhophalites sp.,AEW49
Digel et al. (2014),Lithobius crassipes,Atheta sp.,AEW49
Digel et al. (2014),Lithobius sp.,Atheta sp.,AEW49
Digel et al. (2014),Geophilus ribauti,Atheta sp.,AEW49
Digel et al. (2014),Schendyla nemorensis,Atheta sp.,AEW49
Digel et al. (2014),Geophilus flavus,Atheta sp.,AEW49
Digel et al. (2014),Strigamia acuminata,Atheta sp.,AEW49
Digel et al. (2014),Malthodes sp. (juv),Atheta sp.,AEW49
Digel et al. (2014),Rhagonycha lignosa,Atheta sp.,AEW49
Digel et al. (2014),Atheta sp.,Atheta sp.,AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Atheta sp.,AEW49
Digel et al. (2014),Amaurobius sp. (juv),Atheta sp.,AEW49
Digel et al. (2014),Diplocephalus picinus,Atheta sp.,AEW49
Digel et al. (2014),Hahnia pusilla,Atheta sp.,AEW49
Digel et al. (2014),Harpactea lepida (juv) small,Atheta sp.,AEW49
Digel et al. (2014),Harpactea lepida small,Atheta sp.,AEW49
Digel et al. (2014),Microneta viaria,Atheta sp.,AEW49
Digel et al. (2014),Neobisium carcinoides,Atheta sp.,AEW49
Digel et al. (2014),Robertus lividus,Atheta sp.,AEW49
Digel et al. (2014),Saloca diceros,Atheta sp.,AEW49
Digel et al. (2014),Diplostyla concolor,Atheta sp.,AEW49
Digel et al. (2014),Monocephalus fuscipes,Atheta sp.,AEW49
Digel et al. (2014),Lithobius aeruginosus (juv),Atheta sp.,AEW49
Digel et al. (2014),Lithobius lapidicola,Atheta sp.,AEW49
Digel et al. (2014),Ozyptila sp. (juv),Atheta sp.,AEW49
Digel et al. (2014),Lithobius sp2 {l},Atheta sp.,AEW49
Digel et al. (2014),Lithobius sp3 {m},Atheta sp.,AEW49
Digel et al. (2014),Coelotes sp. (juv) {xl},Atheta sp.,AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Atheta sp.,AEW49
Digel et al. (2014),Staphylinidae spec,Atheta sp.,AEW49
Digel et al. (2014),Agelenidae sp. (juv),Atheta sp.,AEW49
Digel et al. (2014),Harpactea lepida (juv) large,Atheta sp.,AEW49
Digel et al. (2014),Harpactea lepida large,Atheta sp.,AEW49
Digel et al. (2014),Theridiidae sp. (juv),Atheta sp.,AEW49
Digel et al. (2014),Metellina segmentata,Atheta sp.,AEW49
Digel et al. (2014),Lithobius crassipes,Athous sp. (juv),AEW49
Digel et al. (2014),Lithobius sp.,Athous sp. (juv),AEW49
Digel et al. (2014),Geophilus ribauti,Athous sp. (juv),AEW49
Digel et al. (2014),Schendyla nemorensis,Athous sp. (juv),AEW49
Digel et al. (2014),Geophilus flavus,Athous sp. (juv),AEW49
Digel et al. (2014),Strigamia acuminata,Athous sp. (juv),AEW49
Digel et al. (2014),Malthodes sp. (juv),Athous sp. (juv),AEW49
Digel et al. (2014),Rhagonycha lignosa,Athous sp. (juv),AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Athous sp. (juv),AEW49
Digel et al. (2014),Amaurobius sp. (juv),Athous sp. (juv),AEW49
Digel et al. (2014),Diplocephalus picinus,Athous sp. (juv),AEW49
Digel et al. (2014),Hahnia pusilla,Athous sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida (juv) small,Athous sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida small,Athous sp. (juv),AEW49
Digel et al. (2014),Microneta viaria,Athous sp. (juv),AEW49
Digel et al. (2014),Neobisium carcinoides,Athous sp. (juv),AEW49
Digel et al. (2014),Robertus lividus,Athous sp. (juv),AEW49
Digel et al. (2014),Saloca diceros,Athous sp. (juv),AEW49
Digel et al. (2014),Diplostyla concolor,Athous sp. (juv),AEW49
Digel et al. (2014),Monocephalus fuscipes,Athous sp. (juv),AEW49
Digel et al. (2014),Lithobius aeruginosus (juv),Athous sp. (juv),AEW49
Digel et al. (2014),Lithobius lapidicola,Athous sp. (juv),AEW49
Digel et al. (2014),Ozyptila sp. (juv),Athous sp. (juv),AEW49
Digel et al. (2014),Lithobius sp2 {l},Athous sp. (juv),AEW49
Digel et al. (2014),Lithobius sp3 {m},Athous sp. (juv),AEW49
Digel et al. (2014),Coelotes sp. (juv) {xl},Athous sp. (juv),AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Athous sp. (juv),AEW49
Digel et al. (2014),Staphylinidae spec,Athous sp. (juv),AEW49
Digel et al. (2014),Agelenidae sp. (juv),Athous sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida (juv) large,Athous sp. (juv),AEW49
Digel et al. (2014),Harpactea lepida large,Athous sp. (juv),AEW49
Digel et al. (2014),Theridiidae sp. (juv),Athous sp. (juv),AEW49
Digel et al. (2014),Metellina segmentata,Athous sp. (juv),AEW49
Digel et al. (2014),Lithobius crassipes,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Lithobius sp.,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Geophilus ribauti,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Schendyla nemorensis,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Geophilus flavus,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Strigamia acuminata,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Malthodes sp. (juv),Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Rhagonycha lignosa,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Athous subfuscus (juv) {m},Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Atheta sp.,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Amaurobius sp. (juv),Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Diplocephalus picinus,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Hahnia pusilla,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Harpactea lepida (juv) small,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Harpactea lepida small,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Linyphiidae (juv),Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Microneta viaria,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Neobisium carcinoides,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Robertus lividus,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Saloca diceros,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Diplostyla concolor,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Monocephalus fuscipes,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Lithobius aeruginosus (juv),Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Lithobius lapidicola,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Malthinus seriepunctatus (juv),Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Centromerus serratus,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Ozyptila sp. (juv),Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Lithobius sp2 {l},Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Lithobius sp3 {m},Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Coelotes sp. (juv) {xl},Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Staphylinidae spec,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Agelenidae sp. (juv),Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Harpactea lepida (juv) large,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Harpactea lepida large,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Theridiidae sp. (juv),Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Metellina segmentata,Athous subfuscus (juv) {m},AEW49
Digel et al. (2014),Lithobius crassipes,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Lithobius sp.,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Geophilus ribauti,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Schendyla nemorensis,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Geophilus flavus,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Strigamia acuminata,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Rhagonycha lignosa,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},Athous zebei (juv) {m},AEW49
Digel et al. (2014),Amaurobius sp. (juv),Athous zebei (juv) {m},AEW49
Digel et al. (2014),Harpactea lepida small,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Robertus lividus,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Lithobius lapidicola,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Coelotes sp. (juv) {xl},Athous zebei (juv) {m},AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Athous zebei (juv) {m},AEW49
Digel et al. (2014),Agelenidae sp. (juv),Athous zebei (juv) {m},AEW49
Digel et al. (2014),Harpactea lepida (juv) large,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Harpactea lepida large,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Metellina segmentata,Athous zebei (juv) {m},AEW49
Digel et al. (2014),Trimium brevicorne,Atropacarus striculus,AEW49
Digel et al. (2014),Scydmaenidae sp1 {m},Atropacarus striculus,AEW49
Digel et al. (2014),Lithobius aeruginosus (juv),Atropacarus striculus,AEW49
Digel et al. (2014),Lithobius sp2 {l},Atropacarus striculus,AEW49
Digel et al. (2014),Lithobius sp3 {m},Atropacarus striculus,AEW49
Digel et al. (2014),Lithobius aeruginosus {l},Atropacarus striculus,AEW49
Digel et al. (2014),Isotomidae sp.,bacteria,AEW49
Digel et al. (2014),Isotomiella minor,bacteria,AEW49
Digel et al. (2014),Megalothorax minimus,bacteria,AEW49
Digel et al. (2014),Parisotoma notabilis,bacteria,AEW49
Digel et al. (2014),Protaphorura armata,bacteria,AEW49
Digel et al. (2014),Protaphorura fimata,bacteria,AEW49
Digel et al. (2014),Protaphorura sp.,bacteria,AEW49
Digel et al. (2014),bacterivorous nematodes,bacteria,AEW49
Digel et al. (2014),omnivorous nematodes,bacteria,AEW49
Digel et al. (2014),flagellates,bacteria,AEW49
Digel et al. (2014),ciliates,bacteria,AEW49
Digel et al. (2014),amoebae,bacteria,AEW49
Digel et al. (2014),Enchytraeidae,bacteria,AEW49
Digel et al. (2014),Julidae sp.,bacteria,AEW49
Digel et al. (2014),Trichoniscus pygmaeus,bacteria,AEW49
Digel et al. (2014),Ceratophysella sp.,bacteria,AEW49
Digel et al. (2014),Trichoniscus pusillus {m},bacteria,AEW49
Digel et al. (2014),Trichoniscus sp.,bacteria,AEW49
Digel et al. (2014),Porcellio conspersum,bacteria,AEW49
Digel et al. (2014),Mesaphorura sp.,bacterivorous nematodes,AEW49
Digel et al. (2014),Athous subfuscus (juv) {m},bacterivorous nematodes,AEW49
Digel et al. (2014),Tachyusa sp. (juv),bacterivorous nematodes,AEW49
Digel et al. (2014),Staphylinidae sp. (juv) {s},bacterivorous nematodes,AEW49
Digel et al. (2014),Leptogamasus sp. (juv),bacterivorous nematodes,AEW49
Digel et al. (2014),Epicrius canestrinii,bacterivorous nematodes,AEW49
Digel et al. (2014),Gamasina sp. (juv),bacterivorous nematodes,AEW49
Digel et al. (2014),Geholaspis mandibularis,bacterivorous nematodes,AEW49
Digel et al. (2014),Geholaspis sp. (juv),bacterivorous nematodes,AEW49
Digel et al. (2014),Leitneria granulata (juv),bacterivorous nematodes,AEW49
Digel et al. (2014),Trachytes aegrota,bacterivorous nematodes,AEW49
Digel et al. (2014),Uropoda athiasae,bacterivorous nematodes,AEW49
Digel et al. (2014),Uroseius cylindricus,bacterivorous nematodes,AEW49
Digel et al. (2014),Uroseius cylindricus (juv),bacterivorous nematodes,AEW49
Digel et al. (2014),Veigaia cerva (juv),bacterivorous nematodes,AEW49
