link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Amphinemura sulcicollis,CPOM,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,FPOM,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,Achnanthes austriaca minor,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,Achnanthes helvetica,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,Eunotia exigua,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,Eunotia rhomboidea,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,Eunotia vanheurckii,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,Fragilaria vaucheriae,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,Pinnularia subcapitata,Afon Hafren 2005
Layer et al. (2010),Amphinemura sulcicollis,Tabellaria flocculosa,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,CPOM,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,FPOM,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,Achnanthes austriaca minor,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,Achnanthes helvetica,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,Eunotia exigua,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,Eunotia rhomboidea,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,Eunotia vanheurckii,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,Fragilaria vaucheriae,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,Pinnularia subcapitata,Afon Hafren 2005
Layer et al. (2010),Brachyptera risi,Tabellaria flocculosa,Afon Hafren 2005
Layer et al. (2010),Chironomidae,CPOM,Afon Hafren 2005
Layer et al. (2010),Chironomidae,FPOM,Afon Hafren 2005
Layer et al. (2010),Chironomidae,Achnanthes austriaca minor,Afon Hafren 2005
Layer et al. (2010),Chironomidae,Achnanthes helvetica,Afon Hafren 2005
Layer et al. (2010),Chironomidae,Eunotia exigua,Afon Hafren 2005
Layer et al. (2010),Chironomidae,Eunotia rhomboidea,Afon Hafren 2005
Layer et al. (2010),Chironomidae,Eunotia vanheurckii,Afon Hafren 2005
Layer et al. (2010),Chironomidae,Fragilaria vaucheriae,Afon Hafren 2005
Layer et al. (2010),Chironomidae,Pinnularia subcapitata,Afon Hafren 2005
Layer et al. (2010),Chironomidae,Tabellaria flocculosa,Afon Hafren 2005
Layer et al. (2010),Chloroperla tripunctata,Chironomidae,Afon Hafren 2005
Layer et al. (2010),Chloroperla tripunctata,Chloroperla tripunctata,Afon Hafren 2005
Layer et al. (2010),Chloroperla tripunctata,Leuctra inermis,Afon Hafren 2005
Layer et al. (2010),Isoperla grammatica,Chironomidae,Afon Hafren 2005
Layer et al. (2010),Isoperla grammatica,Isoperla grammatica,Afon Hafren 2005
Layer et al. (2010),Isoperla grammatica,Leuctra inermis,Afon Hafren 2005
Layer et al. (2010),Isoperla grammatica,Simuliidae,Afon Hafren 2005
Layer et al. (2010),Isoperla grammatica,Siphonoperla torrentium,Afon Hafren 2005
Layer et al. (2010),Leuctra inermis,CPOM,Afon Hafren 2005
Layer et al. (2010),Leuctra inermis,FPOM,Afon Hafren 2005
Layer et al. (2010),Leuctra inermis,Achnanthes austriaca minor,Afon Hafren 2005
Layer et al. (2010),Leuctra inermis,Achnanthes helvetica,Afon Hafren 2005
Layer et al. (2010),Leuctra inermis,Eunotia exigua,Afon Hafren 2005
Layer et al. (2010),Leuctra inermis,Eunotia rhomboidea,Afon Hafren 2005
Layer et al. (2010),Leuctra inermis,Eunotia vanheurckii,Afon Hafren 2005
Layer et al. (2010),Leuctra inermis,Fragilaria vaucheriae,Afon Hafren 2005
