link.citation,con.taxonomy,res.taxonomy,foodweb.name
Legagneux et al. (2014),lemmings,mosses,Alert
Legagneux et al. (2014),lemmings,grasses and sedges,Alert
Legagneux et al. (2014),lemmings,forbs,Alert
Legagneux et al. (2014),lemmings,shrubs,Alert
Legagneux et al. (2014),Lepus arcticus,mosses,Alert
Legagneux et al. (2014),Lepus arcticus,grasses and sedges,Alert
Legagneux et al. (2014),Lepus arcticus,forbs,Alert
Legagneux et al. (2014),Lepus arcticus,shrubs,Alert
Legagneux et al. (2014),Rangifer tarandus,mosses,Alert
Legagneux et al. (2014),Rangifer tarandus,grasses and sedges,Alert
Legagneux et al. (2014),Rangifer tarandus,forbs,Alert
Legagneux et al. (2014),Rangifer tarandus,shrubs,Alert
Legagneux et al. (2014),Ovibos moschatus,mosses,Alert
Legagneux et al. (2014),Ovibos moschatus,grasses and sedges,Alert
Legagneux et al. (2014),Ovibos moschatus,forbs,Alert
Legagneux et al. (2014),Ovibos moschatus,shrubs,Alert
Legagneux et al. (2014),Lagopus spec. ,grasses and sedges,Alert
Legagneux et al. (2014),Lagopus spec. ,shrubs,Alert
Legagneux et al. (2014),Lagopus spec. ,arthropods,Alert
Legagneux et al. (2014),waterfowl,grasses and sedges,Alert
Legagneux et al. (2014),waterfowl,forbs,Alert
Legagneux et al. (2014),waterfowl,arthropods,Alert
Legagneux et al. (2014),passerines,forbs,Alert
Legagneux et al. (2014),passerines,arthropods,Alert
Legagneux et al. (2014),shorebirds,arthropods,Alert
Legagneux et al. (2014),Canis lupus arctos,lemmings,Alert
Legagneux et al. (2014),Canis lupus arctos,Lepus arcticus,Alert
Legagneux et al. (2014),Canis lupus arctos,Rangifer tarandus,Alert
Legagneux et al. (2014),Canis lupus arctos,Ovibos moschatus,Alert
Legagneux et al. (2014),Stercocarius spec.,lemmings,Alert
Legagneux et al. (2014),Stercocarius spec.,arthropods,Alert
Legagneux et al. (2014),Stercocarius spec.,shorebirds,Alert
Legagneux et al. (2014),Larus spec.,lemmings,Alert
Legagneux et al. (2014),Larus spec.,Lepus arcticus,Alert
Legagneux et al. (2014),Larus spec.,Lagopus spec. ,Alert
Legagneux et al. (2014),Larus spec.,waterfowl,Alert
