link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Alford lake
"Sutherland (1989), Havens (1992)",Ophryoxus gracilis,benthic detritus,Alford lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Alford lake
"Sutherland (1989), Havens (1992)",Alona affinis,benthic detritus,Alford lake
"Sutherland (1989), Havens (1992)",Chydorus bicornutus,benthic detritus,Alford lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Alford lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Alford lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Alford lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Ascomorpha ecaudis,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Lecane sp.,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Ploesoma truncatum,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sertularia,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Alford lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysocapsa planktonica,Alford lake
"Sutherland (1989), Havens (1992)",Trichocerca similis,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Alford lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Pediastrum tetras,Alford lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cosmarium sp.,Alford lake
"Sutherland (1989), Havens (1992)",Ploesoma hudsoni,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sertularia,Alford lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sp.,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Arthrodesmus incus,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Arthrodesmus subulatus,Alford lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chrysocapsa planktonica,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus dimorphus,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus quadricauda,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Alford lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Alford lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas ovata,Alford lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Keriphyron sp.,Alford lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Pediastrum tetras,Alford lake
