link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Amphinemura sulcicollis,CPOM,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,FPOM,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Achnanthes minutissima,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Achnanthes modestiformis,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Achnanthes oblongella,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Diatoma hyemale,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Eunotia,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Eunotia incisa,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Eunotia vanheurckii,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Fragilaria vaucheriae,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Gomphonema angustatum,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Hannaea arcus,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Synedra minuscula,Allt a Mharcaidh
Layer et al. (2010),Amphinemura sulcicollis,Tabellaria flocculosa,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,CPOM,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,FPOM,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Achnanthes minutissima,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Achnanthes modestiformis,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Achnanthes oblongella,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Diatoma hyemale,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Eunotia,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Eunotia incisa,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Eunotia vanheurckii,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Fragilaria vaucheriae,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Gomphonema angustatum,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Hannaea arcus,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Synedra minuscula,Allt a Mharcaidh
Layer et al. (2010),Baetis rhodani,Tabellaria flocculosa,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,CPOM,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,FPOM,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Achnanthes minutissima,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Achnanthes modestiformis,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Achnanthes oblongella,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Diatoma hyemale,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Eunotia,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Eunotia incisa,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Eunotia vanheurckii,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Fragilaria vaucheriae,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Gomphonema angustatum,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Hannaea arcus,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Synedra minuscula,Allt a Mharcaidh
Layer et al. (2010),Brachyptera risi,Tabellaria flocculosa,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,CPOM,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,FPOM,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Achnanthes minutissima,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Achnanthes modestiformis,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Achnanthes oblongella,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Diatoma hyemale,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Eunotia,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Eunotia incisa,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Eunotia vanheurckii,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Fragilaria vaucheriae,Allt a Mharcaidh
Layer et al. (2010),Chironomidae,Gomphonema angustatum,Allt a Mharcaidh
