link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ilyocryptus spinifer,benthic detritus,Balsam lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Balsam lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,benthic detritus,Balsam lake
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,benthic detritus,Balsam lake
"Sutherland (1989), Havens (1992)",Chydorus bicornutus,benthic detritus,Balsam lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Balsam lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Balsam lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Balsam lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,fish eggs,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Micrasterias sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Micrasterias sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Micrasterias sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Micrasterias sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Lyngbya sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Lyngbya sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chydorus bicornutus,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Euastrum sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chydorus bicornutus,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Euastrum sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Lyngbya sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Lyngbya sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",Ilyocryptus spinifer,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Navicula sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedron minimum,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Schroederia setigera,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chydorus bicornutus,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas akrokomos,Balsam lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Euastrum sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Ilyocryptus spinifer,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedron minimum,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Euastrum sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas akrokomos,Balsam lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",Euchlanis sp.,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Euchlanis sp.,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Sphaerocystis schroeteri,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",fish fry,Micrasterias sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus quadricauda,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Navicula sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Navicula sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Tetraedron minimum,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus quadricauda,Balsam lake
"Sutherland (1989), Havens (1992)",Ilyocryptus spinifer,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Schroederia setigera,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cyclotella glomerata,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tetraedron minimum,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas akrokomos,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Closterium sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas akrokomos,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cyclotella glomerata,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Closterium sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Scenedesmus quadricauda,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Ankistrodesmus sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Ankistrodesmus spiralis,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Merismopedia punctata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Merismopedia tenuissima,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus quadricauda,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Beauchampiella eudactylota,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Beauchampiella eudactylota,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cyclotella glomerata,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Ankistrodesmus sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Ankistrodesmus spiralis,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Closterium sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cyclotella glomerata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chroococcus limneticus,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Closterium sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chroococcus limneticus,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Ankistrodesmus sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Ankistrodesmus spiralis,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Merismopedia punctata,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Merismopedia tenuissima,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Ankistrodesmus sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Ankistrodesmus spiralis,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia punctata,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia tenuissima,Balsam lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Chroococcus limneticus,Balsam lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chroococcus limneticus,Balsam lake
"Sutherland (1989), Havens (1992)",fish fry,Euastrum sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Micrasterias sp.,Balsam lake
"Sutherland (1989), Havens (1992)",fish fry,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",fish fry,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Micrasterias sp.,Balsam lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Balsam lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Balsam lake
"Sutherland (1989), Havens (1992)",fish fry,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",fish fry,Closterium sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Euastrum sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Euastrum sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Tabellaria fenestrata,Balsam lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Melosira sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Closterium sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Nitzschia sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Closterium sp.,Balsam lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Balsam lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Balsam lake
