link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Beaver lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,benthic detritus,Beaver lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Beaver lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Beaver lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Beaver lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Quadrigula closterioides,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Beaver lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,Gymnodinium palustre,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedron caudatum,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedron minimum,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Quadrigula closterioides,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Schroederia setigera,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Melosira sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Pediastrum tetras,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedron caudatum,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedron minimum,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cosmarium sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Pediastrum tetras,Beaver lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Kirchneriella lunaris,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cosmarium sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Arthrodesmus incus,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon bavaricum,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Elakatrothrix gelatinosa,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Kirchneriella lunaris,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Arthrodesmus incus,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus longus,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tabellaria fenestrata,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Aphanothece sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Quadrigula closterioides,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Elakatrothrix gelatinosa,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus longus,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Aphanothece sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tetraedron caudatum,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tetraedron minimum,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Melosira sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Crucigenia tetrapaedia,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Rhabdoderma lineare,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Coelosphaerium sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Pediastrum tetras,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Crucigenia tetrapaedia,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Rhabdoderma lineare,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cosmarium sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Coelosphaerium sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Kirchneriella lunaris,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Botryococcus braunii,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Arthrodesmus incus,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Elakatrothrix gelatinosa,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Ankistrodesmus falcatus,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Beaver lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Merismopedia tenuissima,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus longus,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Aphanothece sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Gymnodinium palustre,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Ankistrodesmus falcatus,Beaver lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Crucigenia tetrapaedia,Beaver lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Rhabdoderma lineare,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Coelosphaerium sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Botryococcus braunii,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Ankistrodesmus falcatus,Beaver lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia tenuissima,Beaver lake
"Sutherland (1989), Havens (1992)",fish fry,Tabellaria fenestrata,Beaver lake
"Sutherland (1989), Havens (1992)",fish fry,Melosira sp.,Beaver lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Beaver lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Beaver lake
"Sutherland (1989), Havens (1992)",fish fry,Cosmarium sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Gymnodinium palustre,Beaver lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Tabellaria fenestrata,Beaver lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Melosira sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Cosmarium sp.,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Leptodora kindtii,Beaver lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Leptodora kindtii,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Beaver lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Beaver lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,copepod nauplii,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Beaver lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salmo rutta,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Beaver lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Beaver lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Beaver lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Beaver lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Salmo rutta,Beaver lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Beaver lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Salvelinus fontinalis,Beaver lake
"Sutherland (1989), Havens (1992)",fish fry,Leptodora kindtii,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella crassa,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Conochiloides dossuarius,Beaver lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Beaver lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Catostomus commersoni,Beaver lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella crassa,Beaver lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Conochiloides dossuarius,Beaver lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Semotilus atromaculatus,Beaver lake
