link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Big hope lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Big hope lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Big hope lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Big hope lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Big hope lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Oocyctis sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Big hope lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Big hope lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas erosa,Big hope lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Big hope lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Big hope lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas ovata,Big hope lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Big hope lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Big hope lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Staurastrum sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Staurastrum sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Big hope lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Big hope lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Big hope lake
"Sutherland (1989), Havens (1992)",Lecane sp.,Cryptomonas erosa,Big hope lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Big hope lake
"Sutherland (1989), Havens (1992)",Lecane sp.,Cryptomonas ovata,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Dinobryon bavaricum,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Sphaerocystis schroeteri,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Tabellaria fenestrata,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysocapsa planktonica,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Chrysocapsa planktonica,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Quadrigula sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Quadrigula sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Navicula sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Navicula sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Spondylosium planum,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Spondylosium planum,Big hope lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysosphaerella longispina,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Chrysosphaerella longispina,Big hope lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dictyosphaerium pulchellum,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Dictyosphaerium pulchellum,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedron minimum,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Tetraedron minimum,Big hope lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysocapsa planktonica,Big hope lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Quadrigula sp.,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Schroederia setigera,Big hope lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Schroederia setigera,Big hope lake
