link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Brandy lake
"Sutherland (1989), Havens (1992)",Umbra limi,benthic detritus,Brandy lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Brandy lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,benthic detritus,Brandy lake
"Sutherland (1989), Havens (1992)",Alona costata,benthic detritus,Brandy lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Brandy lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Brandy lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Alona costata,Asterionella formosa,Brandy lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Trichocerca similis,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Alona costata,Nitzschia sp.,Brandy lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Brandy lake
"Sutherland (1989), Havens (1992)",fish fry,Asterionella formosa,Brandy lake
"Sutherland (1989), Havens (1992)",fish fry,Nitzschia sp.,Brandy lake
