link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Bridge brook lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Bridge brook lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Bridge brook lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia dubia,Oocyctis sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Oocyctis sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Oocyctis sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Bridge brook lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Bridge brook lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Bridge brook lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Rhizosolenia eriensis,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia dubia,Rhizosolenia eriensis,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Rhizosolenia eriensis,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Rhizosolenia eriensis,Bridge brook lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Bridge brook lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Bridge brook lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Bridge brook lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Bridge brook lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Rhizosolenia eriensis,Bridge brook lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Bridge brook lake
"Sutherland (1989), Havens (1992)",Asplanchna sp.,Gymnodinium palustre,Bridge brook lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia dubia,Mallomonas sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Mallomonas sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Mallomonas sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Rhizosolenia eriensis,Bridge brook lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Gymnodinium palustre,Bridge brook lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Staurastrum sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia dubia,Staurastrum sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Staurastrum sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Staurastrum sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Bridge brook lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Bridge brook lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Bridge brook lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Bridge brook lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia dubia,Dinobryon bavaricum,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Dinobryon bavaricum,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Dinobryon bavaricum,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon sertularia,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia dubia,Dinobryon sertularia,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Dinobryon sertularia,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Dinobryon sertularia,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia dubia,Sphaerocystis schroeteri,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Sphaerocystis schroeteri,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Sphaerocystis schroeteri,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Bridge brook lake
"Sutherland (1989), Havens (1992)",Daphnia dubia,Tabellaria fenestrata,Bridge brook lake
