link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Ceratopogonidae,FPOM,Broadstone Stream
Layer et al. (2010),Ceratopogonidae,Diatom sp. 1,Broadstone Stream
Layer et al. (2010),Ceratopogonidae,Diatom sp. 2,Broadstone Stream
Layer et al. (2010),Ceratopogonidae,Eunotia exigua,Broadstone Stream
Layer et al. (2010),Ceratopogonidae,Eunotia incisa,Broadstone Stream
Layer et al. (2010),Ceratopogonidae,Eunotia rhomboidea,Broadstone Stream
Layer et al. (2010),Ceratopogonidae,Tabellaria flocculosa,Broadstone Stream
Layer et al. (2010),Chironomidae,CPOM,Broadstone Stream
Layer et al. (2010),Chironomidae,FPOM,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Chironomidae,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Cordulegaster boltonii,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Leuctra nigra,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Limnius volckmari,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Nemurella pictetii,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Plectrocnemia conspersa,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Sialis fuliginosa,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Simuliidae,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Siphonoperla torrentium,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Tanypodinae,Broadstone Stream
Layer et al. (2010),Cordulegaster boltonii,Tipulidae,Broadstone Stream
Layer et al. (2010),Halesus radiatus,CPOM,Broadstone Stream
Layer et al. (2010),Halesus radiatus,FPOM,Broadstone Stream
Layer et al. (2010),Halesus radiatus,Chironomidae,Broadstone Stream
Layer et al. (2010),Halesus radiatus,Tanypodinae,Broadstone Stream
Layer et al. (2010),Leuctra nigra,CPOM,Broadstone Stream
Layer et al. (2010),Leuctra nigra,FPOM,Broadstone Stream
Layer et al. (2010),Leuctra nigra,Diatom sp. 1,Broadstone Stream
Layer et al. (2010),Leuctra nigra,Diatom sp. 2,Broadstone Stream
Layer et al. (2010),Leuctra nigra,Eunotia exigua,Broadstone Stream
Layer et al. (2010),Leuctra nigra,Eunotia incisa,Broadstone Stream
Layer et al. (2010),Leuctra nigra,Eunotia rhomboidea,Broadstone Stream
Layer et al. (2010),Leuctra nigra,Tabellaria flocculosa,Broadstone Stream
Layer et al. (2010),Limnius volckmari,CPOM,Broadstone Stream
Layer et al. (2010),Limnius volckmari,FPOM,Broadstone Stream
Layer et al. (2010),Limnius volckmari,Diatom sp. 1,Broadstone Stream
Layer et al. (2010),Limnius volckmari,Diatom sp. 2,Broadstone Stream
Layer et al. (2010),Limnius volckmari,Eunotia exigua,Broadstone Stream
Layer et al. (2010),Limnius volckmari,Eunotia incisa,Broadstone Stream
Layer et al. (2010),Limnius volckmari,Eunotia rhomboidea,Broadstone Stream
Layer et al. (2010),Limnius volckmari,Tabellaria flocculosa,Broadstone Stream
Layer et al. (2010),Nemurella pictetii,CPOM,Broadstone Stream
Layer et al. (2010),Nemurella pictetii,FPOM,Broadstone Stream
Layer et al. (2010),Pisidium,CPOM,Broadstone Stream
Layer et al. (2010),Pisidium,FPOM,Broadstone Stream
Layer et al. (2010),Plectrocnemia conspersa,Chironomidae,Broadstone Stream
Layer et al. (2010),Plectrocnemia conspersa,Cordulegaster boltonii,Broadstone Stream
Layer et al. (2010),Plectrocnemia conspersa,Leuctra nigra,Broadstone Stream
Layer et al. (2010),Plectrocnemia conspersa,Nemurella pictetii,Broadstone Stream
Layer et al. (2010),Plectrocnemia conspersa,Plectrocnemia conspersa,Broadstone Stream
Layer et al. (2010),Plectrocnemia conspersa,Sialis fuliginosa,Broadstone Stream
Layer et al. (2010),Plectrocnemia conspersa,Simuliidae,Broadstone Stream
Layer et al. (2010),Plectrocnemia conspersa,Siphonoperla torrentium,Broadstone Stream
