link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Brook trout lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Brook trout lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Brook trout lake
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas ovata,Brook trout lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Brook trout lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Brook trout lake
"Sutherland (1989), Havens (1992)",Trichotria tetractis,Cryptomonas ovata,Brook trout lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Brook trout lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Brook trout lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Trichotria tetractis,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Trichocerca cylindrica,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Brook trout lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium inconspicuum,Brook trout lake
