link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Buck pond
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Oocyctis sp.,Buck pond
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Oocyctis sp.,Buck pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,Xanthidium sp.,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Xanthidium sp.,Buck pond
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Xanthidium sp.,Buck pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Buck pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Buck pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Xanthidium sp.,Buck pond
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Buck pond
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Buck pond
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Buck pond
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Buck pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Buck pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Xanthidium sp.,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Mallomonas sp.,Buck pond
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Mallomonas sp.,Buck pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Dinobryon bavaricum,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon sertularia,Buck pond
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Dinobryon sertularia,Buck pond
