link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Alona quadrangularis,benthic detritus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Burntbridge lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Burntbridge lake
"Sutherland (1989), Havens (1992)",Asplanchna sp.,Gymnodinium palustre,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Lyngbya sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Lyngbya sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cocconeia sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cocconeia sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Fragilaria sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Fragilaria sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Lyngbya sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysocapsa planktonica,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Quadrigula closterioides,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Spondylosium planum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysosphaerella longispina,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dictyosphaerium pulchellum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Alona quadrangularis,Fragilaria sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysocapsa planktonica,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Quadrigula closterioides,Burntbridge lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cocconeia sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Spondylosium planum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Melosira sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysosphaerella longispina,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Asterionella formosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dictyosphaerium pulchellum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Pediastrum tetras,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Fragilaria sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Pediastrum tetras,Burntbridge lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Alona quadrangularis,Tabellaria fenestrata,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Arthrodesmus incus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon bavaricum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Elakatrothrix gelatinosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Arthrodesmus incus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus longus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tabellaria fenestrata,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chrysocapsa planktonica,Burntbridge lake
"Sutherland (1989), Havens (1992)",Alona quadrangularis,Melosira sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Quadrigula closterioides,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Elakatrothrix gelatinosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Spondylosium planum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Alona quadrangularis,Asterionella formosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chrysosphaerella longispina,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus longus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dictyosphaerium pulchellum,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Melosira sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Crucigenia quadrata,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Asterionella formosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Pediastrum tetras,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Nephrocytium sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Crucigenia quadrata,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Anabaena sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Nephrocytium sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Anabaena sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Botryococcus braunii,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Arthrodesmus incus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Elakatrothrix gelatinosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Merismopedia tenuissima,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus longus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chroococcus limneticus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Crucigenia quadrata,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chroococcus limneticus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Nephrocytium sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Anabaena sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Aphanocapsa sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Burntbridge lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Aphanocapsa sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Botryococcus braunii,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia tenuissima,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chroococcus limneticus,Burntbridge lake
"Sutherland (1989), Havens (1992)",fish fry,Fragilaria sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Aphanocapsa sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",fish fry,Tabellaria fenestrata,Burntbridge lake
"Sutherland (1989), Havens (1992)",fish fry,Melosira sp.,Burntbridge lake
"Sutherland (1989), Havens (1992)",fish fry,Asterionella formosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Burntbridge lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Burntbridge lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Burntbridge lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Alona quadrangularis,Burntbridge lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Colletheca mutabilis,Burntbridge lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Alona quadrangularis,Burntbridge lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Colletheca mutabilis,Burntbridge lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Burntbridge lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Burntbridge lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Catostomus commersoni,Burntbridge lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Burntbridge lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Burntbridge lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Burntbridge lake
