link.citation,con.taxonomy,res.taxonomy,foodweb.name
Legagneux et al. (2014),lemmings,mosses,Bylot
Legagneux et al. (2014),lemmings,grasses and sedges,Bylot
Legagneux et al. (2014),lemmings,forbs,Bylot
Legagneux et al. (2014),lemmings,shrubs,Bylot
Legagneux et al. (2014),waterfowl,mosses,Bylot
Legagneux et al. (2014),waterfowl,grasses and sedges,Bylot
Legagneux et al. (2014),waterfowl,forbs,Bylot
Legagneux et al. (2014),waterfowl,shrubs,Bylot
Legagneux et al. (2014),passerines,forbs,Bylot
Legagneux et al. (2014),passerines,shrubs,Bylot
Legagneux et al. (2014),passerines,arthropods,Bylot
Legagneux et al. (2014),shorebirds,arthropods,Bylot
Legagneux et al. (2014),Larus spec.,waterfowl,Bylot
Legagneux et al. (2014),Mustela erminea,lemmings,Bylot
Legagneux et al. (2014),Vulpes lagopus,lemmings,Bylot
Legagneux et al. (2014),Vulpes lagopus,waterfowl,Bylot
Legagneux et al. (2014),Vulpes lagopus,shorebirds,Bylot
Legagneux et al. (2014),Stercocarius spec.,lemmings,Bylot
Legagneux et al. (2014),Stercocarius spec.,arthropods,Bylot
Legagneux et al. (2014),Stercocarius spec.,shorebirds,Bylot
Legagneux et al. (2014),Stercocarius spec.,passerines,Bylot
Legagneux et al. (2014),Larus spec.,passerines,Bylot
Legagneux et al. (2014),Larus spec.,shorebirds,Bylot
Legagneux et al. (2014),Bubo scandiacus,Mustela erminea,Bylot
Legagneux et al. (2014),Bubo scandiacus,lemmings,Bylot
Legagneux et al. (2014),Bubo scandiacus,waterfowl,Bylot
Legagneux et al. (2014),Bubo scandiacus,shorebirds,Bylot
Legagneux et al. (2014),Bubo scandiacus,passerines,Bylot
Legagneux et al. (2014),Buteo lagopus,waterfowl,Bylot
Legagneux et al. (2014),Falco spec.,lemmings,Bylot
Legagneux et al. (2014),Falco spec.,shorebirds,Bylot
Legagneux et al. (2014),Falco spec.,passerines,Bylot
