link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Cascade lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Coelastrum sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Coelastrum sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Navicula sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Gyrosigma sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Melosira sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Gyrosigma sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Coelastrum sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Elakatrothrix gelatinosa,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus longus,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Elakatrothrix gelatinosa,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Navicula sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Gyrosigma sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus longus,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cyclotella sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Melosira sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cyclotella sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Botryococcus braunii,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Elakatrothrix gelatinosa,Cascade lake
"Sutherland (1989), Havens (1992)",Conochiloides hippocrepis,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",Conochiloides hippocrepis,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Cascade lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Merismopedia tenuissima,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus longus,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cyclotella sp.,Cascade lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Botryococcus braunii,Cascade lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia tenuissima,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Melosira sp.,Cascade lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Cascade lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Cascade lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Cascade lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Cascade lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,copepod nauplii,Cascade lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Conochiloides hippocrepis,Cascade lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Cascade lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Conochiloides hippocrepis,Cascade lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Cascade lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Cascade lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Cascade lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Cascade lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Cascade lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Cascade lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Catostomus commersoni,Cascade lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Ictalurus nebulosus,Cascade lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Cascade lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Cascade lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,Conochiloides hippocrepis,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,Cascade lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Perca flavescens,Cascade lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,Bosmina longirostris,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Epishura lacustris,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Holopedium gibberum,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish fry,Cascade lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia longispina,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Diaphanosoma birgei,Cascade lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia longispina,Cascade lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Conochiloides hippocrepis,Cascade lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Diaptomus minutus,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Daphnia catawba,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Mesocyclops edax,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Tropocyclops prasinus,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,copepod nauplii,Cascade lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,Kelicottia longispina,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Bosmina longirostris,Cascade lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,Keratella taurocephala,Cascade lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,fish fry,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Epishura lacustris,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Holopedium gibberum,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Diaphanosoma birgei,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Conochiloides hippocrepis,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Diaptomus minutus,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Daphnia catawba,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Mesocyclops edax,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Tropocyclops prasinus,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia longispina,Cascade lake
"Sutherland (1989), Havens (1992)",fish fry,Keratella taurocephala,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Bosmina longirostris,Cascade lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Kelicottia longispina,Cascade lake
