link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Chub lake
"Sutherland (1989), Havens (1992)",Alona affinis,benthic detritus,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Chub lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Chub lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Spondylosium planum,Chub lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedron minimum,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Chub lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Aphanothece sp.,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Diceras sp.,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Coelosphaerium sp.,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Chub lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chroococcus limneticus,Chub lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chroococcus sp.,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Chub lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Chub lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Colletheca mutabilis,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Colletheca mutabilis,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Chub lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Alona affinis,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Alona affinis,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gastropus stylifer,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra major,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gastropus stylifer,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra major,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra remata,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra remata,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia bostoniensis,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Colletheca mutabilis,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia bostoniensis,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Diaptomus minutus,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Mesocyclops edax,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Tropocyclops prasinus,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Alona affinis,Chub lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,fish fry,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Bosmina longirostris,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Gastropus stylifer,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Polyarthra major,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Polyarthra remata,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia bostoniensis,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Keratella taurocephala,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium inconspicuum,Chub lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium wisconsinense,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium inconspicuum,Chub lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium wisconsinense,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Peridinium inconspicuum,Chub lake
"Sutherland (1989), Havens (1992)",fish fry,Peridinium wisconsinense,Chub lake
