link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Chub pond
"Sutherland (1989), Havens (1992)",Luxilus cornutus,benthic detritus,Chub pond
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,benthic detritus,Chub pond
"Sutherland (1989), Havens (1992)",Catostomus catostomus,benthic detritus,Chub pond
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Chub pond
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Chub pond
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Chub pond
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Chub pond
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Chub pond
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Chub pond
"Sutherland (1989), Havens (1992)",Ambloplites rupestris,fish eggs,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Oocyctis sp.,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Chub pond
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Keratella serrulata,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Keratella serrulata,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Mallomonas sp.,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Staurastrum sp.,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Coelastrum cambricum,Chub pond
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Dinobryon sp.,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Sphaerocystis schroeteri,Chub pond
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Chrysosphaerella longispina,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Schroederia setigera,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Coelastrum cambricum,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Staurastrum sp.,Chub pond
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysosphaerella longispina,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Chub pond
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Elakatrothrix gelatinosa,Chub pond
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Coelastrum cambricum,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sp.,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Elakatrothrix gelatinosa,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chrysosphaerella longispina,Chub pond
"Sutherland (1989), Havens (1992)",Trichotria tetractis,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Trichotria tetractis,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Daphnia ambigua,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Daphnia parvula,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Daphnia ambigua,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Daphnia parvula,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Merismopedia tenuissima,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Elakatrothrix gelatinosa,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Chroococcus limneticus,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Chub pond
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chroococcus limneticus,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia tenuissima,Chub pond
"Sutherland (1989), Havens (1992)",fish fry,Staurastrum sp.,Chub pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chroococcus limneticus,Chub pond
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Chub pond
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Chub pond
"Sutherland (1989), Havens (1992)",Luxilus cornutus,Staurastrum sp.,Chub pond
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Staurastrum sp.,Chub pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Leptodora kindtii,Chub pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Leptodora kindtii,Chub pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Leptodora kindtii,Chub pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Chub pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,copepod nauplii,Chub pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Chub pond
"Sutherland (1989), Havens (1992)",Epishura lacustris,copepod nauplii,Chub pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Colletheca mutabilis,Chub pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Colletheca mutabilis,Chub pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Colletheca mutabilis,Chub pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Chub pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Daphnia ambigua,Chub pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Daphnia parvula,Chub pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Eucyclops agilis,Chub pond
