link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Pimephales notatus,benthic detritus,Connera lake
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Connera lake
"Sutherland (1989), Havens (1992)",Luxilus cornutus,benthic detritus,Connera lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Connera lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Connera lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Connera lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Connera lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Oocyctis sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Oocyctis sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Oocyctis sp.,Connera lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Connera lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Connera lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Connera lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Lyngbya sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Lyngbya sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Lyngbya sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Lyngbya sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Mallomonas sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Mallomonas sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Mallomonas sp.,Connera lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Lyngbya sp.,Connera lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Gymnodinium palustre,Connera lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Fragilaria crotonensis,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Fragilaria crotonensis,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Fragilaria crotonensis,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Fragilaria crotonensis,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Sphaerocystis schroeteri,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Sphaerocystis schroeteri,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Sphaerocystis schroeteri,Connera lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Lyngbya sp.,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Tabellaria fenestrata,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Tabellaria fenestrata,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Tabellaria fenestrata,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria flocculosa,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Tabellaria flocculosa,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Tabellaria flocculosa,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Tabellaria flocculosa,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysocapsa planktonica,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Chrysocapsa planktonica,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Chrysocapsa planktonica,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Chrysocapsa planktonica,Connera lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Fragilaria crotonensis,Connera lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Connera lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Connera lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,Gymnodinium palustre,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysosphaerella longispina,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Chrysosphaerella longispina,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Chrysosphaerella longispina,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Chrysosphaerella longispina,Connera lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Connera lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria flocculosa,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dictyosphaerium pulchellum,Connera lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Dictyosphaerium pulchellum,Connera lake
