link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Constable lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Fragilaria sp.,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Constable lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Constable lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Nitzschia sp.,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Constable lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Constable lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Colletheca mutabilis,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Colletheca mutabilis,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Monostyla lunaris,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Trichocerca multicrinis,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Monostyla lunaris,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Trichocerca multicrinis,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra remata,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra remata,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia longispina,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia longispina,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium cinctum,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium inconspicuum,Constable lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium wisconsinense,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium cinctum,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium inconspicuum,Constable lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium wisconsinense,Constable lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Euglena sp.,Constable lake
