link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Amphinemura sulcicollis,CPOM,Dargall Lane
Layer et al. (2010),Amphinemura sulcicollis,FPOM,Dargall Lane
Layer et al. (2010),Amphinemura sulcicollis,Brachysira brebissonii,Dargall Lane
Layer et al. (2010),Amphinemura sulcicollis,Eunotia denticulata,Dargall Lane
Layer et al. (2010),Amphinemura sulcicollis,Eunotia exigua,Dargall Lane
Layer et al. (2010),Amphinemura sulcicollis,Eunotia incisa,Dargall Lane
Layer et al. (2010),Amphinemura sulcicollis,Eunotia naegelii,Dargall Lane
Layer et al. (2010),Amphinemura sulcicollis,Peronia fibula,Dargall Lane
Layer et al. (2010),Amphinemura sulcicollis,Tabellaria flocculosa,Dargall Lane
Layer et al. (2010),Chironomidae,CPOM,Dargall Lane
Layer et al. (2010),Chironomidae,FPOM,Dargall Lane
Layer et al. (2010),Dicranota,Chironomidae,Dargall Lane
Layer et al. (2010),Dicranota,Dicranota,Dargall Lane
Layer et al. (2010),Dicranota,Leuctra hippopus,Dargall Lane
Layer et al. (2010),Dicranota,Leuctra inermis,Dargall Lane
Layer et al. (2010),Isoperla grammatica,Chironomidae,Dargall Lane
Layer et al. (2010),Isoperla grammatica,Isoperla grammatica,Dargall Lane
Layer et al. (2010),Isoperla grammatica,Leuctra hippopus,Dargall Lane
Layer et al. (2010),Isoperla grammatica,Leuctra inermis,Dargall Lane
Layer et al. (2010),Isoperla grammatica,Siphonoperla torrentium,Dargall Lane
Layer et al. (2010),Leuctra hippopus,CPOM,Dargall Lane
Layer et al. (2010),Leuctra hippopus,FPOM,Dargall Lane
Layer et al. (2010),Leuctra hippopus,Brachysira brebissonii,Dargall Lane
Layer et al. (2010),Leuctra hippopus,Eunotia denticulata,Dargall Lane
Layer et al. (2010),Leuctra hippopus,Eunotia exigua,Dargall Lane
Layer et al. (2010),Leuctra hippopus,Eunotia incisa,Dargall Lane
Layer et al. (2010),Leuctra hippopus,Eunotia naegelii,Dargall Lane
Layer et al. (2010),Leuctra hippopus,Peronia fibula,Dargall Lane
Layer et al. (2010),Leuctra hippopus,Tabellaria flocculosa,Dargall Lane
Layer et al. (2010),Leuctra inermis,CPOM,Dargall Lane
Layer et al. (2010),Leuctra inermis,FPOM,Dargall Lane
Layer et al. (2010),Leuctra inermis,Brachysira brebissonii,Dargall Lane
Layer et al. (2010),Leuctra inermis,Eunotia denticulata,Dargall Lane
Layer et al. (2010),Leuctra inermis,Eunotia exigua,Dargall Lane
Layer et al. (2010),Leuctra inermis,Eunotia incisa,Dargall Lane
Layer et al. (2010),Leuctra inermis,Eunotia naegelii,Dargall Lane
Layer et al. (2010),Leuctra inermis,Peronia fibula,Dargall Lane
Layer et al. (2010),Leuctra inermis,Tabellaria flocculosa,Dargall Lane
Layer et al. (2010),Plectrocnemia conspersa,Chironomidae,Dargall Lane
Layer et al. (2010),Plectrocnemia conspersa,Dicranota,Dargall Lane
Layer et al. (2010),Plectrocnemia conspersa,Leuctra hippopus,Dargall Lane
Layer et al. (2010),Plectrocnemia conspersa,Leuctra inermis,Dargall Lane
Layer et al. (2010),Plectrocnemia conspersa,Plectrocnemia conspersa,Dargall Lane
Layer et al. (2010),Plectrocnemia conspersa,Siphonoperla torrentium,Dargall Lane
Layer et al. (2010),Plectrocnemia conspersa,Tipulidae,Dargall Lane
Layer et al. (2010),Protonemura meyeri,CPOM,Dargall Lane
Layer et al. (2010),Protonemura meyeri,FPOM,Dargall Lane
Layer et al. (2010),Protonemura meyeri,Brachysira brebissonii,Dargall Lane
Layer et al. (2010),Protonemura meyeri,Eunotia denticulata,Dargall Lane
Layer et al. (2010),Protonemura meyeri,Eunotia exigua,Dargall Lane
Layer et al. (2010),Protonemura meyeri,Eunotia incisa,Dargall Lane
Layer et al. (2010),Protonemura meyeri,Eunotia naegelii,Dargall Lane
Layer et al. (2010),Protonemura meyeri,Peronia fibula,Dargall Lane
Layer et al. (2010),Protonemura meyeri,Tabellaria flocculosa,Dargall Lane
Layer et al. (2010),Siphonoperla torrentium,Chironomidae,Dargall Lane
Layer et al. (2010),Siphonoperla torrentium,Isoperla grammatica,Dargall Lane
Layer et al. (2010),Siphonoperla torrentium,Leuctra hippopus,Dargall Lane
Layer et al. (2010),Siphonoperla torrentium,Leuctra inermis,Dargall Lane
Layer et al. (2010),Siphonoperla torrentium,Siphonoperla torrentium,Dargall Lane
Layer et al. (2010),Tipulidae,CPOM,Dargall Lane
Layer et al. (2010),Tipulidae,FPOM,Dargall Lane
Layer et al. (2010),Tipulidae,Chironomidae,Dargall Lane
Layer et al. (2010),Tipulidae,Tipulidae,Dargall Lane
Layer et al. (2010),Salmo trutta,Amphinemura sulcicollis,Dargall Lane
Layer et al. (2010),Salmo trutta,Chironomidae,Dargall Lane
Layer et al. (2010),Salmo trutta,Dicranota,Dargall Lane
Layer et al. (2010),Salmo trutta,Isoperla grammatica,Dargall Lane
Layer et al. (2010),Salmo trutta,Leuctra hippopus,Dargall Lane
Layer et al. (2010),Salmo trutta,Leuctra inermis,Dargall Lane
Layer et al. (2010),Salmo trutta,Protonemura meyeri,Dargall Lane
Layer et al. (2010),Salmo trutta,Tipulidae,Dargall Lane
Layer et al. (2010),Salmo trutta,Salmo trutta,Dargall Lane
