link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,benthic detritus,Deep lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Deep lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Deep lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Gymnodinium palustre,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Deep lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas erosa,Deep lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas ovata,Deep lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Deep lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Diceras sp.,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Deep lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Deep lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Deep lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,copepod nauplii,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Acantholeberis curvirostris,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Cyclops scutifer,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Diaptomus minutus,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Chydorus sphaericus,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Monostyla lunaris,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Keratella taurocephala,Deep lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Peridinium inconspicuum,Deep lake
