link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Amphinemura sulcicollis,CPOM,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,FPOM,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Eunotia,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Eunotia exigua,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Eunotia incisa,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Eunotia pectinalis,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Eunotia rhomboidea,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Fragilaria,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Frustulia rhomboides saxonica,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Peronia fibula,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Pinnularia subcapitata,Duddon Pike Beck
Layer et al. (2010),Amphinemura sulcicollis,Tabellaria flocculosa,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,CPOM,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,FPOM,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Eunotia,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Eunotia exigua,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Eunotia incisa,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Eunotia pectinalis,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Eunotia rhomboidea,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Fragilaria,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Frustulia rhomboides saxonica,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Peronia fibula,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Pinnularia subcapitata,Duddon Pike Beck
Layer et al. (2010),Baetis rhodani,Tabellaria flocculosa,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,CPOM,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,FPOM,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Eunotia,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Eunotia exigua,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Eunotia incisa,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Eunotia pectinalis,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Eunotia rhomboidea,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Fragilaria,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Frustulia rhomboides saxonica,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Peronia fibula,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Pinnularia subcapitata,Duddon Pike Beck
Layer et al. (2010),Baetis vernus,Tabellaria flocculosa,Duddon Pike Beck
Layer et al. (2010),Calopteryx splendens,Chironomidae,Duddon Pike Beck
Layer et al. (2010),Calopteryx splendens,Simuliidae,Duddon Pike Beck
Layer et al. (2010),Calopteryx splendens,Tanypodinae,Duddon Pike Beck
Layer et al. (2010),Ceratopogonidae,FPOM,Duddon Pike Beck
Layer et al. (2010),Ceratopogonidae,Eunotia,Duddon Pike Beck
Layer et al. (2010),Ceratopogonidae,Eunotia exigua,Duddon Pike Beck
Layer et al. (2010),Ceratopogonidae,Eunotia incisa,Duddon Pike Beck
Layer et al. (2010),Ceratopogonidae,Eunotia pectinalis,Duddon Pike Beck
