link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Emerald lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Emerald lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Emerald lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Emerald lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Euastrum sp.,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Emerald lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Emerald lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Emerald lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,Emerald lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Emerald lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Emerald lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Closterium sp.,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Emerald lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Emerald lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Emerald lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,copepod nauplii,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Cyclops bicuspidatus,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Cyclops bicuspidatus,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Cyclops bicuspidatus,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Diaptomus minutus,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Mesocyclops edax,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Tropocyclops prasinus,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Trichocerca multicrinis,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra major,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Trichocerca multicrinis,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra major,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Bosmina longirostris,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Trichocerca multicrinis,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Polyarthra major,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra remata,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra remata,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Polyarthra remata,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Keratella taurocephala,Emerald lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Polyphemus pediculus,Emerald lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,copepod nauplii,Emerald lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium inconspicuum,Emerald lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium inconspicuum,Emerald lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Peridinium inconspicuum,Emerald lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Bosmina longirostris,Emerald lake
