link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Falls lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Falls lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Oocyctis sp.,Falls lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Oocyctis sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Falls lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Falls lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Mallomonas sp.,Falls lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Mallomonas sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Euastrum sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Falls lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Euastrum sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Euastrum sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Dinobryon bavaricum,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Dinobryon sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Euastrum sp.,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Sphaerocystis schroeteri,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Tabellaria fenestrata,Falls lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Navicula sp.,Falls lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Falls lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon sp.,Falls lake
