link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Sida crystallina,benthic detritus,Fawn lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Fawn lake
"Sutherland (1989), Havens (1992)",Acroperus harpae,benthic detritus,Fawn lake
"Sutherland (1989), Havens (1992)",Alona rectangula,benthic detritus,Fawn lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Fawn lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Oocyctis sp.,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Fawn lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Mallomonas sp.,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Fawn lake
"Sutherland (1989), Havens (1992)",Acroperus harpae,Tabellaria fenestrata,Fawn lake
"Sutherland (1989), Havens (1992)",Acroperus harpae,Tabellaria flocculosa,Fawn lake
"Sutherland (1989), Havens (1992)",Alona rectangula,Tabellaria fenestrata,Fawn lake
"Sutherland (1989), Havens (1992)",Alona rectangula,Tabellaria flocculosa,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Dinobryon divergens,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Tabellaria fenestrata,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Tabellaria flocculosa,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Navicula sp.,Fawn lake
"Sutherland (1989), Havens (1992)",Sida crystallina,Tabellaria fenestrata,Fawn lake
"Sutherland (1989), Havens (1992)",Sida crystallina,Tabellaria flocculosa,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon divergens,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria flocculosa,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Fawn lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Ankistrodesmus falcatus,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Gomphonema sp.,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Ankistrodesmus falcatus,Fawn lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Gomphonema sp.,Fawn lake
"Sutherland (1989), Havens (1992)",fish fry,Tabellaria fenestrata,Fawn lake
"Sutherland (1989), Havens (1992)",fish fry,Tabellaria flocculosa,Fawn lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Fawn lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Fawn lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus sicilis,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Alona rectangula,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus sicilis,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Acroperus harpae,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Alona rectangula,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Acroperus harpae,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Chydorus sphaericus,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Chydorus sphaericus,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Trichocerca multicrinis,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra major,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Trichocerca multicrinis,Fawn lake
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,Fawn lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Notemigonus crysoleucas,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra major,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia longispina,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia longispina,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Fawn lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella testudo,Fawn lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Fawn lake
