link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Federation lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Oocyctis sp.,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Federation lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Federation lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Mallomonas sp.,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Dinobryon sp.,Federation lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas sp.,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Federation lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Schroederia setigera,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Federation lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon sp.,Federation lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sp.,Federation lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Schroederia setigera,Federation lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Botryococcus braunii,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Federation lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Botryococcus braunii,Federation lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Botryococcus braunii,Federation lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,copepod nauplii,Federation lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Cyclops scutifer,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Diaptomus minutus,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Diaptomus leptopus,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Chydorus sphaericus,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Conochiloides dossuarius,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Polyarthra vulgaris,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Holopedium gibberum,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Daphnia pulex,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Diaphanosoma birgei,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Cyclops scutifer,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Diaptomus minutus,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Kelicottia longispina,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Diaptomus leptopus,Federation lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Keratella taurocephala,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Chydorus sphaericus,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Conochiloides dossuarius,Federation lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,fish fry,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Polyarthra vulgaris,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia longispina,Federation lake
"Sutherland (1989), Havens (1992)",fish fry,Keratella taurocephala,Federation lake
