link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Anisomeristes,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Anurida maritima,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Axelsonia littoralis,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Veigaia,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Actinopteryx fucicola,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Natrix,Anisomeristes,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Anisomeristes,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Tachys occulator,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Littorina angulifera,Algae,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Bembidion contractum,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Dendroica,Anisomeristes,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Trochopus plumbeus,Anisomeristes,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Hentzia palmarum,Anisomeristes,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Natrix,Anurida maritima,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Amblyseius,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Natrix,Axelsonia littoralis,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Natrix,Veigaia,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Natrix,Actinopteryx fucicola,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Anurida maritima,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Pentacora sphacelata,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Axelsonia littoralis,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Xenomyrmex floridanus,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Veigaia,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Actinopteryx fucicola,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Phalacrocorax dilophus,Staphylinidae,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Crematogaster ashmeadi,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Apanteles hemileucae,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Apidae,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Galumna,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Pseudothrips inequalis,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Natrix,Tachys occulator,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Scleroderma macrogaster,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Metatropiphorus belfragei,Amblyseius,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Dendroica,Amblyseius,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Natrix,Bembidion contractum,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Peripsocus,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Liposcelis bostrychophilus,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Psocidus texanus,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Dictyna,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Tachys occulator,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Sergiolus,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Agelaius phoeniceus,Pseudoacalles,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Dendroica,Anurida maritima,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Trochopus plumbeus,Anurida maritima,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Metatropiphorus belfragei,Veigaia,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Pelecanus,Aratus pisonii,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Odonata,Anisomeristes,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Dendroica,Axelsonia littoralis,FloridaIslandE7
"Piechnik et al. (2008), Simberloff and Wilson (1969)",Trochopus plumbeus,Axelsonia littoralis,FloridaIslandE7
