link.citation,con.taxonomy,res.taxonomy,foodweb.name
McLaughlin et al. (2010),Abax parallelepipedus,Carabus granulatus,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Carabus nemoralis,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Deroceras reticulatum,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Family Curculionidae,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Microfungi,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Order Collembola,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Order Diplopoda,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Order Diptera,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Order Enchytraeidae,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Order Nematoda,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Order Oligochaeta,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Oribatidae,Gearagh
McLaughlin et al. (2010),Abax parallelepipedus,Porcellio scaber,Gearagh
McLaughlin et al. (2010),Agonum muelleri,Order Aranae,Gearagh
McLaughlin et al. (2010),Agonum muelleri,Order Coleoptera larvae,Gearagh
McLaughlin et al. (2010),Agonum viduum,Order Diptera,Gearagh
McLaughlin et al. (2010),Amara plebja,Order Diptera,Gearagh
McLaughlin et al. (2010),Amara plebja,Order Diptera larvae,Gearagh
McLaughlin et al. (2010),Amara plebja,Order Enchytraeidae,Gearagh
McLaughlin et al. (2010),Arion ater,Detritus,Gearagh
McLaughlin et al. (2010),Arion ater,Vegetation,Gearagh
McLaughlin et al. (2010),Arion distinctus,Vegetation,Gearagh
McLaughlin et al. (2010),Arion hortensis,Detritus,Gearagh
McLaughlin et al. (2010),Arion hortensis,Vegetation,Gearagh
McLaughlin et al. (2010),Arion subfuscus,Detritus,Gearagh
McLaughlin et al. (2010),Arion subfuscus,Microfungi,Gearagh
McLaughlin et al. (2010),Arion subfuscus,Vegetation,Gearagh
McLaughlin et al. (2010),Asellus aquaticus,Detritus,Gearagh
McLaughlin et al. (2010),Asellus aquaticus,Microfungi,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Bembidion lampros ,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Family Aphididae,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Order Acari,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Order Coleoptera larvae,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Order Collembola,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Order Diptera,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Order Isopoda,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Order Oligochaeta,Gearagh
McLaughlin et al. (2010),Bembidion lampros,Order Pseudoscorpionidae,Gearagh
McLaughlin et al. (2010),Carabus granulatus,Deroceras reticulatum,Gearagh
McLaughlin et al. (2010),Carabus granulatus,Order Coleoptera larvae,Gearagh
McLaughlin et al. (2010),Carabus granulatus,Order Diptera,Gearagh
McLaughlin et al. (2010),Carabus granulatus,Order Diptera larvae,Gearagh
McLaughlin et al. (2010),Carabus granulatus,Order Lepidoptera larvae,Gearagh
McLaughlin et al. (2010),Carabus granulatus,Order Oligochaeta,Gearagh
McLaughlin et al. (2010),Carabus granulatus,Porcellio scaber,Gearagh
McLaughlin et al. (2010),Carabus nemoralis,Order Diptera larvae,Gearagh
McLaughlin et al. (2010),Carabus nemoralis,Order Lepidoptera larvae,Gearagh
McLaughlin et al. (2010),Carabus nemoralis,Porcellio scaber,Gearagh
McLaughlin et al. (2010),Deroceras reticulatum,Anemone nemorosa,Gearagh
McLaughlin et al. (2010),Deroceras reticulatum,Detritus,Gearagh
McLaughlin et al. (2010),Deroceras reticulatum,Order Acari,Gearagh
McLaughlin et al. (2010),Deroceras reticulatum,Order Collembola,Gearagh
McLaughlin et al. (2010),Deroceras reticulatum,Order Nematoda,Gearagh
McLaughlin et al. (2010),Deroceras reticulatum,Order Oligochaeta,Gearagh
