link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Goose lake
"Sutherland (1989), Havens (1992)",Sida crystallina,benthic detritus,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Goose lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Goose lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Goose lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Goose lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Xanthidium armatum,Goose lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Goose lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Lyngbya sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Desmidium sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Goose lake
"Sutherland (1989), Havens (1992)",Sida crystallina,Tabellaria flocculosa,Goose lake
"Sutherland (1989), Havens (1992)",Sida crystallina,Fragilaria intermedia,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sertularia,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Goose lake
"Sutherland (1989), Havens (1992)",Sida crystallina,Melosira sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria flocculosa,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Fragilaria intermedia,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Goose lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Goose lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Goose lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Goose lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus longus,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Keriphyron sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Closterium sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Halotheca sp.,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Xanthidium armatum,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Goose lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Gymnodinium palustre,Goose lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Goose lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Goose lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chroococcus limneticus,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Desmidium sp.,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Staurastrum sp.,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Tabellaria flocculosa,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Fragilaria intermedia,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Melosira sp.,Goose lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Goose lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Closterium sp.,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Polyphemus pediculus,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Chydorus sphaericus,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Chydorus sphaericus,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia longispina,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Diaphanosoma birgei,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia longispina,Goose lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Goose lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Diaptomus minutus,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Mesocyclops edax,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Sida crystallina,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Tropocyclops prasinus,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Chydorus sphaericus,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish fry,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Bosmina longirostris,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Polyphemus pediculus,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,copepod nauplii,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia longispina,Goose lake
"Sutherland (1989), Havens (1992)",fish fry,Keratella taurocephala,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Diaphanosoma birgei,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Diaptomus minutus,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Mesocyclops edax,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Sida crystallina,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Tropocyclops prasinus,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Chydorus sphaericus,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Bosmina longirostris,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Kelicottia longispina,Goose lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Keratella taurocephala,Goose lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Polyphemus pediculus,Goose lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,copepod nauplii,Goose lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Chydorus sphaericus,Goose lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Bosmina longirostris,Goose lake
