link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Grass lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Grass lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Grass lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Grass lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Grass lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Grass lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Grass lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum megacanthum,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Quadrigula closterioides,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Staurastrum megacanthum,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Staurastrum sp.,Grass lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedron minimum,Grass lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas akrokomos,Grass lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Grass lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Arthrodesmus incus,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Arthrodesmus octocornis,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tabellaria fenestrata,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Quadrigula closterioides,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus serratus,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tetraedron minimum,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas akrokomos,Grass lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Asterionella formosa,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cyclotella sp.,Grass lake
"Sutherland (1989), Havens (1992)",Daphnia ambigua,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Daphnia ambigua,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Arthrodesmus incus,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Arthrodesmus octocornis,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus serratus,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cyclotella sp.,Grass lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Botryococcus braunii,Grass lake
"Sutherland (1989), Havens (1992)",fish fry,Staurastrum megacanthum,Grass lake
"Sutherland (1989), Havens (1992)",fish fry,Staurastrum sp.,Grass lake
"Sutherland (1989), Havens (1992)",fish fry,Tabellaria fenestrata,Grass lake
"Sutherland (1989), Havens (1992)",fish fry,Asterionella formosa,Grass lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Grass lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,copepod nauplii,Grass lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,copepod nauplii,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Cyclops scutifer,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Cyclops scutifer,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Daphnia ambigua,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Diaptomus minutus,Grass lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Catostomus commersoni,Grass lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Grass lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Cyclops scutifer,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Daphnia ambigua,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Mesocyclops edax,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Ceriodaphnia quadrangula,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Tropocyclops prasinus,Grass lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Diaptomus minutus,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Ceriodaphnia quadrangula,Grass lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Daphnia ambigua,Grass lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Mesocyclops edax,Grass lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Ictalurus nebulosus,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Chydorus sphaericus,Grass lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Tropocyclops prasinus,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella crassa,Grass lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Ceriodaphnia quadrangula,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Chydorus sphaericus,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Keratella crassa,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Trichocerca multicrinis,Grass lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Lepomis gibbosus,Grass lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra euryptera,Grass lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Bosmina longirostris,Grass lake
