link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Gull lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Synedra nana,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Gull lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Synedra nana,Gull lake
"Sutherland (1989), Havens (1992)",Asplanchna sp.,Gymnodinium palustre,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Gull lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Lyngbya sp.,Gull lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Gymnodinium palustre,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Gull lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Lyngbya sp.,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sertularia,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Gull lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Gull lake
"Sutherland (1989), Havens (1992)",Gastropus hyptopus,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Gastropus hyptopus,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Euchlanis sp.,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Euchlanis sp.,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sertularia,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sp.,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Elakatrothrix gelatinosa,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Gull lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",fish fry,Synedra nana,Gull lake
"Sutherland (1989), Havens (1992)",Daphnia ambigua,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Daphnia ambigua,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Elakatrothrix gelatinosa,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus sp.,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Gull lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chroococcus limneticus,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Botryococcus braunii,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia punctata,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia tenuissima,Gull lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chroococcus limneticus,Gull lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Gull lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Gull lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Gull lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Gull lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,copepod nauplii,Gull lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Cyclops scutifer,Gull lake
