link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Gull lake north
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Gull lake north
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Gull lake north
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Gull lake north
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Gull lake north
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Gull lake north
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Gull lake north
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Gull lake north
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Gull lake north
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Gull lake north
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Gull lake north
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Gull lake north
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Gull lake north
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Gull lake north
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Gull lake north
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Gull lake north
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Gull lake north
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Gull lake north
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Gull lake north
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gastropus stylifer,Gull lake north
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia longispina,Gull lake north
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Gull lake north
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Polyphemus pediculus,Gull lake north
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,copepod nauplii,Gull lake north
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium inconspicuum,Gull lake north
