link.citation,con.taxonomy,res.taxonomy,foodweb.name
Digel et al. (2014),Lithobius crassipes,Achipteria coleoptrata,HEW47
Digel et al. (2014),Lithobius mutabilis,Achipteria coleoptrata,HEW47
Digel et al. (2014),Lithobius cf. mutabilis (juv),Achipteria coleoptrata,HEW47
Digel et al. (2014),Lithobius sp1 {s},Achipteria coleoptrata,HEW47
Digel et al. (2014),Lithobius sp.,Achipteria coleoptrata,HEW47
Digel et al. (2014),Geophilus ribauti,Achipteria coleoptrata,HEW47
Digel et al. (2014),Lithobius sp2 {l},Achipteria coleoptrata,HEW47
Digel et al. (2014),Lithobius sp3 {m},Achipteria coleoptrata,HEW47
Digel et al. (2014),Lithobius crassipes,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Lithobius melanops,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Lithobius mutabilis,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Lithobius cf. mutabilis (juv),Agelenidae sp. (juv),HEW47
Digel et al. (2014),Lithobius sp.,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Geophilus ribauti,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Geophilus insculptus,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Schendyla nemorensis,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Strigamia acuminata,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Pterostichus burmeisteri,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Philonthus sp.,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Amaurobius sp. (juv),Agelenidae sp. (juv),HEW47
Digel et al. (2014),Coelotes terrestris,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Harpactea lepida small,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Crychus caraboides,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Geophilomorpha sp.,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Agelenidae sp. (juv),Agelenidae sp. (juv),HEW47
Digel et al. (2014),Harpactea lepida large,Agelenidae sp. (juv),HEW47
Digel et al. (2014),Arrhopalites pygmaeus,algae,HEW47
Digel et al. (2014),Lipothrix lubbocki,algae,HEW47
Digel et al. (2014),Scolopendrella cf. subnuda {s},algae,HEW47
Digel et al. (2014),Brachychthoniidae spp.,algae,HEW47
Digel et al. (2014),Eulohmannia ribagai,algae,HEW47
Digel et al. (2014),omnivorous nematodes,algae,HEW47
Digel et al. (2014),Enchytraeidae,algae,HEW47
Digel et al. (2014),Scutigerella immaculata {s},algae,HEW47
Digel et al. (2014),Campodea sp. {l},algae,HEW47
Digel et al. (2014),Discus rotundatus (juv),algae,HEW47
Digel et al. (2014),Lithobius crassipes,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Lithobius melanops,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Lithobius mutabilis,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Lithobius sp.,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Geophilus ribauti,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Geophilus insculptus,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Schendyla nemorensis,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Strigamia acuminata,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Pterostichus burmeisteri,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Crychus caraboides,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Geophilomorpha sp.,Allaiulus nitidus {xxl},HEW47
Digel et al. (2014),Lithobius crassipes,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Lithobius melanops,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Lithobius mutabilis,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Lithobius cf. mutabilis (juv),Amaurobius sp. (juv),HEW47
Digel et al. (2014),Lithobius sp.,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Geophilus ribauti,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Geophilus insculptus,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Schendyla nemorensis,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Strigamia acuminata,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Pterostichus burmeisteri,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Philonthus sp.,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Amaurobius sp. (juv),Amaurobius sp. (juv),HEW47
Digel et al. (2014),Coelotes terrestris,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Crychus caraboides,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Geophilomorpha sp.,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Harpactea lepida large,Amaurobius sp. (juv),HEW47
Digel et al. (2014),Lithobius sp1 {s},Amblyseius similifloridanus,HEW47
Digel et al. (2014),Athous subfuscus (juv) {m},Amblyseius similifloridanus,HEW47
Digel et al. (2014),Atheta sp. (juv),Amblyseius similifloridanus,HEW47
Digel et al. (2014),Stilicus sp. (juv),Amblyseius similifloridanus,HEW47
Digel et al. (2014),Hahnia pusilla (juv),Amblyseius similifloridanus,HEW47
Digel et al. (2014),Linyphiidae (juv),Amblyseius similifloridanus,HEW47
Digel et al. (2014),Neon reticulatus (juv),Amblyseius similifloridanus,HEW47
Digel et al. (2014),Amblyseius similifloridanus,Amblyseius similifloridanus,HEW47
Digel et al. (2014),Epicrius canestrinii,Amblyseius similifloridanus,HEW47
Digel et al. (2014),Hypoaspis aculeifer,Amblyseius similifloridanus,HEW47
Digel et al. (2014),Prozercon fimbriatus,Amblyseius similifloridanus,HEW47
Digel et al. (2014),Uroseius cylindricus (juv),Amblyseius similifloridanus,HEW47
Digel et al. (2014),Veigaia nemorensis,Amblyseius similifloridanus,HEW47
Digel et al. (2014),Zercon cf gurensis,Amblyseius similifloridanus,HEW47
Digel et al. (2014),Lithobius sp2 {l},Amblyseius similifloridanus,HEW47
Digel et al. (2014),Lithobius sp3 {m},Amblyseius similifloridanus,HEW47
Digel et al. (2014),Xantholinus sp. (juv) {s},Amblyseius similifloridanus,HEW47
Digel et al. (2014),Ceratophysella denticulata,amoebae,HEW47
Digel et al. (2014),Isotomiella minor,amoebae,HEW47
Digel et al. (2014),Megalothorax minimus,amoebae,HEW47
Digel et al. (2014),Parisotoma notabilis,amoebae,HEW47
Digel et al. (2014),Aporrectodea caliginosa (juv) {xl},amoebae,HEW47
Digel et al. (2014),Aporrectodea rosea,amoebae,HEW47
Digel et al. (2014),Aporrectodea rosea (juv),amoebae,HEW47
Digel et al. (2014),Lumbricus rubellus (juv),amoebae,HEW47
Digel et al. (2014),Octolasion tyrtaeum{xxl},amoebae,HEW47
Digel et al. (2014),Dendrobaena octaedra (juv),amoebae,HEW47
Digel et al. (2014),predacious nematodes,amoebae,HEW47
Digel et al. (2014),omnivorous nematodes,amoebae,HEW47
Digel et al. (2014),Enchytraeidae,amoebae,HEW47
Digel et al. (2014),Lithobius crassipes,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Lithobius melanops,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Lithobius mutabilis,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Lithobius cf. mutabilis (juv),Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Lithobius sp.,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Geophilus ribauti,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Geophilus insculptus,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Schendyla nemorensis,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Strigamia acuminata,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Pterostichus burmeisteri,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Philonthus sp.,Anelasmocephalus cambridgei,HEW47
Digel et al. (2014),Anelasmocephalus cambridgei,Anelasmocephalus cambridgei,HEW47
