link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Ancylus fluviatilis,CPOM,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,FPOM,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Diatoma hyemale quadratum,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Eunotia,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Eunotia exigua,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Eunotia incisa,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Eunotia rhomboidea,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Fragilaria,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Frustulia rhomboides saxonica,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Gomphonema,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Peronia fibula,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Pinnularia subcapitata,Hardknott Gill
Layer et al. (2010),Ancylus fluviatilis,Tabellaria flocculosa,Hardknott Gill
Layer et al. (2010),Baetis,CPOM,Hardknott Gill
Layer et al. (2010),Baetis,FPOM,Hardknott Gill
Layer et al. (2010),Baetis,Diatoma hyemale quadratum,Hardknott Gill
Layer et al. (2010),Baetis,Eunotia,Hardknott Gill
Layer et al. (2010),Baetis,Eunotia exigua,Hardknott Gill
Layer et al. (2010),Baetis,Eunotia incisa,Hardknott Gill
Layer et al. (2010),Baetis,Eunotia rhomboidea,Hardknott Gill
Layer et al. (2010),Baetis,Fragilaria,Hardknott Gill
Layer et al. (2010),Baetis,Frustulia rhomboides saxonica,Hardknott Gill
Layer et al. (2010),Baetis,Gomphonema,Hardknott Gill
Layer et al. (2010),Baetis,Peronia fibula,Hardknott Gill
Layer et al. (2010),Baetis,Pinnularia subcapitata,Hardknott Gill
Layer et al. (2010),Baetis,Tabellaria flocculosa,Hardknott Gill
Layer et al. (2010),Baetis muticus,CPOM,Hardknott Gill
Layer et al. (2010),Baetis muticus,FPOM,Hardknott Gill
Layer et al. (2010),Baetis muticus,Diatoma hyemale quadratum,Hardknott Gill
Layer et al. (2010),Baetis muticus,Eunotia,Hardknott Gill
Layer et al. (2010),Baetis muticus,Eunotia exigua,Hardknott Gill
Layer et al. (2010),Baetis muticus,Eunotia incisa,Hardknott Gill
Layer et al. (2010),Baetis muticus,Eunotia rhomboidea,Hardknott Gill
Layer et al. (2010),Baetis muticus,Fragilaria,Hardknott Gill
Layer et al. (2010),Baetis muticus,Frustulia rhomboides saxonica,Hardknott Gill
Layer et al. (2010),Baetis muticus,Gomphonema,Hardknott Gill
Layer et al. (2010),Baetis muticus,Peronia fibula,Hardknott Gill
Layer et al. (2010),Baetis muticus,Pinnularia subcapitata,Hardknott Gill
Layer et al. (2010),Baetis muticus,Tabellaria flocculosa,Hardknott Gill
Layer et al. (2010),Baetis rhodani,CPOM,Hardknott Gill
Layer et al. (2010),Baetis rhodani,FPOM,Hardknott Gill
Layer et al. (2010),Baetis rhodani,Diatoma hyemale quadratum,Hardknott Gill
Layer et al. (2010),Baetis rhodani,Eunotia,Hardknott Gill
Layer et al. (2010),Baetis rhodani,Eunotia exigua,Hardknott Gill
Layer et al. (2010),Baetis rhodani,Eunotia incisa,Hardknott Gill
Layer et al. (2010),Baetis rhodani,Eunotia rhomboidea,Hardknott Gill
Layer et al. (2010),Baetis rhodani,Fragilaria,Hardknott Gill
Layer et al. (2010),Baetis rhodani,Frustulia rhomboides saxonica,Hardknott Gill
