link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Helldiver pond
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,benthic detritus,Helldiver pond
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Helldiver pond
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Helldiver pond
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Helldiver pond
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Oocyctis sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Polyarthra major,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Rhizosolenia eriensis,Helldiver pond
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Keratella crassa,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Helldiver pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Helldiver pond
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Helldiver pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Helldiver pond
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Helldiver pond
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Helldiver pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Rhizosolenia eriensis,Helldiver pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Mallomonas sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Carteria sp.,Helldiver pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Carteria sp.,Helldiver pond
