link.citation,con.taxonomy,res.taxonomy,foodweb.name
Legagneux et al. (2014),lemmings,mosses,Herschel
Legagneux et al. (2014),lemmings,lichens,Herschel
Legagneux et al. (2014),lemmings,grasses and sedges,Herschel
Legagneux et al. (2014),lemmings,forbs,Herschel
Legagneux et al. (2014),lemmings,shrubs,Herschel
Legagneux et al. (2014),Microtus oeconomus,mosses,Herschel
Legagneux et al. (2014),Microtus oeconomus,lichens,Herschel
Legagneux et al. (2014),Microtus oeconomus,grasses and sedges,Herschel
Legagneux et al. (2014),Microtus oeconomus,forbs,Herschel
Legagneux et al. (2014),Microtus oeconomus,shrubs,Herschel
Legagneux et al. (2014),Rangifer tarandus,lichens,Herschel
Legagneux et al. (2014),Rangifer tarandus,forbs,Herschel
Legagneux et al. (2014),Rangifer tarandus,shrubs,Herschel
Legagneux et al. (2014),Ovibos moschatus,mosses,Herschel
Legagneux et al. (2014),Ovibos moschatus,lichens,Herschel
Legagneux et al. (2014),Ovibos moschatus,grasses and sedges,Herschel
Legagneux et al. (2014),Ovibos moschatus,forbs,Herschel
Legagneux et al. (2014),Ovibos moschatus,shrubs,Herschel
Legagneux et al. (2014),Lagopus spec. ,shrubs,Herschel
Legagneux et al. (2014),Lagopus spec. ,arthropods,Herschel
Legagneux et al. (2014),waterfowl,grasses and sedges,Herschel
Legagneux et al. (2014),waterfowl,shrubs,Herschel
Legagneux et al. (2014),passerines,forbs,Herschel
Legagneux et al. (2014),passerines,arthropods,Herschel
Legagneux et al. (2014),shorebirds,arthropods,Herschel
Legagneux et al. (2014),Mustela erminea,lemmings,Herschel
Legagneux et al. (2014),Mustela erminea,Microtus oeconomus,Herschel
Legagneux et al. (2014),Vulpes lagopus,lemmings,Herschel
Legagneux et al. (2014),Vulpes lagopus,Microtus oeconomus,Herschel
Legagneux et al. (2014),Vulpes lagopus,Lagopus spec. ,Herschel
Legagneux et al. (2014),Vulpes vulpes,lemmings,Herschel
Legagneux et al. (2014),Vulpes vulpes,Microtus oeconomus,Herschel
Legagneux et al. (2014),Vulpes vulpes,passerines,Herschel
Legagneux et al. (2014),Vulpes vulpes,shorebirds,Herschel
Legagneux et al. (2014),Gulo gulo,lemmings,Herschel
Legagneux et al. (2014),Gulo gulo,Microtus oeconomus,Herschel
Legagneux et al. (2014),Gulo gulo,Rangifer tarandus,Herschel
Legagneux et al. (2014),Ursus horribilis,forbs,Herschel
Legagneux et al. (2014),Ursus horribilis,shrubs,Herschel
Legagneux et al. (2014),Ursus horribilis,Rangifer tarandus,Herschel
Legagneux et al. (2014),Ursus horribilis,Ovibos moschatus,Herschel
Legagneux et al. (2014),Stercocarius spec.,lemmings,Herschel
Legagneux et al. (2014),Stercocarius spec.,Microtus oeconomus,Herschel
Legagneux et al. (2014),Stercocarius spec.,arthropods,Herschel
Legagneux et al. (2014),Stercocarius spec.,passerines,Herschel
Legagneux et al. (2014),Bubo scandiacus,Mustela erminea,Herschel
Legagneux et al. (2014),Bubo scandiacus,lemmings,Herschel
Legagneux et al. (2014),Bubo scandiacus,Microtus oeconomus,Herschel
Legagneux et al. (2014),Buteo lagopus,lemmings,Herschel
Legagneux et al. (2014),Buteo lagopus,Microtus oeconomus,Herschel
Legagneux et al. (2014),Buteo lagopus,Lagopus spec. ,Herschel
Legagneux et al. (2014),Buteo lagopus,passerines,Herschel
Legagneux et al. (2014),Falco spec.,lemmings,Herschel
Legagneux et al. (2014),Falco spec.,Microtus oeconomus,Herschel
Legagneux et al. (2014),Falco spec.,Lagopus spec. ,Herschel
