link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,High pond
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,High pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,High pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,High pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,High pond
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,Ankistrodesmus falcatus,High pond
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Ankistrodesmus falcatus,High pond
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Ankistrodesmus falcatus,High pond
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,copepod nauplii,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Colletheca mutabilis,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Colletheca mutabilis,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Colletheca mutabilis,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Synchaeta sp.,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Eucyclops agilis,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Diaptomus minutus,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Synchaeta sp.,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Synchaeta sp.,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Eucyclops agilis,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Eucyclops agilis,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Mesocyclops edax,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,High pond
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Tropocyclops prasinus,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Monostyla lunaris,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Bosmina longirostris,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Monostyla lunaris,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Monostyla lunaris,High pond
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,High pond
"Sutherland (1989), Havens (1992)",fish fry,Holopedium gibberum,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia bostoniensis,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia longispina,High pond
"Sutherland (1989), Havens (1992)",fish fry,Diaphanosoma birgei,High pond
"Sutherland (1989), Havens (1992)",fish fry,Colletheca mutabilis,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Kelicottia bostoniensis,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia bostoniensis,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Kelicottia longispina,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia longispina,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Keratella taurocephala,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,High pond
"Sutherland (1989), Havens (1992)",fish fry,Diaptomus minutus,High pond
"Sutherland (1989), Havens (1992)",fish fry,Synchaeta sp.,High pond
"Sutherland (1989), Havens (1992)",fish fry,Daphnia catawba,High pond
"Sutherland (1989), Havens (1992)",fish fry,Eucyclops agilis,High pond
"Sutherland (1989), Havens (1992)",fish fry,Mesocyclops edax,High pond
"Sutherland (1989), Havens (1992)",fish fry,Tropocyclops prasinus,High pond
"Sutherland (1989), Havens (1992)",fish fry,Bosmina longirostris,High pond
"Sutherland (1989), Havens (1992)",fish fry,Monostyla lunaris,High pond
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,fish fry,High pond
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia bostoniensis,High pond
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia longispina,High pond
"Sutherland (1989), Havens (1992)",fish fry,Keratella taurocephala,High pond
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium inconspicuum,High pond
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Peridinium inconspicuum,High pond
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium inconspicuum,High pond
"Sutherland (1989), Havens (1992)",Keratella taurocephala,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",Kelicottia longispina,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",fish fry,Peridinium inconspicuum,High pond
"Sutherland (1989), Havens (1992)",Monostyla lunaris,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",Bosmina longirostris,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",Daphnia catawba,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",Synchaeta sp.,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,nanoflagellates ,High pond
"Sutherland (1989), Havens (1992)",copepod nauplii,nanoflagellates ,High pond
