link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Hoel lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Hoel lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Hoel lake
"Sutherland (1989), Havens (1992)",Prosopium cylindraceum,benthic detritus,Hoel lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Hoel lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Hoel lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Hoel lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Hoel lake
"Sutherland (1989), Havens (1992)",Coregonus clupeaformis,fish eggs,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Oocyctis sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Oocyctis sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Hoel lake
"Sutherland (1989), Havens (1992)",Asplanchna sp.,Gymnodinium palustre,Hoel lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Mallomonas sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Mallomonas sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Gymnodinium palustre,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Fragilaria sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Fragilaria sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Fragilaria sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Fragilaria sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Ascomorpha ecaudis,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Dinobryon bavaricum,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Dinobryon bavaricum,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon sertularia,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Dinobryon sertularia,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Dinobryon sertularia,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Sphaerocystis schroeteri,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Sphaerocystis schroeteri,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Tabellaria fenestrata,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Tabellaria fenestrata,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysocapsa planktonica,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Chrysocapsa planktonica,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Chrysocapsa planktonica,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Quadrigula closterioides,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Quadrigula closterioides,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Quadrigula closterioides,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sertularia,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Navicula sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Navicula sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Navicula sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Spondylosium planum,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Spondylosium planum,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Spondylosium planum,Hoel lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Hoel lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,Gymnodinium palustre,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysosphaerella longispina,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Chrysosphaerella longispina,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Chrysosphaerella longispina,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysocapsa planktonica,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Quadrigula closterioides,Hoel lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Spondylosium planum,Hoel lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Hoel lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysosphaerella longispina,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Asterionella formosa,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Asterionella formosa,Hoel lake
"Sutherland (1989), Havens (1992)",Daphnia longiremis,Asterionella formosa,Hoel lake
