link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Rhinichthys atratulus,benthic detritus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Luxilus cornutus,benthic detritus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,benthic detritus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Oocyctis sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Mallomonas sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Staurastrum sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Staurastrum sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Pleurosigma sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Pleurosigma sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Pleurosigma sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon divergens,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Dinobryon divergens,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Sphaerocystis schroeteri,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysocapsa planktonica,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Chrysocapsa planktonica,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Ploesoma truncatum,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon divergens,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Navicula sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Navicula sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Spondylosium planum,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Spondylosium planum,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysosphaerella longispina,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Chrysosphaerella longispina,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dictyosphaerium pulchellum,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Dictyosphaerium pulchellum,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysocapsa planktonica,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Schroederia setigera,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Schroederia setigera,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Spondylosium planum,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Staurastrum sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysosphaerella longispina,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Pleurosigma sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Asterionella formosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Asterionella formosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dictyosphaerium pulchellum,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Arthrodesmus incus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Arthrodesmus incus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon divergens,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Elakatrothrix gelatinosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Elakatrothrix gelatinosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Arthrodesmus incus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chrysocapsa planktonica,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Elakatrothrix gelatinosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Navicula sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Spondylosium planum,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chrysosphaerella longispina,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dictyosphaerium pulchellum,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Crucigenia quadrata,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Crucigenia quadrata,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Crucigenia rectangularis,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Crucigenia rectangularis,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Asterionella formosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Crucigenia quadrata,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Crucigenia rectangularis,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Botryococcus braunii,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Botryococcus braunii,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Arthrodesmus incus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Elakatrothrix gelatinosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Ankistrodesmus falcatus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Daphnia galeata,Ankistrodesmus falcatus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Ankistrodesmus falcatus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Crucigenia quadrata,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Crucigenia rectangularis,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Botryococcus braunii,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Ankistrodesmus falcatus,Horseshoe Lake
"Sutherland (1989), Havens (1992)",fish fry,Staurastrum sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",fish fry,Asterionella formosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Luxilus cornutus,Staurastrum sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Rhinichthys atratulus,Staurastrum sp.,Horseshoe Lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Staurastrum sp.,Horseshoe Lake
