link.citation,con.taxonomy,res.taxonomy,foodweb.name
O'Gorman et al. (2012),Chaetocladius spp.,Achnanthes exigua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Achnanthes lanceolata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Amphora inariensis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Amphora pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Bacteria,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Cocconeis pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Cocconeis placentula,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Cocconeis placentula var. euglypta,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,CPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Diatoma mesodon,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,FPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Fungi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Gomphonema clevei,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Gomphonema type D,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Nitzschia inconspicua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Chaetocladius spp.,Pinnularia intermedia,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Clinocera stagnalis,Chaetocladius spp.,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Clinocera stagnalis,Diamesa zernyi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Clinocera stagnalis,Eukiefferiella claripennis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Clinocera stagnalis,Eukiefferiella minor,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Clinocera stagnalis,Micropsectra atrofasciata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Clinocera stagnalis,Simulium vittatum,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Clinocera stagnalis,Thienemanniella spp.,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Achnanthes exigua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Achnanthes lanceolata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Amphora inariensis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Amphora pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Bacteria,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Cocconeis pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Cocconeis placentula,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Cocconeis placentula var. euglypta,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Diatoma mesodon,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,FPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Fungi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Gomphonema clevei,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Gomphonema type D,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Nitzschia inconspicua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Diamesa zernyi,Pinnularia intermedia,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Achnanthes exigua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Achnanthes lanceolata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Amphora inariensis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Amphora pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Chaetocladius spp.,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Cocconeis pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Cocconeis placentula,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Cocconeis placentula var. euglypta,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,CPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Diamesa zernyi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Diatoma mesodon,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Eukiefferiella claripennis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Eukiefferiella minor,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Gomphonema clevei,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Gomphonema type D,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Micropsectra atrofasciata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Nitzschia inconspicua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Oligochaeta indet.,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Pinnularia intermedia,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Dicranota exclusa,Thienemanniella spp.,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Achnanthes exigua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Achnanthes lanceolata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Amphora inariensis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Amphora pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Bacteria,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Cocconeis pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Cocconeis placentula,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Cocconeis placentula var. euglypta,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,CPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Diatoma mesodon,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,FPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Fungi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Gomphonema clevei,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Gomphonema type D,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Nitzschia inconspicua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella claripennis,Pinnularia intermedia,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Achnanthes exigua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Achnanthes lanceolata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Amphora inariensis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Amphora pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Bacteria,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Cocconeis pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Cocconeis placentula,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Cocconeis placentula var. euglypta,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,CPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Diatoma mesodon,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,FPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Fungi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Gomphonema clevei,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Gomphonema type D,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Nitzschia inconspicua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Eukiefferiella minor,Pinnularia intermedia,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Achnanthes exigua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Achnanthes lanceolata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Amphora inariensis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Amphora pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Bacteria,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Cocconeis pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Cocconeis placentula,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Cocconeis placentula var. euglypta,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,CPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Diatoma mesodon,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,FPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Fungi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Gomphonema clevei,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Gomphonema type D,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Nitzschia inconspicua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Micropsectra atrofasciata,Pinnularia intermedia,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Achnanthes exigua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Achnanthes lanceolata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Amphora inariensis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Amphora pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Bacteria,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Cocconeis pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Cocconeis placentula,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Cocconeis placentula var. euglypta,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,CPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Diatoma mesodon,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,FPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Fungi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Gomphonema clevei,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Gomphonema type D,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Nitzschia inconspicua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Oligochaeta indet.,Pinnularia intermedia,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,Chaetocladius spp.,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,CPOM,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,Diamesa zernyi,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,Eukiefferiella claripennis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,Eukiefferiella minor,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,Macrophytes,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,Micropsectra atrofasciata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,Simulium vittatum,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,terrestrial detritus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Potamophylax cingulatus,Thienemanniella spp.,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Simulium vittatum,Achnanthes exigua,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Simulium vittatum,Achnanthes lanceolata,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Simulium vittatum,Amphora inariensis,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Simulium vittatum,Amphora pediculus,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Simulium vittatum,Bacteria,Iceland stream IS7 April 2009
O'Gorman et al. (2012),Simulium vittatum,Cocconeis pediculus,Iceland stream IS7 April 2009
