link.citation,con.taxonomy,res.taxonomy,foodweb.name
O'Gorman et al. (2012),Cricotopus sp. A,Achnanthes exigua,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Achnanthes lanceolata,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Amphora inariensis,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Amphora pediculus,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Bacteria,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Cocconeis pediculus,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Cocconeis placentula,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,CPOM,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Cymbella sinuata,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Diatoma mesodon,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,FPOM,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Fragilaria capucina var. capucina,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Fungi,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Gomphonema clavatum,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Gomphonema clevei,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Gomphonema parvulum,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Gomphonema type D,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Melosira varians,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Meridion circulare,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Navicula gallica,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Navicula minima,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Nitzschia inconspicua,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Rhoicosphenia abbreviata,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Stauroneis pseudosubobtusoides,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Cricotopus sp. A,Synedra ulna,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Achnanthes exigua,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Achnanthes lanceolata,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Amphora inariensis,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Amphora pediculus,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Bacteria,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Cocconeis pediculus,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Cocconeis placentula,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Cymbella sinuata,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Diatoma mesodon,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,FPOM,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Fragilaria capucina var. capucina,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Fungi,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Gomphonema clavatum,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Gomphonema clevei,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Gomphonema parvulum,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Gomphonema type D,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Melosira varians,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Meridion circulare,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Navicula gallica,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Navicula minima,Iceland stream IS8  April 2009
O'Gorman et al. (2012),Diamesa zernyi,Nitzschia inconspicua,Iceland stream IS8  April 2009
