link.citation,con.taxonomy,res.taxonomy,foodweb.name
O'Gorman et al. (2012),Cricotopus sp. A,Achnanthes exigua,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Achnanthes lanceolata,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Amphora inariensis,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Amphora pediculus,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Bacteria,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Cocconeis pediculus,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Cocconeis placentula,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,CPOM,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Cyclotella spp.,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Cymbella sinuata,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Diatoma mesodon,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,FPOM,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Fragilaria capucina var. capucina,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Fragilaria capucina var. rumpens,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Fragilaria pinnata,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Fungi,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Gomphonema angustatum,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Gomphonema clavatum,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Gomphonema parvulum,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Melosira varians,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Meridion circulare,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Navicula gallica,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Navicula minima,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Navicula placentula,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Nitzschia inconspicua,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Nitzschia paleacea,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Rhoicosphenia abbreviata,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Rhopalodia gibba,Iceland stream IS8 August 2008
O'Gorman et al. (2012),Cricotopus sp. A,Synedra ulna,Iceland stream IS8 August 2008
