link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Oocyctis sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Indian Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Indian Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Indian Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Indian Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Mallomonas sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Dinobryon bavaricum,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Dinobryon sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Sphaerocystis schroeteri,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Tabellaria fenestrata,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Tabellaria flocculosa,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Navicula sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria flocculosa,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Tetraedron minimum,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Schroederia setigera,Indian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Indian Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Indian Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Indian Lake
