link.citation,con.taxonomy,res.taxonomy,foodweb.name
Ekloef et al. (2013),Aglaophamus malmgreni,Lumbrineris,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Nereis zonata,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Sipunculida,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Nephtys ciliata,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Nereimyra punctata,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Priapulus caudatus,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Phyllodoce,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Leitoscoloplos mammosus,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Heteromastus filiformis,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Levinsenia gracilis,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Aglaophamus malmgreni,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Lysippe labiata,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Pholoe assimilis,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Philine,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Ampharete finmarchica,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Sediment,Kongsfjorden
Ekloef et al. (2013),Aglaophamus malmgreni,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Alle alle,Boreogadus saida,Kongsfjorden
Ekloef et al. (2013),Alle alle,Thysanoessa inermis,Kongsfjorden
Ekloef et al. (2013),Alle alle,Meganyctiphanes norvegica,Kongsfjorden
Ekloef et al. (2013),Alle alle,Thysanoessa raschii,Kongsfjorden
Ekloef et al. (2013),Alle alle,Thysanoessa longicaudata,Kongsfjorden
Ekloef et al. (2013),Ampharete finmarchica,Sediment,Kongsfjorden
Ekloef et al. (2013),Ampharete finmarchica,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Gadus morhua,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Reinhardtius hippoglossoides,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Hipoglossoides platessoides,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Lycodes,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Sebastes mentella,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Boreogadus saida,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Lumpenus lampretaeformis,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Liparis liparis,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Leptagonus decagonus,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Anisarchus medius,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Hyas araneus,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Nereis zonata,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Pandalus borealis,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Pagurus pubescens,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Nephtys ciliata,Kongsfjorden
Ekloef et al. (2013),Anarhichas lupus,Nereimyra punctata,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Sebastes marinus,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Artediellus europeus,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Lumpenus lampretaeformis,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Liparis liparis,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Liparis fabricii,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Leptagonus decagonus,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Anisarchus medius,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Careproctus reinhardti,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Eumicotremus derjugini,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Mallotus villosus,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Leptoclinus maculatus,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Strongylocentrotus droebachiensis,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Hyas araneus,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Strongylocentrotus pallidus,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Crossaster papposus,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Buccinum scalariforme,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Ophiura robusta,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Buccinum terranovae,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Ophiopholis aculeata,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Henricia,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Ophiocten sericeum,Kongsfjorden
Ekloef et al. (2013),Anisarchus medius,Buccinum undatum,Kongsfjorden
Ekloef et al. (2013),Anonyx nugax,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Anonyx sarsi,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Arctinula groenlandica,POM,Kongsfjorden
Ekloef et al. (2013),Arctinula groenlandica,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Arrhis phyllonyx,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Artediellus europeus,Thysanoessa inermis,Kongsfjorden
Ekloef et al. (2013),Artediellus europeus,Meganyctiphanes norvegica,Kongsfjorden
Ekloef et al. (2013),Artediellus europeus,Thysanoessa raschii,Kongsfjorden
Ekloef et al. (2013),Artediellus europeus,Thysanoessa longicaudata,Kongsfjorden
Ekloef et al. (2013),Astarte borealis,POM,Kongsfjorden
Ekloef et al. (2013),Astarte borealis,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Astarte montagui,POM,Kongsfjorden
Ekloef et al. (2013),Astarte montagui,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Axinopsida orbiculata,POM,Kongsfjorden
Ekloef et al. (2013),Axinopsida orbiculata,Phytodetritus,Kongsfjorden
Ekloef et al. (2013),Balaenoptera acutorostrata,Reinhardtius hippoglossoides,Kongsfjorden
Ekloef et al. (2013),Balaenoptera acutorostrata,Sebastes mentella,Kongsfjorden
