link.citation,con.taxonomy,res.taxonomy,foodweb.name
Nsiku (1999),Nkunga,Utaka,Lake Malawi
Nsiku (1999),Nkunga,Chisawasawa,Lake Malawi
Nsiku (1999),Nkunga,Mbuna,Lake Malawi
Nsiku (1999),Nkunga,Usipa,Lake Malawi
Nsiku (1999),Nkunga,Nkhono,Lake Malawi
Nsiku (1999),Kampango,Utaka,Lake Malawi
Nsiku (1999),Kampango,Ndunduma,Lake Malawi
Nsiku (1999),Kampango,Kambuzi,Lake Malawi
Nsiku (1999),Kampango,Chambo,Lake Malawi
Nsiku (1999),Kampango,Chilunguni,Lake Malawi
Nsiku (1999),Kampango,Mbuna,Lake Malawi
Nsiku (1999),Kampango,Mcheni,Lake Malawi
Nsiku (1999),Kampango,Usipa,Lake Malawi
Nsiku (1999),Matemba,Utaka,Lake Malawi
Nsiku (1999),Matemba,Ndunduma,Lake Malawi
Nsiku (1999),Matemba,Kambuzi,Lake Malawi
Nsiku (1999),Matemba,Chisawasawa,Lake Malawi
Nsiku (1999),Matemba,Chambo,Lake Malawi
Nsiku (1999),Matemba,Chilunguni,Lake Malawi
Nsiku (1999),Matemba,Mbuna,Lake Malawi
Nsiku (1999),Matemba,Usipa,Lake Malawi
Nsiku (1999),Matemba,Usipa larvae,Lake Malawi
Nsiku (1999),Matemba,Chaoborus edulis,Lake Malawi
Nsiku (1999),Matemba,Nkhono,Lake Malawi
Nsiku (1999),Matemba,Zooplankton,Lake Malawi
Nsiku (1999),Matemba,Phytoplankton,Lake Malawi
Nsiku (1999),Matemba,Detritus,Lake Malawi
Nsiku (1999),Utaka,Usipa larvae,Lake Malawi
Nsiku (1999),Utaka,Chaoborus edulis,Lake Malawi
Nsiku (1999),Utaka,Nkhono,Lake Malawi
Nsiku (1999),Utaka,Zooplankton,Lake Malawi
Nsiku (1999),Utaka,Phytoplankton,Lake Malawi
Nsiku (1999),Utaka,Detritus,Lake Malawi
Nsiku (1999),Ndunduma,Usipa larvae,Lake Malawi
Nsiku (1999),Ndunduma,Chaoborus edulis,Lake Malawi
Nsiku (1999),Ndunduma,Zooplankton,Lake Malawi
Nsiku (1999),Ndunduma,Phytoplankton,Lake Malawi
Nsiku (1999),Kambuzi,Nkhono,Lake Malawi
Nsiku (1999),Kambuzi,Zooplankton,Lake Malawi
Nsiku (1999),Kambuzi,Phytoplankton,Lake Malawi
Nsiku (1999),Kambuzi,Detritus,Lake Malawi
Nsiku (1999),Chisawasawa,Chaoborus edulis,Lake Malawi
Nsiku (1999),Chisawasawa,Nkhono,Lake Malawi
Nsiku (1999),Chisawasawa,Zooplankton,Lake Malawi
Nsiku (1999),Chisawasawa,Phytoplankton,Lake Malawi
Nsiku (1999),Chisawasawa,Detritus,Lake Malawi
Nsiku (1999),Chambo,Zooplankton,Lake Malawi
Nsiku (1999),Chambo,Phytoplankton,Lake Malawi
Nsiku (1999),Chambo,Detritus,Lake Malawi
Nsiku (1999),Chilunguni,Zooplankton,Lake Malawi
Nsiku (1999),Chilunguni,Phytoplankton,Lake Malawi
Nsiku (1999),Chilunguni,Detritus,Lake Malawi
Nsiku (1999),Mbuna,Usipa larvae,Lake Malawi
Nsiku (1999),Mbuna,Chaoborus edulis,Lake Malawi
Nsiku (1999),Mbuna,Nkhono,Lake Malawi
Nsiku (1999),Mbuna,Zooplankton,Lake Malawi
Nsiku (1999),Mbuna,Phytoplankton,Lake Malawi
Nsiku (1999),Mbuna,Detritus,Lake Malawi
Nsiku (1999),Mcheni,Ndunduma,Lake Malawi
Nsiku (1999),Mcheni,Usipa,Lake Malawi
Nsiku (1999),Mcheni,Usipa larvae,Lake Malawi
Nsiku (1999),Mcheni,Chaoborus edulis,Lake Malawi
Nsiku (1999),Mcheni,Zooplankton,Lake Malawi
Nsiku (1999),Mcheni,Phytoplankton,Lake Malawi
Nsiku (1999),Mcheni,Detritus,Lake Malawi
Nsiku (1999),Bombe,Utaka,Lake Malawi
