link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Alona rectangula,benthic detritus,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Eucentrum sp.,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Eucentrum sp.,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Rhizosolenia eriensis,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Rhizosolenia eriensis,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Gymnodinium palustre,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Asplanchna sp.,Gymnodinium palustre,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Lepadella cristata,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Lepadella cristata,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Staurastrum megacanthum,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Alona rectangula,Fragilaria crotonensis,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum megacanthum,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Ascomorpha ecaudis,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Ascomorpha ecaudis,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Fragilaria crotonensis,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Navicula sp.,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Fragilaria crotonensis,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedrom sp.,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedrom sp.,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cosmarium sp.,Little Rainbow Lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas erosa,Little Rainbow Lake
