link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Pimephales notatus,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",Luxilus cornutus,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",Pimephales promelas,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",Alona costata,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Long Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Long Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Long Lake
"Sutherland (1989), Havens (1992)",Alona costata,Synedra nana,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Synedra nana,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Synedra nana,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Long Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Rhizosolenia eriensis,Long Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Rhizosolenia eriensis,Long Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Synedra nana,Long Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Lyngbya sp.,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Lyngbya sp.,Long Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Rhizosolenia eriensis,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Long Lake
"Sutherland (1989), Havens (1992)",Alona costata,Tabellaria fenestrata,Long Lake
"Sutherland (1989), Havens (1992)",Alona costata,Tabellaria flocculosa,Long Lake
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon sp.,Long Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Lyngbya sp.,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria flocculosa,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Long Lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Navicula sp.,Long Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Long Lake
"Sutherland (1989), Havens (1992)",Alona costata,Synedra ulna,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria flocculosa,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedrom sp.,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedron caudatum,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Schroederia setigera,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Long Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Pediastrum tetras,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedrom sp.,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedron caudatum,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Long Lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Synedra ulna,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cosmarium sp.,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Pediastrum tetras,Long Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Euchlanis triquetra,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Synedra ulna,Long Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Long Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cosmarium sp.,Long Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Arthrodesmus incus,Long Lake
