link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Loon Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Loon Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Loon Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Loon Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Loon Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Loon Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Gymnodinium palustre,Loon Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Gymnodinium palustre,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Loon Lake
"Sutherland (1989), Havens (1992)",Ascomorpha ecaudis,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Ascomorpha ecaudis,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sertularia,Loon Lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysosphaerella longispina,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Loon Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Aphanothece sp.,Loon Lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Ankistrodesmus falcatus,Loon Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Loon Lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Loon Lake
"Sutherland (1989), Havens (1992)",fish fry,Asterionella formosa,Loon Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Loon Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Loon Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,copepod nauplii,Loon Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,copepod nauplii,Loon Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Cyclops vernalis,Loon Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Diaptomus minutus,Loon Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Synchaeta sp.,Loon Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Loon Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Cyclops vernalis,Loon Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Eucyclops agilis,Loon Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Diaptomus minutus,Loon Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Synchaeta sp.,Loon Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Ceriodaphnia quadrangula,Loon Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Eucyclops agilis,Loon Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Ceriodaphnia quadrangula,Loon Lake
