link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,benthic detritus,Lost Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Lost Lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,benthic detritus,Lost Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Oocyctis sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Oocyctis sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Oocyctis sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Mallomonas sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Mallomonas sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Mallomonas sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Sphaerocystis schroeteri,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Sphaerocystis schroeteri,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Schroederia setigera,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Sphaerocystis schroeteri,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Schroederia setigera,Lost Lake
"Sutherland (1989), Havens (1992)",Daphnia retrocurva,Schroederia setigera,Lost Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Schroederia setigera,Lost Lake
