link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Lost Lake East
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Lost Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Lost Lake East
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Lost Lake East
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Lost Lake East
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas erosa,Lost Lake East
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Lost Lake East
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Lost Lake East
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas ovata,Lost Lake East
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Lost Lake East
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Lost Lake East
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Lost Lake East
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Lost Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Lost Lake East
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas erosa,Lost Lake East
"Sutherland (1989), Havens (1992)",Trichocerca cylindrica,Cryptomonas ovata,Lost Lake East
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Lost Lake East
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Lost Lake East
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas sp.,Lost Lake East
"Sutherland (1989), Havens (1992)",Ploesoma truncatum,Cryptomonas erosa,Lost Lake East
"Sutherland (1989), Havens (1992)",Ploesoma truncatum,Cryptomonas ovata,Lost Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon divergens,Lost Lake East
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Lost Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Lost Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysocapsa planktonica,Lost Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Quadrigula closterioides,Lost Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Lost Lake East
