link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Alona affinis,benthic detritus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysosphaerella longispina,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysosphaerella longispina,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Euchlanis triquetra,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Euchlanis triquetra,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chrysosphaerella longispina,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Merismopedia punctata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Merismopedia tenuissima,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus sp.,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chroococcus limneticus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chroococcus limneticus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia punctata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia tenuissima,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chroococcus limneticus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Lower Sister Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Colletheca mutabilis,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Colletheca mutabilis,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Ceriodaphnia quadrangula,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Ceriodaphnia quadrangula,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Alona affinis,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Alona affinis,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Euchlanis triquetra,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Euchlanis triquetra,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Lower Sister Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gastropus stylifer,Lower Sister Lake
